Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 13:12:43,1490141563000
Duration,  1 day, 0 hour, 12 minutes, 43 seconds,87163000
Slew time, 0 day, 0 hour, 11 minutes, 50 seconds,710000.0
Integration time, 1 day, 0 hour, 0 minute, 53 seconds,8.6453E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.008145658134759015
Relative integration time, 0.991854341865241
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:24,J1559-4438,4.187446746757646,-0.778776084707186,128.0,257,136.0,136.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.895616489359333
21/03/2017 13:04:24,21/03/2017 13:06:48,J1512-5759,3.9824796335635835,-1.011710159366742,16.0,128,128.0,128.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:06:48,21/03/2017 13:09:17,J1513-5908,3.987758818218554,-1.0320277311146804,1.0,153,148.0,148.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0368461420364081
21/03/2017 13:09:17,21/03/2017 13:16:58,J1600-5751,4.190239555286068,-1.0096017046675965,4.0,194,457.0,457.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:16:58,21/03/2017 13:22:01,J1548-5607,4.1396322791834494,-0.9792562467395884,3.0,170,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:22:01,21/03/2017 13:33:48,J1605-5257,4.211792189886633,-0.9239870022794202,3.0,658,704.0,704.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:33:48,21/03/2017 13:41:53,J1602-5100,4.198884025627092,-0.8901082222434858,2.0,864,483.0,483.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:41:53,21/03/2017 13:46:29,J1557-4258,4.175718997685893,-0.7498484245282018,6.0,329,270.0,270.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.218443763054427
21/03/2017 13:46:29,21/03/2017 13:48:41,J1452-6036,3.895858361010688,-1.057517537619536,21.0,154,111.0,111.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3858819722151334
21/03/2017 13:48:41,21/03/2017 13:50:24,J1453-6413,3.898828256899113,-1.1207166855361403,3.0,179,100.0,100.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7873717393543895
21/03/2017 13:50:24,21/03/2017 13:53:20,J1456-6843,3.9095490145515406,-1.1991417949589347,3.0,263,173.0,173.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5245678512159986
21/03/2017 13:53:20,21/03/2017 14:02:28,J1413-6141,3.7226323965327905,-1.0765142344932912,8.0,364,540.0,540.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:02:28,21/03/2017 14:12:41,J1522-5829,4.026057886992005,-1.0207136342386272,7.0,395,606.0,606.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:12:41,21/03/2017 14:13:18,J1410-6132,3.7105699897399442,-1.073959266393844,9.0,50,28.0,28.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8101513428765283
21/03/2017 14:13:18,21/03/2017 14:25:55,J1428-5530,3.789276848633516,-0.9684143583889359,5.0,570,752.0,752.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:25:55,21/03/2017 14:35:08,J1357-62,3.653919511102295,-1.0902490060791246,8.0,455,545.0,545.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:35:08,21/03/2017 14:45:48,J1357-6429,3.652278174384899,-1.1253000655959817,2.0,700,638.0,638.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:45:48,21/03/2017 14:52:32,J1530-5327,4.059844552428529,-0.9326055350885045,15.0,389,389.0,389.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:52:32,21/03/2017 14:54:50,J1534-5405,4.07778653713903,-0.9437397660888661,0.0,289,138.0,138.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.096008932650232
21/03/2017 14:54:50,21/03/2017 14:59:31,J1305-6203,3.4267285479291503,-1.0828720811073618,21.0,427,incomplete,260.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 97 [+]
21/03/2017 14:59:31,21/03/2017 15:03:34,J1326-5859,3.5210759567483114,-1.029312289686786,2.0,477,241.0,241.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:34,21/03/2017 15:12:04,J1356-5521,3.651414818181579,-0.9659769091257897,4.0,507,506.0,506.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:12:04,21/03/2017 17:17:26,J1509-5850,3.9682336744323896,-1.0265633961148948,7.0,6023,7515.0,7515.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:17:26,21/03/2017 17:22:33,J1651-5222,4.41444455099726,-0.9136885900652916,7.0,635,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:22:33,21/03/2017 17:35:21,J1401-6357,3.6733712056157724,-1.1159172724999964,24.0,842,744.0,744.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:35:21,21/03/2017 17:42:10,J1306-6617,3.4323492353410936,-1.1567567164810928,6.0,473,403.0,403.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:42:10,21/03/2017 17:52:42,J1352-6803,3.6327901188453393,-1.1875166901064496,4.0,628,628.0,628.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:52:42,21/03/2017 17:57:44,J1430-6623,3.7990634188038133,-1.1585833005060413,2.0,785,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:57:44,21/03/2017 18:13:37,J1326-6408,3.5192091816691997,-1.1191245089260087,7.0,792,946.0,946.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:13:37,21/03/2017 18:14:57,J1327-6301,3.521744999628243,-1.0997737041395705,1.0,196,79.0,79.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.4696571693980944
21/03/2017 18:14:57,21/03/2017 18:16:23,J1305-6203,3.4267285479291503,-1.0828720811073618,2.0,427,344.0,84.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:16:23,21/03/2017 18:48:09,J1156-5707,3.1246811403584895,-0.9968646796374868,10.0,3754,1896.0,1896.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9795489697393802
21/03/2017 18:48:09,21/03/2017 18:55:19,J1136-5525,3.0370307053233345,-0.9671630542779921,6.0,364,424.0,424.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
