Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 03:10:00,1490105400000
Duration,  0 day, 14 hours, 10 minutes, 0 second,51000000
Slew time, 0 day, 0 hour, 30 minutes, 4 seconds,1804000.0
Integration time, 0 day, 7 hours, 16 minutes, 56 seconds,2.6216E7
Waiting time, 0 day, 6 hours, 23 minutes, 0 second,2.298E7
Relative slew time, 0.035372549019607846
Relative integration time, 0.5140392156862745
Relative waiting time, 0.4505882352941176
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:47,J1853-0004,4.945319022470706,0.0013201476536612666,60.0,179,167.0,167.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:03:47,21/03/2017 13:09:14,J1019-5749,2.7046887452611825,-1.0090625918542027,116.0,211,211.0,211.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:14,21/03/2017 13:11:16,J1048-5832,2.8283205972672447,-1.02157126964051,2.0,123,120.0,120.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:11:16,21/03/2017 13:13:09,J1224-6407,3.2479257474367653,-1.1187855756815446,9.0,216,104.0,104.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.0747888607675677
21/03/2017 13:13:09,21/03/2017 13:15:25,J1539-5626,4.098175618904932,-0.9848243318671315,21.0,243,115.0,115.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1042392470739992
21/03/2017 13:15:25,21/03/2017 13:18:38,J1524-5625,4.035336493627919,-0.9845431399320879,2.0,196,191.0,191.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:18:38,21/03/2017 13:25:02,J1531-5610,4.064283506492767,-0.9800266156788715,0.0,376,384.0,384.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:02,21/03/2017 13:30:08,J1600-5044,4.192646727934829,-0.885362090230896,6.0,192,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:30:08,21/03/2017 13:35:19,J1702-4310,4.461275370930876,-0.753206534971775,11.0,261,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:35:19,21/03/2017 13:43:28,J1722-3207,4.54679759510938,-0.5603219575013029,12.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:43:28,21/03/2017 13:45:52,J1637-4642,4.351234543254198,-0.8149960386291855,19.0,222,125.0,125.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7807873665415408
21/03/2017 13:45:52,21/03/2017 13:59:28,J0452-1759,1.2765705904504334,-0.3137550713449015,121.0,548,695.0,695.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:59:28,21/03/2017 14:06:00,J1456-6843,3.9095490145515406,-1.1991417949589347,92.0,263,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:06:00,21/03/2017 14:06:54,J1512-5759,3.9824796335635835,-1.011710159366742,9.0,128,45.0,45.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.8292002069765525
21/03/2017 14:06:54,21/03/2017 14:09:29,J1600-5044,4.192646727934829,-0.885362090230896,10.0,192,445.0,145.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.3248922947496018
21/03/2017 14:09:29,21/03/2017 14:23:50,J0904-7459,2.3744331808756853,-1.3084985505315665,47.0,549,814.0,814.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:23:50,21/03/2017 14:28:10,J1534-5405,4.07778653713903,-0.9437397660888661,40.0,289,220.0,220.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.314337638404269
21/03/2017 14:28:10,21/03/2017 14:33:21,J1640-4715,4.3642823338538985,-0.824496932337889,11.0,517,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:33:21,21/03/2017 14:36:36,J1701-4533,4.457073054424386,-0.7947613700207168,2.0,322,193.0,193.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6722174089185595
21/03/2017 14:36:36,21/03/2017 14:39:06,J1845-0743,4.912896768176928,-0.13449507215868303,46.0,104,104.0,104.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:39:06,21/03/2017 14:52:39,J1848-0123,4.923544127462105,-0.023861414312744807,5.0,659,808.0,808.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:52:39,21/03/2017 14:57:25,J1845-0434,4.911262630942696,-0.07955889469743707,5.0,486,281.0,281.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7274826294517194
21/03/2017 14:57:25,21/03/2017 15:03:14,J1842-0905,4.897258472634954,-0.15841480955726533,5.0,344,344.0,344.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:03:14,21/03/2017 15:13:00,J1852-0635,4.943454574497262,-0.1146244986247276,2.0,524,584.0,584.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:13:00,21/03/2017 15:22:26,J0905-5127,2.3817869802348595,-0.8977357474070141,118.0,346,448.0,448.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:22:26,21/03/2017 15:23:23,J0835-4510,2.2486103217937075,-0.7881379662280048,9.0,89,48.0,48.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8566943163419778
21/03/2017 15:23:23,21/03/2017 15:31:04,J1123-6259,2.9841893350561106,-1.0992144715584107,29.0,432,432.0,432.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:31:04,21/03/2017 15:36:38,J0206-4028,0.5498709259403609,-0.70625557820798,61.0,630,273.0,273.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3082056544752594
21/03/2017 15:36:38,21/03/2017 15:40:35,J1341-6220,3.5853884308022166,-1.0878215439778092,71.0,193,166.0,166.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:40:35,21/03/2017 15:47:47,J1648-4611,4.399831054614415,-0.8059736560237369,30.0,402,402.0,402.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:47:47,21/03/2017 15:55:42,J1749-3002,4.665373446438571,-0.524010867227242,19.0,609,456.0,456.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3348284719276857
21/03/2017 15:55:42,21/03/2017 16:02:43,J1801-2304,4.7181943090870835,-0.40237499314630826,6.0,415,415.0,415.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:02:43,21/03/2017 16:23:18,J1028-5819,2.742203143091757,-1.0177926318099422,82.0,1045,1153.0,1153.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
