Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 17:16:17,1490069777000
Duration,  0 day, 4 hours, 16 minutes, 17 seconds,15377000
Slew time, 0 day, 0 hour, 26 minutes, 28 seconds,1588000.0
Integration time, 0 day, 3 hours, 49 minutes, 49 seconds,1.3789E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.10327111920400599
Relative integration time, 0.896728880795994
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:54,J1848-0123,4.923544127462105,-0.023861414312744807,62.0,659,412.0,412.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:07:54,21/03/2017 13:12:15,J1844-0538,4.904746662346532,-0.09815445673144253,6.0,255,255.0,255.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:12:15,21/03/2017 13:23:36,J1852-0635,4.943454574497262,-0.1146244986247276,1.0,524,680.0,680.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:23:36,21/03/2017 13:24:44,J1845-0743,4.912896768176928,-0.13449507215868303,4.0,104,64.0,64.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6328349133631197
21/03/2017 13:24:44,21/03/2017 13:30:30,J1842-0905,4.897258472634954,-0.15841480955726533,2.0,344,344.0,344.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:30,21/03/2017 13:33:24,J1841-0425,4.891697053695527,-0.07699083662859986,4.0,186,170.0,170.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:33:24,21/03/2017 13:34:31,J1833-0827,4.8593093423765295,-0.14732881751817412,5.0,85,62.0,62.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:31,21/03/2017 13:35:53,J1809-1917,4.754796626939387,-0.3363729434137372,14.0,82,68.0,68.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2133080917001802
21/03/2017 13:35:53,21/03/2017 13:40:59,J1825-1446,4.8216849160810265,-0.2574719408815657,6.0,279,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:40:59,21/03/2017 13:45:38,J1835-0643,4.86550969726629,-0.1171969200166948,8.0,305,271.0,271.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:45:38,21/03/2017 13:50:44,J1224-6407,3.2479257474367653,-1.1187855756815446,90.0,216,216.0,216.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:50:44,21/03/2017 13:57:07,J1722-3207,4.54679759510938,-0.5603219575013029,54.0,477,329.0,329.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4490875118304514
21/03/2017 13:57:07,21/03/2017 14:00:34,J1544-5308,4.123329013196465,-0.9271261708646045,29.0,178,178.0,178.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
