Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:35:36,1490088936000
Duration,  0 day, 9 hours, 35 minutes, 36 seconds,34536000
Slew time, 0 day, 0 hour, 12 minutes, 56 seconds,776000.0
Integration time, 0 day, 7 hours, 38 minutes, 40 seconds,2.752E7
Waiting time, 0 day, 1 hour, 44 minutes, 0 second,6240000.0
Relative slew time, 0.02246930738939078
Relative integration time, 0.7968496641186009
Relative waiting time, 0.18068102849200834
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:03,J1853-0004,4.945319022470706,0.0013201476536612666,60.0,179,243.0,243.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:05:03,21/03/2017 13:06:47,J1845-0743,4.912896768176928,-0.13449507215868303,10.0,104,94.0,94.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1006181228189496
21/03/2017 13:06:47,21/03/2017 14:11:48,J1843-0702,4.901643830546746,-0.1224901157870487,1.0,4689,incomplete,3900.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:48,21/03/2017 14:13:48,J1833-0827,4.8593093423765295,-0.14732881751817412,14.0,85,106.0,106.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:13:48,21/03/2017 14:15:47,J1824-1945,4.8171418603991105,-0.34445187859574644,12.0,189,107.0,107.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7711485902691981
21/03/2017 14:15:47,21/03/2017 14:17:40,J1112-6103,2.933230156943058,-1.065372731287713,82.0,69,31.0,31.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.216614011784984
21/03/2017 14:17:40,21/03/2017 14:22:47,J1019-5749,2.7046887452611825,-1.0090625918542027,7.0,211,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:22:47,21/03/2017 14:31:20,J1522-5829,4.026057886992005,-1.0207136342386272,34.0,395,479.0,479.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:31:20,21/03/2017 14:39:47,J1543-5459,4.1187043270109935,-0.9595737809139034,3.0,377,504.0,504.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:39:47,21/03/2017 14:40:34,J1637-4553,4.354502672278558,-0.8006828843217886,11.0,118,36.0,36.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 3.3056957186213274
21/03/2017 14:40:34,21/03/2017 14:42:26,J1646-4346,4.393233710041876,-0.7636882067573633,2.0,231,110.0,110.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.094452211170341
21/03/2017 14:42:26,21/03/2017 14:48:58,J1722-3632,4.547296613831346,-0.6373685477032304,9.0,399,383.0,383.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:48:58,21/03/2017 14:54:06,J0738-4042,2.0007530247579957,-0.710150522840646,98.0,374,210.0,210.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7833483106922694
21/03/2017 14:54:06,21/03/2017 15:11:55,J1401-6357,3.6733712056157724,-1.1159172724999964,55.0,842,1014.0,1014.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:11:55,21/03/2017 15:16:09,J1456-6843,3.9095490145515406,-1.1991417949589347,5.0,263,249.0,249.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0543646297487275
21/03/2017 15:16:09,21/03/2017 15:23:05,J1157-6224,3.129610968274852,-1.0888388285248813,16.0,400,400.0,400.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:23:05,21/03/2017 15:31:20,J1623-4256,4.29266202077779,-0.7490759224087218,41.0,364,454.0,454.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:31:20,21/03/2017 15:36:57,J1825-1446,4.8216849160810265,-0.2574719408815657,37.0,279,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:36:57,21/03/2017 15:42:39,J0908-4913,2.3936848897457046,-0.8589613673006038,107.0,106,235.0,235.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:42:39,21/03/2017 15:57:43,J1326-6408,3.5192091816691997,-1.1191245089260087,35.0,792,869.0,869.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:57:43,21/03/2017 16:03:55,J1536-5433,4.084420969958173,-0.9520043849107402,17.0,881,355.0,355.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.4782329938323744
21/03/2017 16:03:55,21/03/2017 16:08:45,J1651-5222,4.41444455099726,-0.9136885900652916,9.0,635,281.0,281.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2613401786422345
21/03/2017 16:08:45,21/03/2017 17:14:25,J1650-4921,4.409508905316724,-0.8613011750883746,2.0,5293,incomplete,3938.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 17:14:25,21/03/2017 17:26:49,J1751-4657,4.676190342643962,-0.8193118500184227,2.0,742,742.0,742.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:26:49,21/03/2017 17:38:56,J1731-4744,4.588914426177464,-0.8329362780104352,4.0,829,723.0,723.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:38:56,21/03/2017 17:50:11,J1822-4209,4.809207920868779,-0.7356030471734241,8.0,456,667.0,667.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:50:11,21/03/2017 18:20:23,J1646-6831,4.393488237224458,-1.1955941708474156,27.0,1785,1785.0,1785.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:20:23,21/03/2017 19:58:43,J1509-5850,3.9682336744323896,-1.0265633961148948,12.0,6023,5888.0,5888.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:58:43,21/03/2017 20:13:08,J1524-5706,4.0332690056848275,-0.9964133181003738,11.0,1116,854.0,854.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:13:08,21/03/2017 20:25:07,J1541-5535,4.109494079104115,-0.9701073277633705,1.0,2800,1958.0,718.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.8536575901403018
21/03/2017 20:25:07,21/03/2017 20:46:47,J1328-4357,3.5260328372680796,-0.7668583064554023,25.0,532,1275.0,1275.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:46:47,21/03/2017 20:51:36,J1534-5334,4.075952486983392,-0.934821133611175,19.0,1368,incomplete,270.0,6240,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2426 (717)Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
