Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:44:43,1490089483000
Duration,  0 day, 9 hours, 44 minutes, 43 seconds,35083000
Slew time, 0 day, 0 hour, 16 minutes, 43 seconds,1003000.0
Integration time, 0 day, 6 hours, 1 minute, 0 second,2.166E7
Waiting time, 0 day, 3 hours, 27 minutes, 0 second,1.242E7
Relative slew time, 0.028589345266938404
Relative integration time, 0.6173930393637944
Relative waiting time, 0.3540176153692672
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:16,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,611.0,611.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:16,21/03/2017 13:17:25,J1043-6116,2.809637574845167,-1.069058769705189,109.0,288,260.0,260.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:17:25,21/03/2017 13:20:13,J1341-6220,3.5853884308022166,-1.0878215439778092,17.0,193,151.0,151.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:20:13,21/03/2017 13:25:29,J1649-3805,4.406099840955266,-0.6643930319156381,37.0,262,279.0,279.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:25:29,21/03/2017 13:31:04,J1806-2125,4.739993544166545,-0.37359742266300844,24.0,481,311.0,311.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5448672202681013
21/03/2017 13:31:04,21/03/2017 13:35:55,J1600-5751,4.190239555286068,-1.0096017046675965,49.0,194,242.0,242.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:35:55,21/03/2017 13:41:22,J1653-3838,4.4229405229077585,-0.6741780264414718,22.0,305,305.0,305.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:41:22,21/03/2017 13:49:02,J1705-3950,4.474576234272115,-0.69493677863922,1.0,318,459.0,459.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:49:02,21/03/2017 13:51:16,J1646-4346,4.393233710041876,-0.7636882067573633,6.0,231,128.0,128.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8079244072493668
21/03/2017 13:51:16,21/03/2017 13:53:10,J1826-1334,4.826793494801613,-0.2365561090511381,40.0,101,74.0,74.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3601970865175836
21/03/2017 13:53:10,21/03/2017 13:56:10,J1845-0434,4.911262630942696,-0.07955889469743707,11.0,486,169.0,169.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.878856364777689
21/03/2017 13:56:10,21/03/2017 14:10:24,J0904-7459,2.3744331808756853,-1.3084985505315665,110.0,549,744.0,744.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:10:24,21/03/2017 14:14:15,J1224-6407,3.2479257474367653,-1.1187855756815446,15.0,216,216.0,216.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:14:15,21/03/2017 14:17:02,J1453-6413,3.898828256899113,-1.1207166855361403,13.0,179,154.0,154.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.163675383531484
21/03/2017 14:17:02,21/03/2017 14:23:26,J1340-6456,3.5779482376450686,-1.1330924758924554,6.0,378,378.0,378.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:23:26,21/03/2017 14:33:03,J0401-7608,1.0553191499825445,-1.3287104328970232,32.0,545,545.0,545.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:33:03,21/03/2017 14:35:53,J1611-5209,4.237019469783167,-0.910074788886301,53.0,182,117.0,117.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.550362585789481
21/03/2017 14:35:53,21/03/2017 14:41:27,J1842-0905,4.897258472634954,-0.15841480955726533,55.0,344,579.0,279.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.2324161671882996
21/03/2017 14:41:27,21/03/2017 14:52:31,J1832-0827,4.854707490915438,-0.14746267457552845,3.0,647,661.0,661.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:52:31,21/03/2017 14:54:34,J1825-1446,4.8216849160810265,-0.2574719408815657,8.0,279,115.0,115.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.4295681622333887
21/03/2017 14:54:34,21/03/2017 15:15:19,J1843-0702,4.901643830546746,-0.1224901157870487,9.0,4689,4606.0,1236.0,0,1800,2,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:15:19,21/03/2017 15:34:27,J0924-5814,2.463168628929164,-1.0163323730024403,112.0,739,1036.0,1036.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:34:27,21/03/2017 15:58:03,J0536-7543,1.4683156836614413,-1.3212302426111842,27.0,1245,1389.0,1389.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:58:03,21/03/2017 16:16:19,J0837-4135,2.25737844216725,-0.725696412895,30.0,751,1066.0,1066.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:16:19,21/03/2017 16:36:42,J0834-4159,2.243933458263026,-0.7325001426515868,3.0,3754,incomplete,1220.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 920 [-]
21/03/2017 16:36:42,21/03/2017 16:37:46,J0901-4624,2.363475422055248,-0.8095976382900308,4.0,640,1070.0,60.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:37:46,21/03/2017 17:04:27,J0855-4644,2.337008958389797,-0.8155855720654147,1.0,3388,incomplete,1600.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-2  (PRN 13)
21/03/2017 17:04:27,21/03/2017 17:30:26,J1055-6022,2.8615036696707863,-1.0533449886730666,19.0,5293,incomplete,1540.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 44 [-]
21/03/2017 17:30:26,21/03/2017 17:59:51,J1156-5707,3.1246811403584895,-0.9968646796374868,5.0,3754,1760.0,1760.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.132742760669848
21/03/2017 17:59:51,21/03/2017 18:23:17,J1001-5507,2.6251191846627617,-0.961934823540907,16.0,1436,1720.0,1390.0,0,5400,3,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:23:17,21/03/2017 18:48:01,J0630-2834,1.705288809539468,-0.49837499212955094,47.0,1244,1437.0,1437.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:48:01,21/03/2017 18:53:10,J0729-1836,1.9614847164732712,-0.324423983022271,11.0,510,298.0,298.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.708638842136131
21/03/2017 18:53:10,21/03/2017 19:13:29,J0624-0424,1.6769725591753457,-0.07654989858563074,27.0,1039,1192.0,1192.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:13:29,21/03/2017 19:17:43,J0631+1036,1.708060945588286,0.1853079092620924,16.0,287,238.0,238.0,12420,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
