Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:48:26,1490089706000
Duration,  0 day, 9 hours, 48 minutes, 26 seconds,35306000
Slew time, 0 day, 0 hour, 17 minutes, 8 seconds,1028000.0
Integration time, 0 day, 6 hours, 30 minutes, 18 seconds,2.3418E7
Waiting time, 0 day, 3 hours, 1 minute, 0 second,1.086E7
Relative slew time, 0.02911686398912366
Relative integration time, 0.6632866934798618
Relative waiting time, 0.30759644253101454
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:35:12,J2048-1616,5.448019126485467,-0.2836908901943311,42.0,1961,2070.0,2070.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:12,21/03/2017 13:39:25,J1842-0905,4.897258472634954,-0.15841480955726533,35.0,344,218.0,218.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5786201682481822
21/03/2017 13:39:25,21/03/2017 13:45:54,J1224-6407,3.2479257474367653,-1.1187855756815446,89.0,216,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:45:54,21/03/2017 13:50:55,J1243-6423,3.3304633131502555,-1.123585522012738,1.0,388,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:50:55,21/03/2017 13:54:24,J1043-6116,2.809637574845167,-1.069058769705189,13.0,288,196.0,196.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:54:24,21/03/2017 14:02:28,J1600-5751,4.190239555286068,-1.0096017046675965,33.0,194,451.0,451.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:02:28,21/03/2017 14:05:45,J1317-6302,3.4808184831100193,-1.0998861324322198,18.0,261,179.0,179.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4618216480897925
21/03/2017 14:05:45,21/03/2017 14:07:48,J1544-5308,4.123329013196465,-0.9271261708646045,20.0,178,123.0,103.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.4242270902553904
21/03/2017 14:07:48,21/03/2017 14:20:28,J0448-2749,1.2596598989783194,-0.4852658183485387,103.0,450,657.0,657.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:20:28,21/03/2017 14:32:08,J1412-6145,3.718110539329081,-1.0776011867663389,87.0,613,613.0,613.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
