Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 15:54:34,1490194474000
Duration,  1 day, 2 hours, 54 minutes, 34 seconds,96874000
Slew time, 0 day, 1 hour, 4 minutes, 29 seconds,3869000.0
Integration time, 1 day, 1 hour, 50 minutes, 5 seconds,9.3005E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.039938476784276485
Relative integration time, 0.9600615232157235
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:23:26,J0820-1350,2.1835800963565513,-0.24116640111841794,52.0,1238,1354.0,1354.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:23:26,21/03/2017 13:29:14,J0729-1448,1.9603283631217727,-0.2581303178605125,21.0,276,327.0,327.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:29:14,21/03/2017 13:37:50,J0729-1836,1.9614847164732712,-0.324423983022271,6.0,510,510.0,510.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:37:50,21/03/2017 13:40:27,J0742-2822,2.0194228844886313,-0.4948795766822046,13.0,166,144.0,144.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:27,21/03/2017 14:01:37,J0630-2834,1.705288809539468,-0.49837499212955094,15.0,1244,1255.0,1255.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:01:37,21/03/2017 14:09:55,J1328-4357,3.5260328372680796,-0.7668583064554023,136.0,532,362.0,362.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:09:55,21/03/2017 14:28:18,J1418-3921,3.7473879284769214,-0.6866973216473953,7.0,1096,1096.0,1096.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:28:18,21/03/2017 14:37:34,J0940-5428,2.5349612932689074,-0.9504258315650477,97.0,311,459.0,459.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:34,21/03/2017 15:09:45,J1652-2404,4.419938702038434,-0.4195044301272704,104.0,1703,1827.0,1827.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:09:45,21/03/2017 15:15:51,J0857-4424,2.3471157964778353,-0.7748761551135918,131.0,326,235.0,235.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3897910699004867
21/03/2017 15:15:51,21/03/2017 17:37:09,J0834-4159,2.243933458263026,-0.7325001426515868,5.0,3754,8473.0,8473.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:37:09,21/03/2017 17:44:53,J1623-4256,4.29266202077779,-0.7490759224087218,119.0,364,345.0,345.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:44:53,21/03/2017 17:53:22,J1837-0559,4.87555275811458,-0.10429166463924004,43.0,542,466.0,466.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1635631454160575
21/03/2017 17:53:22,21/03/2017 18:02:02,J1835-0643,4.86550969726629,-0.1171969200166948,2.0,305,518.0,518.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:02:02,21/03/2017 18:07:08,J1841-0425,4.891697053695527,-0.07699083662859986,2.0,186,304.0,304.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:07:08,21/03/2017 18:21:42,J1136-5525,3.0370307053233345,-0.9671630542779921,146.0,364,728.0,728.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:21:42,21/03/2017 18:30:27,J1356-5521,3.651414818181579,-0.9659769091257897,16.0,507,509.0,509.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:30:27,21/03/2017 18:35:00,J1559-4438,4.187446746757646,-0.778776084707186,54.0,257,219.0,219.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.172972186337622
21/03/2017 18:35:00,21/03/2017 18:38:02,J1557-4258,4.175718997685893,-0.7498484245282018,2.0,329,180.0,180.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8287758913932541
21/03/2017 18:38:02,21/03/2017 18:51:59,J1720-2933,4.540337113439018,-0.5156662541479846,61.0,620,776.0,776.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:51:59,21/03/2017 19:05:08,J1727-2739,4.570652973491796,-0.48258111410802657,5.0,1293,784.0,784.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6492891125855766
21/03/2017 19:05:08,21/03/2017 19:25:24,J1733-2228,4.596501299713831,-0.39193792421938217,13.0,871,1203.0,1203.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:25:24,21/03/2017 19:29:16,J1722-3207,4.54679759510938,-0.5603219575013029,20.0,477,212.0,212.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.254098564987206
21/03/2017 19:29:16,21/03/2017 19:38:25,J1703-3241,4.465318717031329,-0.5701990666265474,4.0,1211,845.0,545.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 2.2206916317273833
