Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 15:01:05,1490191265000
Duration,  1 day, 2 hours, 1 minute, 5 seconds,93665000
Slew time, 0 day, 0 hour, 57 minutes, 14 seconds,3434000.0
Integration time, 1 day, 1 hour, 3 minutes, 51 seconds,9.0231E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03666257406715422
Relative integration time, 0.9633374259328458
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:19:21,J0624-0424,1.6769725591753457,-0.07654989858563074,70.0,1039,1091.0,1091.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:19:21,21/03/2017 13:24:59,J0255-5304,0.767670054242368,-0.9260845001893726,72.0,447,266.0,266.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:24:59,21/03/2017 13:26:28,J0206-4028,0.5498709259403609,-0.70625557820798,15.0,630,incomplete,74.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 13:26:28,21/03/2017 14:09:51,J0343-3000,0.9750529121243688,-0.5234654518359938,20.0,2597,2583.0,2583.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:09:51,21/03/2017 14:20:44,J0448-2749,1.2596598989783194,-0.4852658183485387,4.0,450,649.0,649.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:20:44,21/03/2017 14:30:41,J0452-1759,1.2765705904504334,-0.3137550713449015,7.0,548,590.0,590.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:30:41,21/03/2017 14:40:04,J0820-4114,2.1827851206988833,-0.7194809560590714,47.0,545,516.0,516.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.055623334587128
21/03/2017 14:40:04,21/03/2017 14:52:45,J1648-3256,4.398671137882361,-0.5745972963415731,129.0,719,632.0,632.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1371918817667526
21/03/2017 14:52:45,21/03/2017 15:02:13,J1555-3134,4.1682790954169535,-0.5508448196629737,12.0,518,556.0,556.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:13,21/03/2017 15:23:04,J0837-4135,2.25737844216725,-0.725696412895,136.0,751,1115.0,1115.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:23:04,21/03/2017 15:25:15,J0820-3826,2.1860199430233505,-0.6705803210766942,7.0,124,124.0,124.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:25:15,21/03/2017 15:31:36,J0738-4042,2.0007530247579957,-0.710150522840646,7.0,374,374.0,374.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:31:36,21/03/2017 15:39:30,J0809-4753,2.1368567814326522,-0.8354544972328544,7.0,547,467.0,467.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
