Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 06:34:44,1490160884000
Duration,  0 day, 17 hours, 34 minutes, 44 seconds,63284000
Slew time, 0 day, 1 hour, 0 minute, 56 seconds,3656000.0
Integration time, 0 day, 16 hours, 33 minutes, 48 seconds,5.9628E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05777131660451299
Relative integration time, 0.942228683395487
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:19:56,J0630-2834,1.705288809539468,-0.49837499212955094,97.0,1244,1099.0,1099.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:19:56,21/03/2017 13:26:56,J0809-4753,2.1368567814326522,-0.8354544972328544,34.0,547,386.0,386.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:26:56,21/03/2017 13:28:03,J0835-4510,2.2486103217937075,-0.7881379662280048,4.0,89,63.0,63.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4237763318084953
21/03/2017 13:28:03,21/03/2017 13:34:00,J0738-4042,2.0007530247579957,-0.710150522840646,14.0,374,343.0,343.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0896429842488315
21/03/2017 13:34:00,21/03/2017 13:35:09,J0820-3826,2.1860199430233505,-0.6705803210766942,7.0,124,62.0,62.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9985472469076169
21/03/2017 13:35:09,21/03/2017 13:48:33,J1555-3134,4.1682790954169535,-0.5508448196629737,134.0,518,670.0,670.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:48:33,21/03/2017 14:00:07,J0255-5304,0.767670054242368,-0.9260845001893726,99.0,447,595.0,595.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:00:07,21/03/2017 14:09:14,J1418-3921,3.7473879284769214,-0.6866973216473953,99.0,1096,608.0,448.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.6497239961037211
21/03/2017 14:09:14,21/03/2017 14:23:31,J0942-5552,2.540605251737544,-0.9748037178922785,90.0,664,767.0,767.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:23:31,21/03/2017 15:25:28,J1701-3726,4.456301182562691,-0.6532137132429333,82.0,2454,3635.0,3635.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:25:28,21/03/2017 15:38:20,J1708-3426,4.489698057799603,-0.6007617210836926,8.0,692,764.0,764.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:38:20,21/03/2017 15:41:53,J1705-3423,4.475486932531396,-0.5998833841376264,3.0,255,210.0,210.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:41:53,21/03/2017 15:45:52,J1801-2304,4.7181943090870835,-0.40237499314630826,15.0,415,224.0,224.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8519219982475015
21/03/2017 15:45:52,21/03/2017 15:50:54,J1757-2421,4.701432399661496,-0.4252426848568829,2.0,234,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:50:54,21/03/2017 15:53:36,J1801-2451,4.71675346706751,-0.4335809953582858,0.0,187,162.0,162.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1547770388937628
21/03/2017 15:53:36,21/03/2017 15:57:49,J1830-1059,4.846747771417612,-0.19156006649368096,12.0,405,241.0,241.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6779812403521275
21/03/2017 15:57:49,21/03/2017 16:08:05,J1720-2933,4.540337113439018,-0.5156662541479846,24.0,620,592.0,592.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:08:05,21/03/2017 16:14:26,J1727-2739,4.570652973491796,-0.48258111410802657,2.0,1293,379.0,379.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.4082332601515604
21/03/2017 16:14:26,21/03/2017 16:22:30,J1820-0427,4.803481131982726,-0.07748234073850871,21.0,598,463.0,463.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:22:30,21/03/2017 16:31:10,J1623-4256,4.29266202077779,-0.7490759224087218,39.0,364,481.0,481.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:31:10,21/03/2017 16:49:51,J1703-3241,4.465318717031329,-0.5701990666265474,13.0,1211,1108.0,1108.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0932362214449232
21/03/2017 16:49:51,21/03/2017 16:58:38,J1428-5530,3.789276848633516,-0.9684143583889359,57.0,570,470.0,470.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
