Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 14:42:10,1490190130000
Duration,  1 day, 1 hour, 42 minutes, 10 seconds,92530000
Slew time, 0 day, 1 hour, 14 minutes, 44 seconds,4484000.0
Integration time, 1 day, 0 hour, 27 minutes, 26 seconds,8.8046E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.048459958932238194
Relative integration time, 0.9515400410677618
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:19:50,J0624-0424,1.6769725591753457,-0.07654989858563074,70.0,1039,1120.0,1120.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:19:50,21/03/2017 13:32:48,J0601-0527,1.579448949277968,-0.09487532243652198,8.0,395,770.0,770.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:48,21/03/2017 13:38:07,J0525+1115,1.4221850534626992,0.19644204329971776,19.0,354,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:38:07,21/03/2017 13:41:49,J0543+2329,1.4973223286090653,0.40988572669405726,11.0,245,211.0,211.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.163621104490376
21/03/2017 13:41:49,21/03/2017 13:48:36,J0614+2229,1.633130761029874,0.3928736146239236,5.0,334,402.0,402.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:48:36,21/03/2017 13:51:02,J0452-1759,1.2765705904504334,-0.3137550713449015,46.0,548,incomplete,100.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-6  (PRN 06)
21/03/2017 13:51:02,21/03/2017 14:00:21,J0448-2749,1.2596598989783194,-0.4852658183485387,9.0,450,550.0,550.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:00:21,21/03/2017 14:17:23,J0343-3000,0.9750529121243688,-0.5234654518359938,12.0,2597,incomplete,1010.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:17:23,21/03/2017 14:22:06,J0255-5304,0.767670054242368,-0.9260845001893726,25.0,447,258.0,258.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:22:06,21/03/2017 14:28:53,J0659+1414,1.831732794723039,0.24852276514196478,86.0,384,401.0,321.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:28:53,21/03/2017 14:37:34,J0452-1759,1.2765705904504334,-0.3137550713449015,45.0,548,576.0,476.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:34,21/03/2017 14:46:01,J0627+0706,1.6918185479589658,0.12407981984740686,32.0,475,475.0,475.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:46:01,21/03/2017 14:49:49,J0742-2822,2.0194228844886313,-0.4948795766822046,31.0,166,197.0,197.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:49:49,21/03/2017 14:52:04,J0820-3826,2.1860199430233505,-0.6705803210766942,11.0,124,124.0,124.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:52:04,21/03/2017 14:58:09,J0820-4114,2.1827851206988833,-0.7194809560590714,4.0,545,361.0,361.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5115428422958765
21/03/2017 14:58:09,21/03/2017 15:03:07,J0738-4042,2.0007530247579957,-0.710150522840646,8.0,374,290.0,290.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2916425041619757
21/03/2017 15:03:07,21/03/2017 15:12:07,J1649-3805,4.406099840955266,-0.6643930319156381,124.0,262,416.0,416.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:12:07,21/03/2017 15:24:12,J1648-3256,4.398671137882361,-0.5745972963415731,6.0,719,719.0,719.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:24:12,21/03/2017 16:03:51,J0834-4159,2.243933458263026,-0.7325001426515868,130.0,3754,2249.0,2249.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:03:51,21/03/2017 16:10:13,J0837-4135,2.25737844216725,-0.725696412895,6.0,751,376.0,376.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:10:13,21/03/2017 16:21:01,J0954-5430,2.5922531804066646,-0.950945067017516,18.0,1045,incomplete,630.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2464 (736)
21/03/2017 16:21:01,21/03/2017 16:25:32,J1841-0345,4.8940981176919065,-0.06611598094763187,133.0,204,138.0,138.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4781682592390788
21/03/2017 16:25:32,21/03/2017 16:53:18,J1652-2404,4.419938702038434,-0.4195044301272704,33.0,1703,1633.0,1633.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:53:18,21/03/2017 16:56:25,J1705-1906,4.475031401596625,-0.3331707490500087,8.0,298,179.0,179.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:56:25,21/03/2017 17:07:20,J1709-1640,4.491782366353361,-0.29060832572761713,2.0,653,653.0,653.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:07:20,21/03/2017 17:24:59,J1733-2228,4.596501299713831,-0.39193792421938217,8.0,871,1051.0,1051.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
