Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 20:00:30,1490209230000
Duration,  1 day, 7 hours, 0 minute, 30 seconds,111630000
Slew time, 0 day, 1 hour, 8 minutes, 40 seconds,4120000.0
Integration time, 1 day, 1 hour, 39 minutes, 50 seconds,9.239E7
Waiting time, 0 day, 4 hours, 12 minutes, 0 second,1.512E7
Relative slew time, 0.03690764131505868
Relative integration time, 0.8276448983248231
Relative waiting time, 0.13544746036011826
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:19:33,J0624-0424,1.6769725591753457,-0.07654989858563074,70.0,1039,1103.0,1103.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:19:33,21/03/2017 13:27:31,J0601-0527,1.579448949277968,-0.09487532243652198,8.0,395,470.0,470.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:27:31,21/03/2017 13:33:43,J0525+1115,1.4221850534626992,0.19644204329971776,18.0,354,354.0,354.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:33:43,21/03/2017 13:45:07,J0631+1036,1.708060945588286,0.1853079092620924,11.0,287,673.0,673.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:07,21/03/2017 13:51:52,J0627+0706,1.6918185479589658,0.12407981984740686,5.0,475,incomplete,400.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 95 [+]
21/03/2017 13:51:52,21/03/2017 14:01:46,J0820-4114,2.1827851206988833,-0.7194809560590714,49.0,545,545.0,545.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:01:46,21/03/2017 14:17:23,J0343-3000,0.9750529121243688,-0.5234654518359938,57.0,2597,incomplete,880.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:17:23,21/03/2017 14:18:24,J0614+2229,1.633130761029874,0.3928736146239236,61.0,334,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:18:24,21/03/2017 14:18:54,J0627+0706,1.6918185479589658,0.12407981984740686,11.0,475,419.0,19.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.825573840159172
21/03/2017 14:18:54,21/03/2017 14:24:08,J0659+1414,1.831732794723039,0.24852276514196478,10.0,384,304.0,304.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:24:08,21/03/2017 14:28:58,J0729-1836,1.9614847164732712,-0.324423983022271,26.0,510,564.0,264.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.9306417075454825
21/03/2017 14:28:58,21/03/2017 14:33:36,J0255-5304,0.767670054242368,-0.9260845001893726,61.0,447,217.0,217.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:33:36,21/03/2017 14:45:52,J0809-4753,2.1368567814326522,-0.8354544972328544,42.0,547,694.0,694.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:45:52,21/03/2017 14:47:02,J0835-4510,2.2486103217937075,-0.7881379662280048,4.0,89,66.0,66.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3440039144293283
21/03/2017 14:47:02,21/03/2017 14:53:26,J0738-4042,2.0007530247579957,-0.710150522840646,10.0,374,674.0,374.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:53:26,21/03/2017 14:55:20,J0908-4913,2.3936848897457046,-0.8589613673006038,14.0,106,100.0,100.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:55:20,21/03/2017 14:59:32,J0907-5157,2.3878940327316918,-0.9064112943049969,4.0,253,248.0,248.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:32,21/03/2017 15:02:16,J0905-5127,2.3817869802348595,-0.8977357474070141,1.0,346,163.0,163.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:02:16,21/03/2017 15:19:52,J0842-4851,2.2780451912727337,-0.8524924983535592,5.0,644,1051.0,1051.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:19:52,21/03/2017 15:41:05,J0855-4644,2.337008958389797,-0.8155855720654147,3.0,3388,incomplete,1270.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0207 (PRN E07)
