Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 22:03:58,1490130238000
Duration,  0 day, 9 hours, 3 minutes, 58 seconds,32638000
Slew time, 0 day, 0 hour, 24 minutes, 0 second,1440000.0
Integration time, 0 day, 8 hours, 39 minutes, 58 seconds,3.1198E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04412035051167351
Relative integration time, 0.9558796494883265
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:24,J0627+0706,1.6918185479589658,0.12407981984740686,62.0,475,262.0,262.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.816087258265955
21/03/2017 13:05:24,21/03/2017 13:20:56,J0942-5552,2.540605251737544,-0.9748037178922785,115.0,664,817.0,817.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:20:56,21/03/2017 13:25:59,J0940-5428,2.5349612932689074,-0.9504258315650477,6.0,311,297.0,297.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:25:59,21/03/2017 13:42:41,J1418-3921,3.7473879284769214,-0.6866973216473953,75.0,1096,927.0,927.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1818946499882044
21/03/2017 13:42:41,21/03/2017 13:53:46,J1328-4357,3.5260328372680796,-0.7668583064554023,12.0,532,653.0,653.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:53:46,21/03/2017 14:05:24,J1717-3425,4.5262382710193565,-0.600104313732108,42.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:05:24,21/03/2017 14:30:35,J1001-5507,2.6251191846627617,-0.961934823540907,75.0,1436,1436.0,1436.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:30:35,21/03/2017 14:32:15,J0908-4913,2.3936848897457046,-0.8589613673006038,27.0,106,73.0,73.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:32:15,21/03/2017 14:37:35,J1737-3137,4.61234452599881,-0.5517131209658409,107.0,450,213.0,213.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.109587473211467
21/03/2017 14:37:35,21/03/2017 14:56:20,J1727-2739,4.570652973491796,-0.48258111410802657,5.0,1293,1120.0,1120.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1547698864646911
21/03/2017 14:56:20,21/03/2017 14:59:26,J1757-2421,4.701432399661496,-0.4252426848568829,3.0,234,183.0,183.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.275463045721544
21/03/2017 14:59:26,21/03/2017 15:03:18,J1722-3712,4.550885665271917,-0.6492445436356896,13.0,236,219.0,219.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:18,21/03/2017 15:10:35,J1723-3659,4.551497257730635,-0.645413545927562,0.0,202,437.0,437.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:10:35,21/03/2017 15:18:05,J1722-3632,4.547296613831346,-0.6373685477032304,1.0,399,449.0,449.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
