Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 06:50:18,1490161818000
Duration,  0 day, 17 hours, 50 minutes, 18 seconds,64218000
Slew time, 0 day, 0 hour, 39 minutes, 15 seconds,2355000.0
Integration time, 0 day, 17 hours, 11 minutes, 3 seconds,6.1863E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03667196113239279
Relative integration time, 0.9633280388676072
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:42,J0631+1036,1.708060945588286,0.1853079092620924,64.0,287,458.0,458.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:08:42,21/03/2017 13:15:43,J0452-1759,1.2765705904504334,-0.3137550713449015,42.0,548,379.0,379.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:15:43,21/03/2017 13:28:14,J0448-2749,1.2596598989783194,-0.4852658183485387,10.0,450,741.0,741.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:28:14,21/03/2017 13:46:40,J0837-4135,2.25737844216725,-0.725696412895,45.0,751,1061.0,1061.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:46:40,21/03/2017 14:55:15,J0834-4159,2.243933458263026,-0.7325001426515868,4.0,3754,4111.0,4111.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:55:15,21/03/2017 15:05:58,J1328-4357,3.5260328372680796,-0.7668583064554023,114.0,532,529.0,529.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:05:58,21/03/2017 15:41:06,J0855-4644,2.337008958389797,-0.8155855720654147,108.0,3388,incomplete,2000.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0207 (PRN E07)
21/03/2017 15:41:06,21/03/2017 15:49:01,J0659+1414,1.831732794723039,0.24852276514196478,55.0,384,420.0,420.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:49:01,21/03/2017 15:57:12,J0255-5304,0.767670054242368,-0.9260845001893726,86.0,447,405.0,405.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:57:12,21/03/2017 16:01:46,J0738-4042,2.0007530247579957,-0.710150522840646,38.0,374,536.0,236.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.587746490199994
21/03/2017 16:01:46,21/03/2017 16:22:01,J0820-1350,2.1835800963565513,-0.24116640111841794,31.0,1238,1184.0,1184.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:22:01,21/03/2017 16:38:06,J0942-5552,2.540605251737544,-0.9748037178922785,48.0,664,917.0,917.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:38:06,21/03/2017 17:03:07,J1034-3224,2.767765671648779,-0.5653606260890742,37.0,1150,1464.0,1464.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:03:07,21/03/2017 17:25:52,J0954-5430,2.5922531804066646,-0.950945067017516,34.0,1045,1331.0,1331.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:25:52,21/03/2017 17:37:09,J1001-5507,2.6251191846627617,-0.961934823540907,2.0,1436,675.0,675.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1270623499203345
