Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 00:17:11,1490138231000
Duration,  0 day, 11 hours, 17 minutes, 11 seconds,40631000
Slew time, 0 day, 0 hour, 16 minutes, 6 seconds,966000.0
Integration time, 0 day, 11 hours, 1 minute, 5 seconds,3.9665E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.02377495016120696
Relative integration time, 0.976225049838793
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:49,J0631+1036,1.708060945588286,0.1853079092620924,64.0,287,165.0,165.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:03:49,21/03/2017 13:05:13,J0627+0706,1.6918185479589658,0.12407981984740686,4.0,475,incomplete,80.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 13:05:13,21/03/2017 13:21:51,J0624-0424,1.6769725591753457,-0.07654989858563074,11.0,1039,987.0,987.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:21:51,21/03/2017 13:32:57,J0601-0527,1.579448949277968,-0.09487532243652198,7.0,395,659.0,659.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:57,21/03/2017 13:38:26,J1557-4258,4.175718997685893,-0.7498484245282018,155.0,329,174.0,174.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.886159070345649
21/03/2017 13:38:26,21/03/2017 13:42:44,J1559-4438,4.187446746757646,-0.778776084707186,1.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:42:44,21/03/2017 13:49:42,J1328-4357,3.5260328372680796,-0.7668583064554023,27.0,532,391.0,391.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:49:42,21/03/2017 13:53:20,J1418-3921,3.7473879284769214,-0.6866973216473953,8.0,1096,incomplete,210.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIR-8  (PRN 16)
21/03/2017 13:53:20,21/03/2017 13:59:35,J1549-4848,4.142332012648075,-0.8515391607310254,15.0,613,360.0,360.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.702483773787542
21/03/2017 13:59:35,21/03/2017 14:14:06,J1418-3921,3.7473879284769214,-0.6866973216473953,16.0,1096,1065.0,855.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:14:06,21/03/2017 14:18:22,J1721-3532,4.544603061741155,-0.6199331932894881,32.0,280,224.0,224.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.250317829364426
21/03/2017 14:18:22,21/03/2017 14:28:08,J1738-3211,4.62033631592164,-0.5614452708004336,4.0,768,582.0,582.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3192951214041673
21/03/2017 14:28:08,21/03/2017 14:30:25,J1801-2451,4.71675346706751,-0.4335809953582858,6.0,187,131.0,131.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4291267859576915
21/03/2017 14:30:25,21/03/2017 14:35:27,J1806-2125,4.739993544166545,-0.37359742266300844,2.0,481,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:35:27,21/03/2017 14:36:49,J1739-3023,4.62365353233121,-0.5302310267558773,10.0,135,72.0,72.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:36:49,21/03/2017 14:46:56,J1740-3015,4.627581977589243,-0.527751204777002,0.0,606,607.0,607.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:46:56,21/03/2017 14:51:05,J1801-2304,4.7181943090870835,-0.40237499314630826,5.0,415,244.0,244.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7042798040745117
21/03/2017 14:51:05,21/03/2017 14:56:56,J1739-3131,4.62252663141084,-0.5499954260936698,9.0,529,342.0,342.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5448823749972829
21/03/2017 14:56:56,21/03/2017 14:58:32,J1807-0847,4.745697672861144,-0.15308830708701918,16.0,163,incomplete,80.0,0,600,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 13 [+]
21/03/2017 14:58:32,21/03/2017 14:59:29,J1825-1446,4.8216849160810265,-0.2574719408815657,7.0,279,incomplete,50.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 13 [+]
21/03/2017 14:59:29,21/03/2017 15:50:59,J1743-3150,4.640880295658656,-0.5554912739827275,17.0,2414,3073.0,3073.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
