Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 13:18:01,1490185081000
Duration,  1 day, 0 hour, 18 minutes, 1 second,87481000
Slew time, 0 day, 1 hour, 11 minutes, 29 seconds,4289000.0
Integration time, 0 day, 15 hours, 49 minutes, 32 seconds,5.6972E7
Waiting time, 0 day, 7 hours, 17 minutes, 0 second,2.622E7
Relative slew time, 0.04902778889130211
Relative integration time, 0.651249985711183
Relative waiting time, 0.29972222539751486
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:18:37,J0624-0424,1.6769725591753457,-0.07654989858563074,70.0,1039,1047.0,1047.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:18:37,21/03/2017 13:44:16,J0820-1350,2.1835800963565513,-0.24116640111841794,24.0,1238,1515.0,1515.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:44:16,21/03/2017 14:14:32,J0630-2834,1.705288809539468,-0.49837499212955094,43.0,1244,1773.0,1773.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:14:32,21/03/2017 14:18:56,J0940-5428,2.5349612932689074,-0.9504258315650477,49.0,311,215.0,215.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:18:56,21/03/2017 14:27:00,J1328-4357,3.5260328372680796,-0.7668583064554023,85.0,532,399.0,399.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:27:00,21/03/2017 14:32:40,J0729-1448,1.9603283631217727,-0.2581303178605125,152.0,276,188.0,188.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:32:40,21/03/2017 14:59:46,J1700-3312,4.4544424796313695,-0.5792238733004015,158.0,1358,1468.0,1468.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:46,21/03/2017 15:16:42,J0942-5552,2.540605251737544,-0.9748037178922785,97.0,664,919.0,919.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:16:42,21/03/2017 15:23:34,J1828-1101,4.835932765985578,-0.19203033576435724,112.0,72,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:23:34,21/03/2017 15:28:34,J1559-4438,4.187446746757646,-0.778776084707186,43.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:28:34,21/03/2017 15:35:14,J1136-5525,3.0370307053233345,-0.9671630542779921,72.0,364,328.0,328.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:35:14,21/03/2017 15:44:50,J0729-1836,1.9614847164732712,-0.324423983022271,66.0,510,510.0,510.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:44:50,21/03/2017 15:58:31,J1709-1640,4.491782366353361,-0.29060832572761713,168.0,653,653.0,653.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:58:31,21/03/2017 16:02:28,J1705-3423,4.475486932531396,-0.5998833841376264,17.0,255,220.0,220.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:02:28,21/03/2017 16:06:44,J0905-5127,2.3817869802348595,-0.8977357474070141,117.0,346,139.0,139.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:06:44,21/03/2017 16:12:37,J1841-0425,4.891697053695527,-0.07699083662859986,136.0,186,217.0,217.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:12:37,21/03/2017 16:22:15,J0820-4114,2.1827851206988833,-0.7194809560590714,147.0,545,431.0,431.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2650461881290904
21/03/2017 16:22:15,21/03/2017 16:29:37,J1557-4258,4.175718997685893,-0.7498484245282018,120.0,329,322.0,322.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0212237181546349
21/03/2017 16:29:37,21/03/2017 16:48:13,J1418-3921,3.7473879284769214,-0.6866973216473953,20.0,1096,1096.0,1096.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:48:13,21/03/2017 16:50:48,J1826-1334,4.826793494801613,-0.2365561090511381,54.0,101,101.0,101.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:50:48,21/03/2017 16:52:40,J1835-1106,4.866435158102161,-0.19365834010552305,2.0,165,110.0,110.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.5063434225578358
21/03/2017 16:52:40,21/03/2017 17:00:31,J1737-3137,4.61234452599881,-0.5517131209658409,21.0,450,450.0,450.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:00:31,21/03/2017 18:18:12,J1843-0702,4.901643830546746,-0.1224901157870487,23.0,4689,4638.0,4638.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 18:18:12,21/03/2017 18:33:37,J1741-2733,4.629583288464862,-0.4805909539470719,38.0,892,887.0,887.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:33:37,21/03/2017 18:34:31,J1828-1101,4.835932765985578,-0.19203033576435724,17.0,72,337.0,37.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.9490145069926643
21/03/2017 18:34:31,21/03/2017 18:40:38,J1801-2304,4.7181943090870835,-0.40237499314630826,11.0,415,356.0,356.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1666190111666508
21/03/2017 18:40:38,21/03/2017 18:45:39,J1845-0434,4.911262630942696,-0.07955889469743707,17.0,486,284.0,284.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7129158016775463
21/03/2017 18:45:39,21/03/2017 18:47:21,J1825-1446,4.8216849160810265,-0.2574719408815657,11.0,279,91.0,91.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.0774960533104267
21/03/2017 18:47:21,21/03/2017 18:52:59,J1739-2903,4.623251961159148,-0.5070011792255139,16.0,322,322.0,322.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:52:59,21/03/2017 19:04:39,J1549-4848,4.142332012648075,-0.8515391607310254,87.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:04:39,21/03/2017 19:09:33,J1721-3532,4.544603061741155,-0.6199331932894881,72.0,280,222.0,222.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2594881035341514
21/03/2017 19:09:33,21/03/2017 19:13:39,J1829-1751,4.842062362318582,-0.3115223637474246,29.0,307,217.0,217.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:13:39,21/03/2017 19:20:39,J1604-4909,4.20791603178411,-0.8575464870536535,105.0,327,315.0,315.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:20:39,21/03/2017 19:27:45,J1653-4249,4.422971211613773,-0.7472758092107622,37.0,612,389.0,389.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5740926864134281
21/03/2017 19:27:45,21/03/2017 19:32:34,J1705-3950,4.474576234272115,-0.69493677863922,13.0,318,276.0,276.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:32:34,21/03/2017 20:16:28,J1743-3150,4.640880295658656,-0.5554912739827275,37.0,2414,3707.0,2597.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:16:28,21/03/2017 20:29:33,J1740-3015,4.627581977589243,-0.527751204777002,20.0,606,765.0,765.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:29:33,21/03/2017 20:45:39,J1750-3157,4.6721968111492425,-0.557418893178819,11.0,910,1145.0,955.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:45:39,21/03/2017 20:47:58,J1749-3002,4.665373446438571,-0.524010867227242,39.0,609,680.0,100.0,0,600,3,0,1,0,Completed: Shortened interval; scintillation of 1.019524441359239
21/03/2017 20:47:58,21/03/2017 20:59:30,J1644-4559,4.384360237958581,-0.8025145104090204,171.0,455,521.0,521.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:59:30,21/03/2017 21:08:10,J1640-4715,4.3642823338538985,-0.824496932337889,3.0,517,517.0,517.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:08:10,21/03/2017 21:17:16,J1428-5530,3.789276848633516,-0.9684143583889359,23.0,570,523.0,523.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:17:16,21/03/2017 21:58:36,J1534-5334,4.075952486983392,-0.934821133611175,8.0,1368,2472.0,2472.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:58:36,21/03/2017 22:01:29,J1702-4310,4.461275370930876,-0.753206534971775,15.0,261,158.0,158.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6562426138893573
21/03/2017 22:01:29,21/03/2017 22:07:43,J1626-4537,4.305798532281135,-0.796036914815716,7.0,370,367.0,367.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.006949293788412
