Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 02:17:16,1490145436000
Duration,  0 day, 13 hours, 17 minutes, 16 seconds,47836000
Slew time, 0 day, 0 hour, 46 minutes, 51 seconds,2811000.0
Integration time, 0 day, 12 hours, 10 minutes, 25 seconds,4.3825E7
Waiting time, 0 day, 0 hour, 20 minutes, 0 second,1200000.0
Relative slew time, 0.05876327452128104
Relative integration time, 0.916151015971235
Relative waiting time, 0.025085709507483903
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:55,J0738-4042,2.0007530247579957,-0.710150522840646,115.0,374,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:06:55,21/03/2017 13:12:00,J0543+2329,1.4973223286090653,0.40988572669405726,60.0,245,245.0,245.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:12:00,21/03/2017 13:22:26,J0905-5127,2.3817869802348595,-0.8977357474070141,99.0,346,527.0,527.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:22:26,21/03/2017 13:25:41,J0729-1448,1.9603283631217727,-0.2581303178605125,81.0,276,114.0,114.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:25:41,21/03/2017 13:29:25,J0908-4913,2.3936848897457046,-0.8589613673006038,73.0,106,151.0,151.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:29:25,21/03/2017 13:43:24,J0942-5552,2.540605251737544,-0.9748037178922785,19.0,664,820.0,820.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:43:24,21/03/2017 13:55:28,J1717-3425,4.5262382710193565,-0.600104313732108,68.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:55:28,21/03/2017 14:03:44,J1709-1640,4.491782366353361,-0.29060832572761713,17.0,653,479.0,479.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3631614075409202
21/03/2017 14:03:44,21/03/2017 14:09:33,J1737-3137,4.61234452599881,-0.5517131209658409,15.0,450,334.0,334.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.345456534018349
21/03/2017 14:09:33,21/03/2017 14:25:01,J1705-3950,4.474576234272115,-0.69493677863922,10.0,318,918.0,918.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
