Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:41:31,1490150491000
Duration,  0 day, 14 hours, 41 minutes, 31 seconds,52891000
Slew time, 0 day, 0 hour, 32 minutes, 14 seconds,1934000.0
Integration time, 0 day, 9 hours, 0 minute, 17 seconds,3.2417E7
Waiting time, 0 day, 5 hours, 9 minutes, 0 second,1.854E7
Relative slew time, 0.036565767332816544
Relative integration time, 0.6129020060123651
Relative waiting time, 0.3505322266548184
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:10,J0255-5304,0.767670054242368,-0.9260845001893726,218.0,447,272.0,272.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:08:10,21/03/2017 13:14:46,J0452-1759,1.2765705904504334,-0.3137550713449015,43.0,548,353.0,353.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:14:46,21/03/2017 13:21:19,J0905-5127,2.3817869802348595,-0.8977357474070141,55.0,346,338.0,338.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:21:19,21/03/2017 13:41:43,J0820-1350,2.1835800963565513,-0.24116640111841794,94.0,1238,1130.0,1130.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:43,21/03/2017 13:54:12,J1717-3425,4.5262382710193565,-0.600104313732108,175.0,656,574.0,574.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1433082622286366
21/03/2017 13:54:12,21/03/2017 14:02:11,J1722-3207,4.54679759510938,-0.5603219575013029,2.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:02:11,21/03/2017 14:15:56,J1428-5530,3.789276848633516,-0.9684143583889359,36.0,570,789.0,789.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:15:56,21/03/2017 14:25:41,J1740-3015,4.627581977589243,-0.527751204777002,37.0,606,548.0,548.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:25:41,21/03/2017 14:33:06,J0738-4042,2.0007530247579957,-0.710150522840646,123.0,374,322.0,322.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1614324945438352
21/03/2017 14:33:06,21/03/2017 14:41:17,J1745-3040,4.651033748582133,-0.535120372729867,124.0,367,367.0,367.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:41:17,21/03/2017 14:44:24,J1646-4346,4.393233710041876,-0.7636882067573633,17.0,231,170.0,170.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3625373760390784
21/03/2017 14:44:24,21/03/2017 14:52:11,J1722-3632,4.547296613831346,-0.6373685477032304,8.0,399,459.0,459.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:52:11,21/03/2017 14:56:27,J1626-4537,4.305798532281135,-0.796036914815716,14.0,370,242.0,242.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5313227885252005
21/03/2017 14:56:27,21/03/2017 16:04:34,J1720-2933,4.540337113439018,-0.5156662541479846,14.0,620,4073.0,4073.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:04:34,21/03/2017 16:19:44,J1820-0427,4.803481131982726,-0.07748234073850871,23.0,598,887.0,887.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:19:44,21/03/2017 16:31:36,J1832-0827,4.854707490915438,-0.14746267457552845,2.0,647,710.0,710.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:31:36,21/03/2017 16:45:25,J1822-2256,4.812669054219589,-0.40011188288288896,11.0,1874,818.0,818.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.290223807040023
21/03/2017 16:45:25,21/03/2017 17:03:02,J1913-0440,5.034851176966692,-0.08121753926324903,16.0,825,1041.0,1041.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:03:02,21/03/2017 17:09:56,J1719-4006,4.533617959429102,-0.699588565909466,41.0,189,373.0,373.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:09:56,21/03/2017 17:15:36,J1733-3716,4.596524861658733,-0.6501613263066677,3.0,337,337.0,337.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:15:36,21/03/2017 17:21:31,J1835-0643,4.86550969726629,-0.1171969200166948,28.0,305,327.0,327.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:21:31,21/03/2017 17:24:30,J1709-4429,4.49296676860038,-0.7763406802814875,38.0,102,141.0,141.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:24:30,21/03/2017 17:29:28,J1648-4611,4.399831054614415,-0.8059736560237369,4.0,402,294.0,294.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.36910494513653
21/03/2017 17:29:28,21/03/2017 17:31:20,J1750-3157,4.6721968111492425,-0.557418893178819,22.0,910,incomplete,90.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 17:31:20,21/03/2017 17:41:39,J1822-4209,4.809207920868779,-0.7356030471734241,15.0,456,604.0,604.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:41:39,21/03/2017 17:43:54,J1841-0345,4.8940981176919065,-0.06611598094763187,41.0,204,94.0,94.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.1776533313174506
21/03/2017 17:43:54,21/03/2017 17:51:14,J1038-5831,2.785232781358634,-1.021176728266823,140.0,661,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:51:14,21/03/2017 17:56:30,J1043-6116,2.809637574845167,-1.069058769705189,3.0,288,313.0,313.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:56:30,21/03/2017 18:27:06,J1646-6831,4.393488237224458,-1.1955941708474156,51.0,1785,1785.0,1785.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:27:06,21/03/2017 18:35:18,J1751-4657,4.676190342643962,-0.8193118500184227,36.0,742,456.0,456.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6271664526444585
21/03/2017 18:35:18,21/03/2017 20:06:59,J1055-6022,2.8615036696707863,-1.0533449886730666,88.0,5293,5413.0,5413.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 20:06:59,21/03/2017 20:16:03,J1338-6204,3.56987827151616,-1.0831770289127798,8.0,1238,536.0,536.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3117858974169776
21/03/2017 20:16:03,21/03/2017 20:22:41,J1424-5822,3.7722462894028164,-1.0184190110859357,5.0,366,393.0,393.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:22:41,21/03/2017 21:07:25,J1515-5720,3.9931169790221768,-1.0004178791063387,5.0,3388,2679.0,2679.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:07:25,21/03/2017 21:09:28,J1317-6302,3.4808184831100193,-1.0998861324322198,20.0,261,103.0,103.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.543775247384178
21/03/2017 21:09:28,21/03/2017 21:13:37,J1305-6203,3.4267285479291503,-1.0828720811073618,1.0,427,248.0,248.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
