Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 23:30:41,1490135441000
Duration,  0 day, 10 hours, 30 minutes, 41 seconds,37841000
Slew time, 0 day, 0 hour, 16 minutes, 30 seconds,990000.0
Integration time, 0 day, 10 hours, 14 minutes, 11 seconds,3.6851E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.026162099310271927
Relative integration time, 0.9738379006897281
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:39,J0452-1759,1.2765705904504334,-0.3137550713449015,97.0,548,602.0,602.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:39,21/03/2017 13:14:20,J0543+2329,1.4973223286090653,0.40988572669405726,40.0,245,121.0,121.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.017104262686356
21/03/2017 13:14:20,21/03/2017 13:37:34,J0837-4135,2.25737844216725,-0.725696412895,66.0,751,1328.0,1328.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:37:34,21/03/2017 13:42:47,J0907-5157,2.3878940327316918,-0.9064112943049969,25.0,253,288.0,288.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:42:47,21/03/2017 13:54:04,J1356-5521,3.651414818181579,-0.9659769091257897,73.0,507,604.0,604.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:54:04,21/03/2017 14:01:46,J1722-3207,4.54679759510938,-0.5603219575013029,38.0,477,424.0,424.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.124671375494433
21/03/2017 14:01:46,21/03/2017 14:20:40,J1418-3921,3.7473879284769214,-0.6866973216473953,38.0,1096,1096.0,1096.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:20:40,21/03/2017 14:26:26,J1749-3002,4.665373446438571,-0.524010867227242,39.0,609,307.0,307.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9840452508564212
21/03/2017 14:26:26,21/03/2017 15:26:28,J1743-3150,4.640880295658656,-0.5554912739827275,3.0,2414,3599.0,3599.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:26:28,21/03/2017 15:32:50,J1715-3903,4.517079364881308,-0.6815413766301635,19.0,640,363.0,363.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7644795362105887
21/03/2017 15:32:50,21/03/2017 16:00:29,J1822-2256,4.812669054219589,-0.40011188288288896,18.0,1874,1641.0,1641.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1421221644083248
21/03/2017 16:00:29,21/03/2017 16:07:05,J1653-4249,4.422971211613773,-0.7472758092107622,29.0,612,367.0,367.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6675498902806971
21/03/2017 16:07:05,21/03/2017 16:08:00,J1718-3825,4.530115883562922,-0.6704097636236798,4.0,80,51.0,51.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:08:00,21/03/2017 16:23:01,J1632-4818,4.331306519299032,-0.8427390167169976,11.0,890,890.0,890.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:23:01,21/03/2017 16:26:09,J1544-5308,4.123329013196465,-0.9271261708646045,10.0,178,178.0,178.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:26:09,21/03/2017 16:28:08,J1611-5209,4.237019469783167,-0.910074788886301,3.0,182,116.0,116.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.5665042553489932
21/03/2017 16:28:08,21/03/2017 16:35:59,J1707-4053,4.482712959244913,-0.7132767953819126,17.0,581,454.0,454.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2798704499615423
21/03/2017 16:35:59,21/03/2017 16:40:43,J1524-5625,4.035336493627919,-0.9845431399320879,30.0,196,254.0,254.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:40:43,21/03/2017 16:48:17,J1707-4729,4.482263464240472,-0.8285732457686581,21.0,266,433.0,433.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:48:17,21/03/2017 17:04:44,J1825-0935,4.823699462370141,-0.1671526065319025,38.0,769,949.0,949.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:04:44,21/03/2017 17:16:05,J1651-5222,4.41444455099726,-0.9136885900652916,46.0,635,635.0,635.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:16:05,21/03/2017 17:26:54,J1043-6116,2.809637574845167,-1.069058769705189,78.0,288,571.0,571.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:26:54,21/03/2017 21:50:27,J1055-6022,2.8615036696707863,-1.0533449886730666,1.0,5293,15812.0,15812.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 21:50:27,21/03/2017 21:55:30,J1512-5759,3.9824796335635835,-1.011710159366742,3.0,128,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 21:55:30,21/03/2017 22:05:09,J1650-4502,4.409305283570657,-0.7857991043117258,17.0,1106,782.0,562.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.4470294917779176
