Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 01:50:14,1490316614000
Duration,  2 days, 12 hours, 50 minutes, 14 seconds,219014000
Slew time, 0 day, 1 hour, 0 minute, 36 seconds,3636000.0
Integration time, 1 day, 7 hours, 56 minutes, 38 seconds,1.14998E8
Waiting time, 1 day, 3 hours, 53 minutes, 0 second,1.0038E8
Relative slew time, 0.016601678431515794
Relative integration time, 0.5250714566192115
Relative waiting time, 0.45832686494927266
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:20,J0533+0402,1.4548642856722165,0.07039737056551017,71.0,170,189.0,189.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:20,21/03/2017 13:12:45,J0621+0336,1.6632421266719581,0.06305254025943692,8.0,427,497.0,497.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:12:45,21/03/2017 13:14:08,J0623+0340,1.6745531692218207,0.0640283732367742,1.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:14:08,21/03/2017 13:37:23,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,1392.0,1392.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.228042791453056
21/03/2017 13:37:23,21/03/2017 13:46:17,J0625+10,1.6831518973920316,0.17918713653808452,7.0,402,527.0,527.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:46:17,21/03/2017 14:09:32,J0635+0533,1.724821633283396,0.09691910299060733,3.0,1039,1402.0,1392.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:09:32,21/03/2017 14:14:48,J0815+0939,2.160483158072796,0.16867007335377535,18.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:14:48,21/03/2017 14:24:54,B1133+16,3.0371090778789545,0.27665640609401493,300.0,192,306.0,306.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:24:54,21/03/2017 14:36:37,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,691.0,691.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:36:37,21/03/2017 14:41:47,J1342+2822B,3.587457889512921,0.4952863402087923,10.0,647,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:41:47,21/03/2017 14:56:31,J1342+2822A,3.5874515554221773,0.49524687152701324,1.0,844,883.0,883.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:56:31,21/03/2017 15:01:02,J1313+0931,3.4617878492785863,0.1663686628095484,21.0,334,250.0,250.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.337083167878049
21/03/2017 15:01:02,21/03/2017 15:07:19,J1549+2113,4.143770963894292,0.37043110451168204,31.0,346,346.0,346.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:07:19,21/03/2017 16:03:28,J1612+2008,4.242854105472584,0.351481822415939,3.0,2597,3366.0,3366.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:03:28,21/03/2017 16:16:25,J1649+2533,4.4058095345230175,0.4459655608422289,7.0,2597,incomplete,770.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:25,21/03/2017 16:22:01,J1640+2224,4.364540848022992,0.3909966186058234,5.0,395,331.0,331.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:22:01,21/03/2017 16:59:22,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,3009.0,2239.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:59:22,21/03/2017 17:03:07,J1720+2150,4.537950593853073,0.38112560950327723,3.0,507,222.0,222.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.28822157413665
21/03/2017 17:03:07,21/03/2017 17:27:52,J1741+2758,4.633377197926385,0.48815404737238066,7.0,1116,1478.0,1478.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:27:52,21/03/2017 17:28:33,J1758+3030,4.705544380834785,0.5324417771417368,3.0,85,38.0,38.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2367128303262476
21/03/2017 17:28:33,21/03/2017 17:42:09,J1746+2540,4.651802057063271,0.4481496464756274,5.0,640,811.0,811.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:42:09,21/03/2017 19:26:21,J1746+2245,4.651363543088708,0.39720251598255063,4.0,3754,6248.0,6248.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:26:21,21/03/2017 19:36:30,J1913+3732,5.03293956874242,0.6551398779979815,12.0,1410,597.0,597.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3627725637583294
21/03/2017 19:36:30,21/03/2017 19:39:52,J1900+30,4.975497365122835,0.5390158506575821,8.0,234,194.0,194.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2059658225905332
21/03/2017 19:39:52,21/03/2017 19:42:06,J1821+1715,4.805000731984796,0.301297449287352,16.0,194,118.0,118.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6462105491658916
21/03/2017 19:42:06,21/03/2017 19:53:04,J1806+1023,4.742358756191207,0.1813120749023876,7.0,647,651.0,651.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:53:04,21/03/2017 19:59:14,J1843+2024,4.901915738299797,0.356311875676729,11.0,364,359.0,359.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:59:14,21/03/2017 20:05:50,J1828+1359,4.838440876842745,0.24422663718818075,7.0,486,389.0,389.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:05:50,21/03/2017 20:07:56,J1822+1120,4.809443831206008,0.19807644718147424,3.0,346,123.0,123.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.8231745153102006
21/03/2017 20:07:56,21/03/2017 20:22:35,J1802+03,4.724315396939985,0.06341362948912731,9.0,644,870.0,870.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:22:35,21/03/2017 20:25:53,J1807+04,4.744750293598751,0.07126761112310179,3.0,165,195.0,195.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
