Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 17:22:42,1490286162000
Duration,  2 days, 4 hours, 22 minutes, 42 seconds,188562000
Slew time, 0 day, 0 hour, 59 minutes, 34 seconds,3574000.0
Integration time, 1 day, 6 hours, 19 minutes, 8 seconds,1.09148E8
Waiting time, 0 day, 21 hours, 4 minutes, 0 second,7.584E7
Relative slew time, 0.0189539780019304
Relative integration time, 0.5788440937198375
Relative waiting time, 0.4022019282782321
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 14:10:47,J0557+1550,1.5599934063134906,0.2763731100675954,73.0,4182,4174.0,4174.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:10:47,21/03/2017 14:20:08,J0711+0931,1.8832233528712716,0.16621837056840444,4.0,659,557.0,557.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:20:08,21/03/2017 14:25:18,J0627+0649,1.6925060331513266,0.11923570698986471,10.0,1709,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:25:18,21/03/2017 14:30:38,J0815+0939,2.160483158072796,0.16867007335377535,20.0,298,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:30:38,21/03/2017 14:35:27,J0843+0719,2.2844774567868544,0.12764077633515641,5.0,284,284.0,284.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:35:27,21/03/2017 14:40:44,J0751+1807,2.055791112963893,0.3163826354449581,17.0,1039,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:40:44,21/03/2017 14:55:33,J1342+2822B,3.587457889512921,0.4952863402087923,275.0,647,614.0,614.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0535081807035005
21/03/2017 14:55:33,21/03/2017 15:11:36,J1342+2822A,3.5874515554221773,0.49524687152701324,3.0,844,960.0,960.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:11:36,21/03/2017 15:17:31,J1313+0931,3.4617878492785863,0.1663686628095484,21.0,334,334.0,334.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:17:31,21/03/2017 15:23:10,J1549+2113,4.143770963894292,0.37043110451168204,29.0,346,incomplete,310.0,0,600,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite BEIDOU M4
21/03/2017 15:23:10,21/03/2017 15:58:52,J1612+2008,4.242854105472584,0.351481822415939,3.0,2597,2139.0,2139.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:58:52,21/03/2017 16:04:23,J1627+1419,4.3079641222725975,0.24997332767584454,7.0,311,324.0,324.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:04:23,21/03/2017 16:12:18,J1640+2224,4.364540848022992,0.3909966186058234,6.0,395,469.0,469.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:12:18,21/03/2017 16:17:23,J1720+2150,4.537950593853073,0.38112560950327723,5.0,507,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:17:23,21/03/2017 16:20:49,J1736+05,4.611596216082018,0.10122909661567112,14.0,186,192.0,192.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:20:49,21/03/2017 16:41:39,J1802+03,4.724315396939985,0.06341362948912731,5.0,644,1245.0,1245.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:41:39,21/03/2017 16:50:28,B1810+02,4.768616725733095,0.04274660403984512,2.0,613,527.0,527.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:50:28,21/03/2017 16:52:46,J1828+0625,4.836600427146518,0.11199438440470835,3.0,135,135.0,135.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:52:46,21/03/2017 16:56:51,J1845+0623,4.909363203662161,0.11168943659929047,2.0,402,243.0,243.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6556939419900256
21/03/2017 16:56:51,21/03/2017 17:04:21,J1848+0647,4.925901652765852,0.11854518686386041,0.0,450,450.0,450.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:04:21,21/03/2017 17:11:24,J1853+0545,4.947892874063031,0.10062434002985507,1.0,422,422.0,422.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:11:24,21/03/2017 17:31:43,J1901+0510,4.982758662031652,0.09034018133795094,0.0,844,1219.0,1219.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:31:43,21/03/2017 17:35:13,B1923+04,5.089414278179983,0.07898390567164117,1.0,202,209.0,209.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:35:13,21/03/2017 17:36:25,J1933+0758,5.119589348339765,0.1390785491812607,2.0,104,incomplete,70.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 15 [+]
21/03/2017 17:36:25,21/03/2017 17:54:56,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,incomplete,1110.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 77 [+]
21/03/2017 17:54:56,21/03/2017 18:02:55,J1944+0907,5.166853006291774,0.15922764478131782,1.0,570,478.0,478.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1921583247293395
21/03/2017 18:02:55,21/03/2017 18:04:35,J1947+10,5.181882549171165,0.1873320063807247,1.0,204,99.0,99.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.065704144298201
21/03/2017 18:04:35,21/03/2017 18:17:31,J1939+10,5.145157912827116,0.18762289458939044,1.0,658,775.0,775.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:17:31,21/03/2017 18:19:53,J1941+1026,5.155436011348008,0.18222013092710576,2.0,193,140.0,140.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3808847922097056
21/03/2017 18:19:53,21/03/2017 18:36:58,J1935+12,5.127995508515839,0.21031217486531673,2.0,1709,1023.0,1023.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6712089728841473
21/03/2017 18:36:58,21/03/2017 18:46:38,J1941+1341,5.153438554741152,0.23896660267361475,3.0,609,577.0,577.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:46:38,21/03/2017 18:59:07,B1933+15,5.131378538382623,0.2724458962363148,3.0,575,746.0,746.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:59:07,21/03/2017 19:02:31,J1937+1505,5.136817420664149,0.2633459434418889,2.0,202,202.0,202.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:02:31,21/03/2017 19:08:57,J1932+17,5.113814708343386,0.29670597283903605,2.0,635,384.0,384.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.651838037558806
21/03/2017 19:08:57,21/03/2017 19:14:08,J1935+1726,5.127191784395295,0.3044070442379886,0.0,322,311.0,311.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0364348761101447
21/03/2017 19:14:08,21/03/2017 19:26:53,J1933+1726,5.118178031473371,0.3042690662643448,1.0,640,764.0,764.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:26:53,21/03/2017 19:36:34,B1943+18,5.17316317511641,0.32414691200351686,0.0,768,581.0,581.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 19:36:34,21/03/2017 19:38:04,J1953+1846A,5.208789708472744,0.3277437447036685,0.0,700,incomplete,90.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 75 [+]
21/03/2017 19:38:04,21/03/2017 19:47:50,J2007+20,5.2665310178928895,0.3551745027808461,3.0,311,583.0,583.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:47:50,21/03/2017 19:51:22,J2017+2043,5.31226867993834,0.36172869893576587,0.0,456,212.0,212.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.15332097342597
21/03/2017 19:51:22,21/03/2017 20:01:35,B2025+21,5.355011211543263,0.37992147776350554,1.0,352,612.0,612.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:01:35,21/03/2017 20:06:34,B2034+19,5.398488090430964,0.34409311647172536,1.0,167,298.0,298.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:06:34,21/03/2017 20:11:36,J2033+1734,5.381978526526395,0.30688045697999955,2.0,864,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:11:36,21/03/2017 20:26:39,J2043+1711,5.42512924919179,0.3000459848970053,1.0,871,902.0,902.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:26:39,21/03/2017 20:46:24,J2047+1053,5.441063943092322,0.1899500002587162,6.0,1096,1179.0,1179.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:46:24,21/03/2017 20:51:05,J2007+0809,5.267512765597136,0.142404322552304,11.0,284,270.0,270.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:51:05,21/03/2017 20:58:50,J2017+0603,5.311815405568848,0.1056194170803032,2.0,518,463.0,463.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:58:50,21/03/2017 21:08:36,J1941+0121,5.154251005507956,0.023753446305961715,10.0,842,576.0,576.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.462578260644017
21/03/2017 21:08:36,21/03/2017 21:12:46,J1919+0134,5.06026364356907,0.027617411344404718,10.0,240,240.0,240.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:12:46,21/03/2017 22:41:03,J1911+0101B,5.0230992206145455,0.017988720749360667,4.0,5293,5293.0,5293.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:41:03,21/03/2017 22:50:39,J2033+1734,5.381978526526395,0.30688045697999955,15.0,864,861.0,561.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.5392732592455873
21/03/2017 22:50:39,21/03/2017 23:00:18,J2015+2524,5.302361172995289,0.44346537668874697,9.0,570,570.0,570.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:00:18,21/03/2017 23:16:44,B2002+31,5.257243393722505,0.551863461688353,5.0,890,981.0,981.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:16:44,21/03/2017 23:20:05,J2011+3331,5.284342539241804,0.5850956457177915,2.0,305,199.0,199.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.535073316019746
21/03/2017 23:20:05,21/03/2017 23:50:14,J2018+3431,5.318396094609779,0.602431952696483,1.0,1368,1808.0,1808.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 23:50:14,21/03/2017 23:51:30,B2035+36,5.39942620490391,0.6345440231970861,2.0,179,74.0,74.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.4282540766819616
21/03/2017 23:51:30,22/03/2017 00:02:07,J1806+1023,4.742358756191207,0.1813120749023876,46.0,647,591.0,591.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
