Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 20:36:40,1490211400000
Duration,  1 day, 7 hours, 36 minutes, 40 seconds,113800000
Slew time, 0 day, 1 hour, 0 minute, 47 seconds,3647000.0
Integration time, 0 day, 17 hours, 44 minutes, 53 seconds,6.3893E7
Waiting time, 0 day, 12 hours, 51 minutes, 0 second,4.626E7
Relative slew time, 0.03204745166959578
Relative integration time, 0.5614499121265378
Relative waiting time, 0.40650263620386645
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:23,B0626+24,1.6977492494792945,0.42345226793254537,74.0,609,609.0,609.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:11:23,21/03/2017 13:21:34,J0625+10,1.6831518973920316,0.17918713653808452,13.0,402,598.0,598.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:34,21/03/2017 13:42:09,J0635+0533,1.724821633283396,0.09691910299060733,3.0,1039,1232.0,1232.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:42:09,21/03/2017 13:54:48,J1010+15,2.6616271092913526,0.27663468644110123,303.0,261,456.0,456.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:54:48,21/03/2017 14:11:49,J0751+1807,2.055791112963893,0.3163826354449581,38.0,1039,983.0,983.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0572007346852452
21/03/2017 14:11:49,21/03/2017 14:21:26,J1342+2822B,3.587457889512921,0.4952863402087923,277.0,647,incomplete,300.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 36 [-]
21/03/2017 14:21:26,21/03/2017 14:27:58,B1541+09,4.117437145251993,0.16559460443815205,33.0,512,359.0,359.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4252786653072138
21/03/2017 14:27:58,21/03/2017 15:32:10,J1022+1001,2.718204916782272,0.17507964958762018,89.0,3754,3763.0,3763.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:32:10,21/03/2017 15:39:10,J0848+16,2.3076888813973357,0.29176087329171874,34.0,547,386.0,386.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4171069253172133
21/03/2017 15:39:10,21/03/2017 16:11:53,J1802+03,4.724315396939985,0.06341362948912731,222.0,644,1741.0,1741.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
