Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:03:09,1490194989000
Duration,  1 day, 3 hours, 3 minutes, 9 seconds,97389000
Slew time, 0 day, 0 hour, 19 minutes, 10 seconds,1150000.0
Integration time, 0 day, 1 hour, 29 minutes, 59 seconds,5399000.0
Waiting time, 1 day, 1 hour, 14 minutes, 0 second,9.084E7
Relative slew time, 0.011808315107455667
Relative integration time, 0.055437472404481
Relative waiting time, 0.9327542124880633
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:23,J0453+1559,1.2817562530918758,0.27906508796776525,85.0,455,418.0,418.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0885466048795944
21/03/2017 13:08:23,21/03/2017 13:09:30,J0623+0340,1.6745531692218207,0.0640283732367742,23.0,82,44.0,44.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.8472082258119369
21/03/2017 13:09:30,21/03/2017 13:18:27,J0848+16,2.3076888813973357,0.29176087329171874,316.0,547,221.0,221.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4722571178304156
21/03/2017 13:18:27,21/03/2017 13:41:34,J1238+21,3.30908390247795,0.3816991440880299,300.0,751,1087.0,1087.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:41:34,21/03/2017 13:51:34,J1342+2822B,3.587457889512921,0.4952863402087923,10.0,647,590.0,590.0,8460,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0963707439437322Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 17:24:34,21/03/2017 18:39:31,J1544+4937,4.11930335455354,0.8662420785732818,84.0,1709,1383.0,93.0,24240,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 01:13:31,22/03/2017 03:42:40,J2215+5135,5.827413546061112,0.9004751871121236,84.0,825,1125.0,825.0,8040,5400,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:00:40,22/03/2017 02:37:50,J1845+0623,4.909363203662161,0.11168943659929047,70.0,402,540.0,240.0,1920,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.6723486295189767
22/03/2017 03:41:50,22/03/2017 05:50:40,J2006+3102,5.262967637336735,0.5416483889460069,89.0,3754,3016.0,1881.0,5760,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 04:19:40,22/03/2017 04:26:09,J1941+1026,5.155436011348008,0.18222013092710576,89.0,193,incomplete,0.0,42420,600,2,0,1,1,Waited for more observables to rise above the horizon. Aborted: High scintillation; observed until object set.Waited for more observables to rise above the horizon. 
