Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:00:47,1490281247000
Duration,  2 days, 3 hours, 0 minute, 47 seconds,183647000
Slew time, 0 day, 5 hours, 0 minute, 8 seconds,1.8008E7
Integration time, 1 day, 6 hours, 49 minutes, 39 seconds,1.10979E8
Waiting time, 0 day, 15 hours, 11 minutes, 0 second,5.466E7
Relative slew time, 0.0980576867577472
Relative integration time, 0.6043060872216808
Relative waiting time, 0.2976362260205721
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:29,J0605+37,1.5926129424448257,0.6457718232379019,87.0,284,242.0,242.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:05:29,21/03/2017 13:07:01,J0538+2817,1.476625428940753,0.493681703887056,10.0,127,82.0,82.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.551409868565701
21/03/2017 13:07:01,21/03/2017 13:15:55,B0540+23,1.4973223286090653,0.40988572669405726,3.0,844,531.0,531.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:15:55,21/03/2017 13:21:41,J0517+22,1.3839006527271704,0.38862664677740405,6.0,477,incomplete,340.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 13:21:41,21/03/2017 13:37:02,J0751+1807,2.055791112963893,0.3163826354449581,336.0,1039,585.0,585.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7762773312244622
21/03/2017 13:37:02,21/03/2017 13:45:23,J0711+0931,1.8832233528712716,0.16621837056840444,17.0,659,484.0,484.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:23,21/03/2017 13:46:38,J0633+0632,1.7180010320107069,0.11419737777167009,10.0,263,65.0,65.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 4.015602805876154
21/03/2017 13:46:38,21/03/2017 14:04:27,J0635+0533,1.724821633283396,0.09691910299060733,0.0,1039,1069.0,1069.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:04:27,21/03/2017 14:14:55,J0848+16,2.3076888813973357,0.29176087329171874,328.0,547,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:14:55,21/03/2017 15:28:40,J1022+1001,2.718204916782272,0.17507964958762018,338.0,3754,4087.0,4087.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:28:40,21/03/2017 15:39:04,J1010+15,2.6616271092913526,0.27663468644110123,382.0,261,242.0,242.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:39:04,21/03/2017 16:27:50,B0940+16,2.5460063185519446,0.2884495958497406,7.0,3073,2919.0,2919.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:27:50,21/03/2017 16:33:20,B1257+12,3.4036521463529263,0.22134882305275824,320.0,352,incomplete,10.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite GSAT0208 (PRN E08)
21/03/2017 16:33:20,21/03/2017 16:44:09,J1342+2822B,3.587457889512921,0.4952863402087923,349.0,647,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:44:09,21/03/2017 17:04:04,J1342+2822A,3.5874515554221773,0.49524687152701324,2.0,844,1193.0,1193.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:04:04,21/03/2017 17:24:01,J1142+0119,3.0630528372500483,0.022980168484592004,50.0,1106,1147.0,1147.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:24:01,21/03/2017 17:33:20,B1541+09,4.117437145251993,0.16559460443815205,280.0,512,279.0,279.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.835437309418286
21/03/2017 17:33:20,21/03/2017 18:31:17,J1612+2008,4.242854105472584,0.351481822415939,11.0,2597,3466.0,3466.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
