Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 19:16:16,1490379376000
Duration,  3 days, 6 hours, 16 minutes, 16 seconds,281776000
Slew time, 0 day, 3 hours, 49 minutes, 25 seconds,1.3765E7
Integration time, 1 day, 19 hours, 22 minutes, 51 seconds,1.56171E8
Waiting time, 1 day, 7 hours, 4 minutes, 0 second,1.1184E8
Relative slew time, 0.04885086025779342
Relative integration time, 0.5542381182215661
Relative waiting time, 0.3969110215206405
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:41,J0622+3749,1.6675537444228539,0.6600912801231532,85.0,154,136.0,136.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.131204766435001
21/03/2017 13:03:41,21/03/2017 13:08:04,J0533+0402,1.4548642856722165,0.07039737056551017,33.0,170,230.0,230.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:08:04,21/03/2017 13:10:08,B0523+11,1.4221850534626992,0.19644204329971776,6.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:10:08,21/03/2017 13:17:24,B0626+24,1.6977492494792945,0.42345226793254537,19.0,609,417.0,417.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4589166927732096
21/03/2017 13:17:24,21/03/2017 13:26:45,J0740+41,2.011491962923465,0.7167485461523381,338.0,473,223.0,223.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.116732885452945
21/03/2017 13:26:45,21/03/2017 14:21:12,J0557+1550,1.5599934063134906,0.2763731100675954,35.0,4182,incomplete,3232.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:12,21/03/2017 14:45:43,J0627+0649,1.6925060331513266,0.11923570698986471,10.0,1709,1461.0,1461.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1695183771965643
21/03/2017 14:45:43,21/03/2017 14:51:26,J0625+10,1.6831518973920316,0.17918713653808452,7.0,402,336.0,336.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:51:26,21/03/2017 15:26:55,B0823+26,2.2115782027959106,0.4646638064138933,329.0,1410,1800.0,1800.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:26:55,21/03/2017 16:22:20,B0940+16,2.5460063185519446,0.2884495958497406,358.0,3073,2967.0,2967.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:22:20,21/03/2017 16:26:43,J0815+0939,2.160483158072796,0.16867007335377535,30.0,298,233.0,233.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2794023516084172
21/03/2017 16:26:43,21/03/2017 17:22:10,J1238+21,3.30908390247795,0.3816991440880299,297.0,751,incomplete,3030.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 52 [+]
21/03/2017 17:22:10,21/03/2017 18:26:21,J1022+1001,2.718204916782272,0.17507964958762018,51.0,3754,incomplete,3800.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 83 [+]
21/03/2017 18:26:21,21/03/2017 18:26:40,B0943+10,2.5574600417681577,0.1721815788460517,19.0,1368,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 18:26:40,21/03/2017 18:29:05,J0843+0719,2.2844774567868544,0.12764077633515641,11.0,284,134.0,134.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.122145111153023
21/03/2017 18:29:05,21/03/2017 18:40:24,B1541+09,4.117437145251993,0.16559460443815205,262.0,512,417.0,417.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2272550518001348
21/03/2017 18:40:24,21/03/2017 18:44:41,J1313+0931,3.4617878492785863,0.1663686628095484,52.0,334,205.0,205.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6323614731784315
