Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 03:43:16,1490323396000
Duration,  2 days, 14 hours, 43 minutes, 16 seconds,225796000
Slew time, 0 day, 3 hours, 55 minutes, 16 seconds,1.4116E7
Integration time, 1 day, 18 hours, 52 minutes, 0 second,1.5432E8
Waiting time, 0 day, 15 hours, 56 minutes, 0 second,5.736E7
Relative slew time, 0.0625166079115662
Relative integration time, 0.6834487767719535
Relative waiting time, 0.25403461531648036
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:25,J0622+3749,1.6675537444228539,0.6600912801231532,85.0,154,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:06:25,21/03/2017 13:09:45,J0533+0402,1.4548642856722165,0.07039737056551017,34.0,170,166.0,166.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:09:45,21/03/2017 13:10:50,B0523+11,1.4221850534626992,0.19644204329971776,6.0,118,59.0,59.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.000974517143054
21/03/2017 13:10:50,21/03/2017 13:21:18,B0626+24,1.6977492494792945,0.42345226793254537,19.0,609,609.0,609.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:21:18,21/03/2017 13:23:05,B0540+23,1.4973223286090653,0.40988572669405726,9.0,844,1648.0,98.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:23:05,21/03/2017 14:21:13,J0557+1550,1.5599934063134906,0.2763731100675954,7.0,4182,incomplete,3481.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:13,21/03/2017 15:03:48,B0823+26,2.2115782027959106,0.4646638064138933,336.0,1410,2219.0,2219.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:03:48,21/03/2017 15:04:26,J0625+10,1.6831518973920316,0.17918713653808452,38.0,402,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:04:26,21/03/2017 15:15:53,J0627+0649,1.6925060331513266,0.11923570698986471,2.0,1709,incomplete,685.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:15:53,21/03/2017 15:52:44,B0943+10,2.5574600417681577,0.1721815788460517,324.0,1368,1887.0,1887.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:52:44,21/03/2017 15:55:30,J0843+0719,2.2844774567868544,0.12764077633515641,22.0,284,144.0,144.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.973678188963273
21/03/2017 15:55:30,21/03/2017 16:44:44,B0940+16,2.5460063185519446,0.2884495958497406,17.0,3073,2937.0,2937.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:44:44,21/03/2017 17:00:40,J1342+2822B,3.587457889512921,0.4952863402087923,309.0,647,647.0,647.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:00:40,21/03/2017 17:16:56,J1142+0119,3.0630528372500483,0.022980168484592004,49.0,1106,927.0,927.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:16:56,21/03/2017 18:14:12,J1022+1001,2.718204916782272,0.17507964958762018,22.0,3754,3414.0,3414.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
