Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 17:05:33,1490371533000
Duration,  3 days, 4 hours, 5 minutes, 33 seconds,273933000
Slew time, 0 day, 2 hours, 29 minutes, 40 seconds,8980000.0
Integration time, 1 day, 14 hours, 17 minutes, 53 seconds,1.37873E8
Waiting time, 1 day, 11 hours, 18 minutes, 0 second,1.2708E8
Relative slew time, 0.03278173860031468
Relative integration time, 0.5033092033453436
Relative waiting time, 0.46390905805434174
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:21,J0605+37,1.5926129424448257,0.6457718232379019,87.0,284,594.0,594.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:21,21/03/2017 13:12:47,J0538+2817,1.476625428940753,0.493681703887056,11.0,127,75.0,75.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6904701607698542
21/03/2017 13:12:47,21/03/2017 13:20:16,B0540+23,1.4973223286090653,0.40988572669405726,3.0,844,446.0,446.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:20:16,21/03/2017 13:21:40,J0517+22,1.3839006527271704,0.38862664677740405,5.0,477,incomplete,79.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 13:21:40,21/03/2017 13:27:18,J1012+5307,2.672785151988384,0.9270733295670593,297.0,118,41.0,41.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.8723498688015607
21/03/2017 13:27:18,21/03/2017 13:30:06,J0740+41,2.011491962923465,0.7167485461523381,28.0,473,incomplete,140.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 60 [+]
21/03/2017 13:30:06,21/03/2017 13:46:40,J0711+0931,1.8832233528712716,0.16621837056840444,26.0,659,968.0,968.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:40,21/03/2017 13:49:36,J0633+0632,1.7180010320107069,0.11419737777167009,12.0,263,164.0,164.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6058225855762982
21/03/2017 13:49:36,21/03/2017 13:50:52,J0623+0340,1.6745531692218207,0.0640283732367742,4.0,82,72.0,72.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1354878821268253
21/03/2017 13:50:52,21/03/2017 14:22:25,B0823+26,2.2115782027959106,0.4646638064138933,320.0,1410,1573.0,1573.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:22:25,21/03/2017 14:31:48,J0621+0336,1.6632421266719581,0.06305254025943692,45.0,427,518.0,518.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:31:48,21/03/2017 14:43:24,J0848+16,2.3076888813973357,0.29176087329171874,324.0,547,372.0,372.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4695368986639576
21/03/2017 14:43:24,21/03/2017 14:51:57,J1342+2822B,3.587457889512921,0.4952863402087923,287.0,647,226.0,226.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.866541244922218
21/03/2017 14:51:57,21/03/2017 15:05:36,J1046+0304,2.821850516285997,0.05355688253848934,52.0,768,767.0,767.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.001759381765998
21/03/2017 15:05:36,21/03/2017 15:15:47,J1010+15,2.6616271092913526,0.27663468644110123,368.0,261,243.0,243.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:15:47,21/03/2017 15:44:27,J1142+0119,3.0630528372500483,0.022980168484592004,339.0,1106,1381.0,1381.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:44:27,21/03/2017 15:57:53,B1541+09,4.117437145251993,0.16559460443815205,294.0,512,512.0,512.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:57:53,21/03/2017 16:04:46,J1518+0204E,4.008003183100644,0.03635132980959301,11.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:04:46,21/03/2017 16:15:05,J1238+21,3.30908390247795,0.3816991440880299,57.0,751,562.0,562.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:15:05,21/03/2017 16:24:17,B1133+16,3.0371090778789545,0.27665640609401493,382.0,192,170.0,170.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:24:17,21/03/2017 16:41:45,B1639+36B,4.370668057254633,0.6363518934139437,293.0,548,755.0,755.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:41:45,21/03/2017 16:50:19,B1639+36A,4.370659330608373,0.6362473675842965,2.0,842,512.0,512.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:50:19,21/03/2017 16:52:16,J1544+4937,4.11930335455354,0.8662420785732818,17.0,1709,incomplete,100.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2433 (720)
21/03/2017 16:52:16,21/03/2017 17:00:47,J1645+1012,4.38764247506106,0.17810134781787157,34.0,532,477.0,477.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.115332255271219
21/03/2017 17:00:47,21/03/2017 18:12:35,J1746+2245,4.651363543088708,0.39720251598255063,17.0,3754,4291.0,4291.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:12:35,21/03/2017 18:27:35,J1739+0612,4.622065719044209,0.10834810070908354,25.0,366,875.0,875.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:27:35,21/03/2017 18:33:25,J1641+3627D,4.370668057254633,0.6363518934139437,33.0,336,317.0,317.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0582813256319643
21/03/2017 18:33:25,21/03/2017 18:34:34,J1758+3030,4.705544380834785,0.5324417771417368,16.0,85,53.0,53.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.618898503513889
