Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:03:26,1490281406000
Duration,  2 days, 3 hours, 3 minutes, 26 seconds,183806000
Slew time, 0 day, 2 hours, 52 minutes, 27 seconds,1.0347E7
Integration time, 1 day, 3 hours, 10 minutes, 59 seconds,9.7859E7
Waiting time, 0 day, 21 hours, 0 minute, 0 second,7.56E7
Relative slew time, 0.0562930481050673
Relative integration time, 0.5324037300196947
Relative waiting time, 0.41130322187523805
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:52,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,244.0,244.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.223762901004814
21/03/2017 13:04:52,21/03/2017 13:07:03,B0523+11,1.4221850534626992,0.19644204329971776,35.0,118,96.0,96.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2307474923127049
21/03/2017 13:07:03,21/03/2017 13:43:51,B0823+26,2.2115782027959106,0.4646638064138933,314.0,1410,1894.0,1894.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:43:51,21/03/2017 13:45:45,J0538+2817,1.476625428940753,0.493681703887056,35.0,127,79.0,79.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.5975363500725877
21/03/2017 13:45:45,21/03/2017 13:49:29,J0533+0402,1.4548642856722165,0.07039737056551017,20.0,170,204.0,204.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:49:29,21/03/2017 13:58:16,J0848+16,2.3076888813973357,0.29176087329171874,313.0,547,214.0,214.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.5563327061866645
21/03/2017 13:58:16,21/03/2017 14:14:03,J0627+0649,1.6925060331513266,0.11923570698986471,37.0,1709,incomplete,910.0,0,1800,2,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 14:14:03,21/03/2017 14:35:23,J1238+21,3.30908390247795,0.3816991440880299,264.0,751,1016.0,1016.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:35:23,21/03/2017 14:38:12,B1257+12,3.4036521463529263,0.22134882305275824,8.0,352,161.0,161.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.183032777587514
21/03/2017 14:38:12,21/03/2017 14:44:43,J0740+41,2.011491962923465,0.7167485461523381,69.0,473,322.0,322.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4696469518314235
21/03/2017 14:44:43,21/03/2017 15:03:57,J0635+0533,1.724821633283396,0.09691910299060733,37.0,1039,1117.0,1117.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:03:57,21/03/2017 15:12:45,J1645+1012,4.38764247506106,0.17810134781787157,211.0,532,317.0,317.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6805625885430273
21/03/2017 15:12:45,21/03/2017 15:17:05,J1739+0612,4.622065719044209,0.10834810070908354,9.0,366,251.0,251.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:17:05,21/03/2017 15:49:18,J1649+2533,4.4058095345230175,0.4459655608422289,23.0,2597,incomplete,1910.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:18,21/03/2017 16:01:55,B1810+02,4.768616725733095,0.04274660403984512,25.0,613,732.0,732.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:01:55,21/03/2017 16:11:36,J1802+03,4.724315396939985,0.06341362948912731,4.0,644,577.0,577.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:11:36,21/03/2017 16:16:48,J1807+04,4.744750293598751,0.07126761112310179,1.0,165,311.0,311.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:16:48,21/03/2017 16:19:50,J1736+05,4.611596216082018,0.10122909661567112,6.0,186,176.0,176.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:19:50,21/03/2017 16:22:54,J1822+0705,4.809723083886327,0.12371960328234248,9.0,352,175.0,175.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0138133009390042
21/03/2017 16:22:54,21/03/2017 16:25:09,J1828+0625,4.836600427146518,0.11199438440470835,0.0,135,135.0,135.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:25:09,21/03/2017 16:44:10,J1806+1023,4.742358756191207,0.1813120749023876,6.0,647,1135.0,1135.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:44:10,21/03/2017 16:49:36,J1822+1120,4.809443831206008,0.19807644718147424,1.0,346,325.0,325.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0643375261947696
21/03/2017 16:49:36,21/03/2017 17:00:47,J1810+1744,4.758733289789313,0.3096862773743265,7.0,664,664.0,664.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:00:47,21/03/2017 17:07:27,J1828+1359,4.838440876842745,0.24422663718818075,4.0,486,396.0,396.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:07:27,21/03/2017 17:10:45,J1821+1715,4.805000731984796,0.301297449287352,4.0,194,194.0,194.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:10:45,21/03/2017 18:35:05,J1746+2245,4.651363543088708,0.39720251598255063,10.0,3754,5050.0,5050.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:35:05,21/03/2017 18:40:13,J1911+1347,5.026199521686915,0.24073137780235834,6.0,261,302.0,302.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:40:13,21/03/2017 18:49:14,J1859+1526,4.9730531042274695,0.26941581072938026,4.0,598,537.0,537.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:49:14,21/03/2017 18:56:48,J1910+1027,5.017821599483698,0.18238690683340741,4.0,427,450.0,450.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:56:48,21/03/2017 18:59:02,B1907+10,5.016999389417493,0.19258423539502487,1.0,193,133.0,133.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4467890318398193
21/03/2017 18:59:02,21/03/2017 19:02:46,B1842+14,4.908367246068921,0.2601225142389278,8.0,231,216.0,216.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:02:46,21/03/2017 19:13:28,J1800+50,4.716752303514675,0.8808094958398051,28.0,477,614.0,614.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:13:28,21/03/2017 19:23:23,J1843+2024,4.901915738299797,0.356311875676729,22.0,364,573.0,573.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
