Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:08:25,1490281705000
Duration,  2 days, 3 hours, 8 minutes, 25 seconds,184105000
Slew time, 0 day, 2 hours, 18 minutes, 11 seconds,8291000.0
Integration time, 0 day, 19 hours, 12 minutes, 14 seconds,6.9134E7
Waiting time, 1 day, 5 hours, 38 minutes, 0 second,1.0668E8
Relative slew time, 0.0450340838108688
Relative integration time, 0.37551397300453543
Relative waiting time, 0.5794519431845957
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:04,J0453+1559,1.2817562530918758,0.27906508796776525,85.0,455,219.0,219.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0757380978439177
21/03/2017 13:05:04,21/03/2017 13:07:15,J0538+2817,1.476625428940753,0.493681703887056,15.0,127,116.0,116.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0912917036903156
21/03/2017 13:07:15,21/03/2017 13:13:38,J0517+22,1.3839006527271704,0.38862664677740405,8.0,477,405.0,375.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:13:38,21/03/2017 13:18:05,J0533+0402,1.4548642856722165,0.07039737056551017,13.0,170,254.0,254.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:18:05,21/03/2017 13:43:32,J0627+0649,1.6925060331513266,0.11923570698986471,10.0,1709,1517.0,1517.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1267385607722136
21/03/2017 13:43:32,21/03/2017 13:46:53,J0633+0632,1.7180010320107069,0.11419737777167009,3.0,263,198.0,198.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.328675802157194
21/03/2017 13:46:53,21/03/2017 14:09:49,J0751+1807,2.055791112963893,0.3163826354449581,337.0,1039,1039.0,1039.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:09:49,21/03/2017 14:14:53,J0815+0939,2.160483158072796,0.16867007335377535,6.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:14:53,21/03/2017 15:23:17,B0940+16,2.5460063185519446,0.2884495958497406,334.0,3073,incomplete,3770.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 15:23:17,21/03/2017 16:28:36,J1022+1001,2.718204916782272,0.17507964958762018,371.0,3754,3548.0,3548.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:28:36,21/03/2017 16:39:59,B1133+16,3.0371090778789545,0.27665640609401493,354.0,192,329.0,329.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:39:59,21/03/2017 16:49:55,J1342+2822D,3.5873933777804443,0.4952662640742576,326.0,374,270.0,270.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:49:55,21/03/2017 16:56:03,B1257+12,3.4036521463529263,0.22134882305275824,16.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:56:03,21/03/2017 17:04:53,J1518+0204E,4.008003183100644,0.03635132980959301,310.0,402,220.0,220.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8257917866546407
21/03/2017 17:04:53,21/03/2017 17:59:51,J1649+2533,4.4058095345230175,0.4459655608422289,30.0,2597,3268.0,3268.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:59:51,21/03/2017 18:07:04,J1645+1012,4.38764247506106,0.17810134781787157,20.0,532,413.0,413.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2891441114305906
