Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 18:53:16,1490377996000
Duration,  3 days, 5 hours, 53 minutes, 16 seconds,280396000
Slew time, 0 day, 3 hours, 4 minutes, 47 seconds,1.1087E7
Integration time, 1 day, 19 hours, 51 minutes, 29 seconds,1.57889E8
Waiting time, 1 day, 6 hours, 57 minutes, 0 second,1.1142E8
Relative slew time, 0.039540506997246753
Relative integration time, 0.563092911453801
Relative waiting time, 0.3973665815489522
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:20,J0605+37,1.5926129424448257,0.6457718232379019,87.0,284,173.0,173.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:04:20,21/03/2017 13:10:07,J0517+22,1.3839006527271704,0.38862664677740405,18.0,477,329.0,329.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:10:07,21/03/2017 13:11:10,J0538+2817,1.476625428940753,0.493681703887056,6.0,127,57.0,57.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.23715468673476
21/03/2017 13:11:10,21/03/2017 13:16:25,B0523+11,1.4221850534626992,0.19644204329971776,15.0,118,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:16:25,21/03/2017 13:22:30,B0626+24,1.6977492494792945,0.42345226793254537,19.0,609,346.0,346.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.761025449421066
21/03/2017 13:22:30,21/03/2017 13:28:36,J0625+10,1.6831518973920316,0.17918713653808452,12.0,402,354.0,354.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:28:36,21/03/2017 13:51:59,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,incomplete,1400.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 95 [+]
21/03/2017 13:51:59,21/03/2017 13:53:11,J0623+0340,1.6745531692218207,0.0640283732367742,7.0,82,65.0,65.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2618728801884678
21/03/2017 13:53:11,21/03/2017 13:56:46,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,1612.0,212.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.4584427319182014
21/03/2017 13:56:46,21/03/2017 14:04:35,J0711+0931,1.8832233528712716,0.16621837056840444,9.0,659,incomplete,460.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU I2-S
