Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:20:34,1490282434000
Duration,  2 days, 3 hours, 20 minutes, 34 seconds,184834000
Slew time, 0 day, 2 hours, 42 minutes, 52 seconds,9772000.0
Integration time, 0 day, 19 hours, 36 minutes, 42 seconds,7.0602E7
Waiting time, 1 day, 5 hours, 1 minute, 0 second,1.0446E8
Relative slew time, 0.052869060887066235
Relative integration time, 0.38197517772704154
Relative waiting time, 0.5651557613858922
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:55,J0517+22,1.3839006527271704,0.38862664677740405,85.0,477,incomplete,30.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU IGSO 6
21/03/2017 13:01:55,21/03/2017 13:30:17,B0540+23,1.4973223286090653,0.40988572669405726,4.0,844,1698.0,1698.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:30:17,21/03/2017 13:39:12,J0740+41,2.011491962923465,0.7167485461523381,334.0,473,201.0,201.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.354630143516143
21/03/2017 13:39:12,21/03/2017 13:50:58,J0625+10,1.6831518973920316,0.17918713653808452,35.0,402,671.0,671.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:50:58,21/03/2017 13:59:39,J0621+0336,1.6632421266719581,0.06305254025943692,8.0,427,513.0,513.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:59:39,21/03/2017 14:17:51,J0635+0533,1.724821633283396,0.09691910299060733,2.0,1039,incomplete,1090.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 14:17:51,21/03/2017 14:55:10,B0823+26,2.2115782027959106,0.4646638064138933,327.0,1410,1912.0,1912.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:55:10,21/03/2017 15:00:29,J0815+0939,2.160483158072796,0.16867007335377535,21.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:00:29,21/03/2017 15:23:16,B0940+16,2.5460063185519446,0.2884495958497406,337.0,3073,incomplete,1030.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 15:23:16,21/03/2017 15:34:33,J1010+15,2.6616271092913526,0.27663468644110123,359.0,261,318.0,318.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:34:33,21/03/2017 15:53:22,J1046+0304,2.821850516285997,0.05355688253848934,361.0,768,768.0,768.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:53:22,21/03/2017 16:18:56,J1142+0119,3.0630528372500483,0.022980168484592004,348.0,1106,1186.0,1186.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:18:56,21/03/2017 16:42:36,J1342+2822A,3.5874515554221773,0.49524687152701324,325.0,844,1095.0,1095.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:42:36,21/03/2017 16:46:21,J1549+2113,4.143770963894292,0.37043110451168204,27.0,346,198.0,198.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.750497530402393
21/03/2017 16:46:21,21/03/2017 16:52:45,B1541+09,4.117437145251993,0.16559460443815205,11.0,512,373.0,373.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.371197255023364
21/03/2017 16:52:45,21/03/2017 16:56:18,J1627+1419,4.3079641222725975,0.24997332767584454,9.0,311,204.0,204.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:56:18,21/03/2017 17:02:50,J1645+1012,4.38764247506106,0.17810134781787157,6.0,532,386.0,386.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3774087045793044
21/03/2017 17:02:50,21/03/2017 17:07:22,J1736+05,4.611596216082018,0.10122909661567112,12.0,186,incomplete,260.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 17:07:22,21/03/2017 17:13:30,J1641+3627D,4.370668057254633,0.6363518934139437,32.0,336,336.0,336.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:13:30,21/03/2017 17:59:53,J1741+2758,4.633377197926385,0.48815404737238066,14.0,1116,2769.0,2769.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:59:53,21/03/2017 18:11:34,J1746+2540,4.651802057063271,0.4481496464756274,7.0,640,694.0,694.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:11:34,21/03/2017 18:21:34,J1810+1744,4.758733289789313,0.3096862773743265,7.0,664,593.0,593.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.11943856265431
21/03/2017 18:21:34,21/03/2017 18:24:52,J1900+30,4.975497365122835,0.5390158506575821,15.0,234,183.0,183.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2789914058855714
21/03/2017 18:24:52,21/03/2017 18:26:58,J1821+1715,4.805000731984796,0.301297449287352,16.0,194,110.0,110.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.770159556163332
21/03/2017 18:26:58,21/03/2017 18:32:29,J1843+2024,4.901915738299797,0.356311875676729,5.0,364,326.0,326.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:32:29,21/03/2017 18:46:22,J1802+03,4.724315396939985,0.06341362948912731,19.0,644,814.0,814.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:46:22,21/03/2017 18:51:40,J1839+15,4.882558582454136,0.2617993877991494,12.0,327,306.0,306.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:51:40,21/03/2017 18:54:58,J1946+3417,5.176728869688264,0.5984282013293657,23.0,127,175.0,175.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:54:58,21/03/2017 19:00:33,B1842+14,4.908367246068921,0.2601225142389278,24.0,231,311.0,311.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:00:33,21/03/2017 19:02:03,J1828+0625,4.836600427146518,0.11199438440470835,9.0,135,81.0,81.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6625711090557556
21/03/2017 19:02:03,21/03/2017 19:12:15,B1915+22,5.051580630540398,0.39060856510577985,19.0,364,593.0,593.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:12:15,21/03/2017 19:18:03,B1925+22,5.092585686874961,0.39414043277266275,0.0,354,348.0,348.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0168673161733266
21/03/2017 19:18:03,21/03/2017 19:27:58,B1852+10,4.950141367193965,0.18811740454412218,14.0,581,581.0,581.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:27:58,21/03/2017 19:38:31,J2021+3651,5.32801460411752,0.6431771004166037,30.0,575,603.0,603.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:38:31,21/03/2017 19:44:03,B2000+40,5.247916354199848,0.7129374742865041,6.0,326,326.0,326.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:44:03,21/03/2017 19:49:26,J1845+0623,4.909363203662161,0.11168943659929047,38.0,402,285.0,285.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.410212134400836
21/03/2017 19:49:26,21/03/2017 19:50:30,B2027+37,5.364260147581895,0.6586105136969403,38.0,47,26.0,26.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8022576568215205
21/03/2017 19:50:30,21/03/2017 19:53:14,J1917+1737,5.050108445316341,0.3076220376828983,25.0,231,139.0,139.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6608606591860302
21/03/2017 19:53:14,21/03/2017 20:08:11,B1953+29,5.216198317715415,0.5086832708353853,14.0,942,883.0,883.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:08:11,21/03/2017 20:24:54,B2002+31,5.257243393722505,0.551863461688353,2.0,890,1001.0,1001.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:24:54,21/03/2017 20:32:56,J1848+0647,4.925901652765852,0.11854518686386041,32.0,450,450.0,450.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:32:56,21/03/2017 20:45:36,J2002+30,5.248932281268614,0.5337798629015991,28.0,427,732.0,732.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:45:36,21/03/2017 21:11:57,J2018+3431,5.318396094609779,0.602431952696483,3.0,1368,1578.0,1578.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:11:57,21/03/2017 21:16:52,J1953+2732,5.206011726079986,0.4807810009100669,11.0,456,284.0,284.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6074514478169455
21/03/2017 21:16:52,21/03/2017 22:10:40,J2006+3102,5.262967637336735,0.5416483889460069,3.0,3754,3225.0,3225.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 22:10:40,21/03/2017 22:12:40,J1935+2154,5.126590518467983,0.3821698981723873,17.0,192,103.0,103.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8576792869146768
21/03/2017 22:12:40,21/03/2017 22:18:35,J1929+1955,5.1020025599486605,0.3476497581177131,2.0,327,353.0,353.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:18:35,21/03/2017 22:24:00,J1922+1733,5.0740515992157205,0.3064190694959612,3.0,512,322.0,322.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:24:00,21/03/2017 22:25:21,J1924+1639,5.079134397968815,0.29079491112092887,1.0,80,80.0,80.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:25:21,21/03/2017 22:31:28,J1935+2025,5.129954713323255,0.3565324659016339,3.0,656,364.0,364.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8032656312348017
21/03/2017 22:31:28,21/03/2017 22:35:28,J1934+19,5.122541354603357,0.33161255787892263,2.0,532,238.0,238.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.234209851594521
21/03/2017 22:35:28,21/03/2017 22:44:59,J1906+0722,5.002637234991347,0.12884311426430806,11.0,548,560.0,560.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:44:59,21/03/2017 23:13:43,J1851+0118,4.938713096696012,0.02297532034778091,371.0,1703,1353.0,1353.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 23:13:43,21/03/2017 23:37:06,J1903+0415,4.987278337573797,0.07417649320975901,365.0,570,1038.0,1038.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 23:37:06,22/03/2017 00:49:09,J1926+0737,5.090088411603566,0.13297081794527466,358.0,2800,3965.0,3965.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:49:09,22/03/2017 00:57:51,J1941+1026,5.155436011348008,0.18222013092710576,375.0,193,147.0,147.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3144748268912712
22/03/2017 00:57:51,22/03/2017 01:13:23,J1944+0907,5.166853006291774,0.15922764478131782,362.0,570,570.0,570.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:13:23,22/03/2017 01:17:38,J1919+0134,5.06026364356907,0.027617411344404718,15.0,240,240.0,240.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:17:38,22/03/2017 01:28:17,J1941+0121,5.154251005507956,0.023753446305961715,3.0,842,636.0,636.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3241332822766771
22/03/2017 01:28:17,22/03/2017 01:42:56,J2105+28,5.523967082562054,0.4971279486097182,325.0,829,554.0,554.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4953247218284667
22/03/2017 01:42:56,22/03/2017 01:57:11,J2033+1734,5.381978526526395,0.30688045697999955,376.0,864,479.0,479.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8033832976957278
22/03/2017 01:57:11,22/03/2017 02:17:25,J2047+1053,5.441063943092322,0.1899500002587162,364.0,1096,incomplete,850.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU IGSO 2
22/03/2017 02:17:25,22/03/2017 02:24:50,J2156+2618,5.743857042585898,0.45916931600314276,339.0,193,106.0,106.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8165867004231313
22/03/2017 02:24:50,22/03/2017 02:54:54,J2151+2315,5.722418290719025,0.4058511072398636,364.0,1245,1440.0,1440.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:54:54,22/03/2017 03:41:33,J2227+30,5.879577917655897,0.5340707511102649,355.0,5293,2444.0,2444.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1658951193204925
22/03/2017 03:41:33,22/03/2017 03:48:30,B2127+11H,5.628554774434979,0.21234562888799444,33.0,384,384.0,384.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:48:30,22/03/2017 04:29:07,B0011+47,0.06237734024575567,0.8338475338054486,312.0,1709,2125.0,2125.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 04:29:07,22/03/2017 04:38:37,J2234+2114,5.912058495035511,0.3706827228121779,397.0,542,173.0,173.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.138649372767814
22/03/2017 04:38:37,22/03/2017 04:49:16,J0102+4839,0.2748893571891069,0.8377580409572782,322.0,255,317.0,317.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 04:49:16,22/03/2017 06:41:10,J2307+2225,6.054931729380185,0.3914876292723677,394.0,4689,incomplete,6320.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-8  (PRN 16)
22/03/2017 06:41:10,22/03/2017 07:10:42,J0408+551,1.0821041362364845,0.9599310885968813,316.0,1150,1456.0,1456.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 07:10:42,22/03/2017 07:13:11,J0137+1654,0.4249789462143593,0.2951647501467888,45.0,104,104.0,104.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 07:13:11,22/03/2017 07:25:46,B0458+46,1.3180552705356499,0.8185889443385201,309.0,562,446.0,446.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2592470999360321
22/03/2017 07:25:46,22/03/2017 08:37:57,J0337+1715,0.9500282278657441,0.3011411841416568,29.0,5293,4302.0,4302.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
