Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:57:04,1490284624000
Duration,  2 days, 3 hours, 57 minutes, 4 seconds,187024000
Slew time, 0 day, 2 hours, 4 minutes, 7 seconds,7447000.0
Integration time, 0 day, 17 hours, 43 minutes, 57 seconds,6.3837E7
Waiting time, 1 day, 8 hours, 9 minutes, 0 second,1.1574E8
Relative slew time, 0.03981841902643511
Relative integration time, 0.34133052442467277
Relative waiting time, 0.6188510565488922
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:42,J0453+1559,1.2817562530918758,0.27906508796776525,85.0,455,377.0,377.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2059225559998372
21/03/2017 13:07:42,21/03/2017 13:09:56,J0538+2817,1.476625428940753,0.493681703887056,14.0,127,120.0,120.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0615205759674218
21/03/2017 13:09:56,21/03/2017 13:11:26,B0523+11,1.4221850534626992,0.19644204329971776,15.0,118,75.0,75.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5700064155359579
21/03/2017 13:11:26,21/03/2017 13:15:58,J0533+0402,1.4548642856722165,0.07039737056551017,5.0,170,267.0,267.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:15:58,21/03/2017 13:44:37,J0627+0649,1.6925060331513266,0.11923570698986471,10.0,1709,1709.0,1709.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:44:37,21/03/2017 13:47:55,J0633+0632,1.7180010320107069,0.11419737777167009,4.0,263,194.0,194.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.358830667819639
21/03/2017 13:47:55,21/03/2017 14:01:27,J0751+1807,2.055791112963893,0.3163826354449581,337.0,1039,475.0,475.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1874271816892965
21/03/2017 14:01:27,21/03/2017 14:14:21,J0943+41,2.543817384781735,0.7182029871956666,328.0,450,446.0,446.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:14:21,21/03/2017 14:17:02,J0843+0719,2.2844774567868544,0.12764077633515641,33.0,284,128.0,128.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.211326092534829
21/03/2017 14:17:02,21/03/2017 14:27:18,J1010+15,2.6616271092913526,0.27663468644110123,331.0,261,285.0,285.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:27:18,21/03/2017 14:46:01,J1046+0304,2.821850516285997,0.05355688253848934,355.0,768,768.0,768.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:46:01,21/03/2017 15:08:44,J1142+0119,3.0630528372500483,0.022980168484592004,344.0,1106,1019.0,1019.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:08:44,21/03/2017 15:57:41,J1342+2822A,3.5874515554221773,0.49524687152701324,31.0,844,2906.0,2906.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:57:41,21/03/2017 15:59:47,J1313+0931,3.4617878492785863,0.1663686628095484,23.0,334,103.0,103.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.2465143645870174
21/03/2017 15:59:47,21/03/2017 16:02:51,J1549+2113,4.143770963894292,0.37043110451168204,35.0,346,149.0,149.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.319769185008808
21/03/2017 16:02:51,21/03/2017 18:02:55,J1612+2008,4.242854105472584,0.351481822415939,4.0,2597,7200.0,7200.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:02:55,21/03/2017 18:09:59,J1629+43,4.3153265755559795,0.7676539826688393,32.0,405,392.0,392.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:09:59,21/03/2017 18:14:03,J1627+1419,4.3079641222725975,0.24997332767584454,28.0,311,216.0,216.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:14:03,21/03/2017 18:19:25,J1720+2150,4.537950593853073,0.38112560950327723,11.0,507,311.0,311.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6328150995171544
21/03/2017 18:19:25,21/03/2017 18:28:32,J1746+2540,4.651802057063271,0.4481496464756274,5.0,640,542.0,542.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:28:32,21/03/2017 18:34:57,J1810+1744,4.758733289789313,0.3096862773743265,8.0,664,377.0,377.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7620578371300686
21/03/2017 18:34:57,21/03/2017 18:43:05,J1738+0333,4.620320378054876,0.06201187154863972,16.0,613,472.0,472.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2979455983171972
21/03/2017 18:43:05,21/03/2017 19:14:56,J1849+2423,4.928713545451534,0.4257923472159776,25.0,1096,1886.0,1886.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:14:56,21/03/2017 19:24:41,J1828+1359,4.838440876842745,0.24422663718818075,15.0,486,570.0,570.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:24:41,21/03/2017 19:27:47,J1807+04,4.744750293598751,0.07126761112310179,12.0,165,174.0,174.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:27:47,21/03/2017 19:32:51,J1822+0705,4.809723083886327,0.12371960328234248,4.0,352,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:32:51,21/03/2017 19:45:54,B1810+02,4.768616725733095,0.04274660403984512,5.0,613,778.0,778.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:45:54,21/03/2017 20:06:41,J1923+2515,5.076180559836729,0.4408925499925424,26.0,2414,1221.0,1221.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9765556585954516
21/03/2017 20:06:41,21/03/2017 20:17:44,J1800+50,4.716752303514675,0.8808094958398051,29.0,477,634.0,634.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
