Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 17:23:01,1490286181000
Duration,  2 days, 4 hours, 23 minutes, 1 second,188581000
Slew time, 0 day, 1 hour, 19 minutes, 45 seconds,4785000.0
Integration time, 1 day, 1 hour, 56 minutes, 16 seconds,9.3376E7
Waiting time, 1 day, 1 hour, 7 minutes, 0 second,9.042E7
Relative slew time, 0.025373712091886245
Relative integration time, 0.49515062493040124
Relative waiting time, 0.4794756629777125
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:17,J0453+1559,1.2817562530918758,0.27906508796776525,85.0,455,352.0,352.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2924531230063643
21/03/2017 13:07:17,21/03/2017 13:19:23,B0540+23,1.4973223286090653,0.40988572669405726,12.0,844,714.0,714.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:19:23,21/03/2017 13:29:37,B0626+24,1.6977492494792945,0.42345226793254537,5.0,609,609.0,609.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:29:37,21/03/2017 13:58:21,J0627+0649,1.6925060331513266,0.11923570698986471,15.0,1709,1709.0,1709.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:58:21,21/03/2017 14:17:55,J0635+0533,1.724821633283396,0.09691910299060733,4.0,1039,incomplete,1170.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 14:17:55,21/03/2017 14:29:19,J0943+41,2.543817384781735,0.7182029871956666,306.0,450,378.0,378.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:29:19,21/03/2017 14:30:05,J0751+1807,2.055791112963893,0.3163826354449581,36.0,1039,incomplete,10.0,0,1800,2,0,1,2,Aborted: High scintillation; interrupted by satellite BEIDOU IGSO 5
21/03/2017 14:30:05,21/03/2017 14:39:38,J1010+15,2.6616271092913526,0.27663468644110123,329.0,261,244.0,244.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:39:38,21/03/2017 15:23:17,B0940+16,2.5460063185519446,0.2884495958497406,369.0,3073,incomplete,2250.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 15:23:17,21/03/2017 15:33:44,J1342+2822D,3.5873933777804443,0.4952662640742576,307.0,374,320.0,320.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:33:44,21/03/2017 15:39:54,B1257+12,3.4036521463529263,0.22134882305275824,18.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:39:54,21/03/2017 17:10:53,J1612+2008,4.242854105472584,0.351481822415939,41.0,2597,5418.0,5418.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:10:53,21/03/2017 17:18:03,J1640+2224,4.364540848022992,0.3909966186058234,13.0,395,417.0,417.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:18:03,21/03/2017 17:21:51,J1739+0612,4.622065719044209,0.10834810070908354,22.0,366,206.0,206.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:21:51,21/03/2017 17:24:18,J1807+04,4.744750293598751,0.07126761112310179,6.0,165,141.0,141.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:24:18,21/03/2017 17:36:25,B1639+36A,4.370659330608373,0.6362473675842965,38.0,842,689.0,689.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:36:25,21/03/2017 17:39:57,J1710+49,4.496331763398225,0.8610290976505359,12.0,231,200.0,200.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:39:57,21/03/2017 18:01:42,J1741+2758,4.633377197926385,0.48815404737238066,17.0,1116,1288.0,1288.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:01:42,21/03/2017 18:03:09,J1758+3030,4.705544380834785,0.5324417771417368,2.0,85,85.0,85.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:03:09,21/03/2017 18:07:12,J1900+30,4.975497365122835,0.5390158506575821,9.0,234,234.0,234.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:07:12,21/03/2017 18:15:09,B1918+26,5.06424546681339,0.4685161844053578,5.0,644,472.0,472.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3643865274188949
21/03/2017 18:15:09,21/03/2017 18:50:17,J1923+2515,5.076180559836729,0.4408925499925424,1.0,2414,2107.0,2107.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1455680488508342
21/03/2017 18:50:17,21/03/2017 18:55:29,J1952+2630,5.203760258617119,0.46264835352319517,1.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:55:29,21/03/2017 19:00:30,J1953+2732,5.206011726079986,0.4807810009100669,1.0,456,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:00:30,21/03/2017 19:34:45,J1957+2831,5.224308376238903,0.49792226734484807,0.0,3073,2055.0,2055.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 19:34:45,21/03/2017 19:36:23,J2036+2835,5.396439001167071,0.49892389241002033,0.0,133,98.0,98.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:36:23,21/03/2017 19:59:52,J2010+2845,5.279989542643227,0.5019235800991494,4.0,581,1405.0,1405.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:59:52,21/03/2017 20:03:16,J2028+3332,5.359605063578616,0.5852882137119282,4.0,165,200.0,200.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:03:16,21/03/2017 20:20:34,J2038+35,5.40179403492245,0.6108652381980153,1.0,1643,1037.0,1037.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5841928191685657
21/03/2017 20:20:34,21/03/2017 20:23:03,B2035+36,5.39942620490391,0.6345440231970861,3.0,179,146.0,146.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.227724810521013
21/03/2017 20:23:03,21/03/2017 20:23:50,B2027+37,5.364260147581895,0.6586105136969403,2.0,47,45.0,45.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.039274087414197
21/03/2017 20:23:50,21/03/2017 20:32:21,J2021+3651,5.32801460411752,0.6431771004166037,1.0,575,510.0,510.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:32:21,21/03/2017 20:37:13,J2005+3552,5.2612586691108225,0.6261092347731424,3.0,402,289.0,289.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3914830257457202
21/03/2017 20:37:13,21/03/2017 20:39:34,J2011+3331,5.284342539241804,0.5850956457177915,1.0,305,140.0,140.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1826182951602235
21/03/2017 20:39:34,21/03/2017 22:56:00,J2018+3431,5.318396094609779,0.602431952696483,1.0,1368,8185.0,8185.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 22:56:00,21/03/2017 22:59:20,J2225+35,5.867796945204935,0.619591884457987,2.0,234,198.0,198.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:59:20,21/03/2017 23:32:23,J2227+30,5.879577917655897,0.5340707511102649,4.0,5293,1979.0,1979.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.6742750790258745
21/03/2017 23:32:23,22/03/2017 00:27:38,J2204+27,5.779948706187889,0.47182067445580045,9.0,2414,3306.0,3306.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:27:38,22/03/2017 00:36:47,J2234+2114,5.912058495035511,0.3706827228121779,7.0,542,542.0,542.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:36:47,22/03/2017 00:46:12,J2215+1538,5.82792002606563,0.27302224274041786,7.0,389,558.0,558.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:46:12,22/03/2017 00:55:26,J2205+1444,5.7826573844649305,0.25729692314268515,6.0,548,548.0,548.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:55:26,22/03/2017 01:01:11,J2143+0654,5.68565583890785,0.12051270622590723,10.0,354,335.0,335.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0571598015438783
22/03/2017 01:01:11,22/03/2017 01:06:04,J1915+1410,5.042213739333153,0.24750465641163474,43.0,257,250.0,250.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0274558398798317
22/03/2017 01:06:04,22/03/2017 01:19:26,J1919+1314,5.059490317266332,0.23114607318363678,0.0,612,802.0,802.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:19:26,22/03/2017 01:39:13,J1935+12,5.127995508515839,0.21031217486531673,1.0,1709,1186.0,1186.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4403965701481538
22/03/2017 01:39:13,22/03/2017 01:42:39,J1947+10,5.181882549171165,0.1873320063807247,2.0,204,204.0,204.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:42:39,22/03/2017 01:56:11,J1939+10,5.145157912827116,0.18762289458939044,2.0,658,810.0,810.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:56:11,22/03/2017 01:58:08,J1941+1026,5.155436011348008,0.18222013092710576,2.0,193,115.0,115.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.679745839430688
22/03/2017 01:58:08,22/03/2017 02:07:39,J1944+0907,5.166853006291774,0.15922764478131782,1.0,570,570.0,570.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:07:39,22/03/2017 02:08:53,J1933+0758,5.119589348339765,0.1390785491812607,4.0,104,70.0,70.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4841771973662419
22/03/2017 02:08:53,22/03/2017 03:04:30,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,3336.0,3336.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 03:04:30,22/03/2017 03:08:03,B1923+04,5.089414278179983,0.07898390567164117,11.0,202,202.0,202.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 03:08:03,22/03/2017 03:16:04,J1906+0414,5.004571132524609,0.07402833414881194,4.0,477,477.0,477.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:16:04,22/03/2017 03:21:05,J1913+0617,5.0309115688736545,0.10966485466697704,1.0,399,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 03:21:05,22/03/2017 03:31:40,J1914+0631,5.03652862018299,0.11401023969076181,0.0,635,635.0,635.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:31:40,22/03/2017 03:38:21,J1913+0617,5.0309115688736545,0.10966485466697704,2.0,399,699.0,399.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:38:21,22/03/2017 03:54:01,J1914+0659,5.035274892003641,0.12188215943093735,1.0,769,939.0,939.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:54:01,22/03/2017 03:55:53,J1907+0602,5.008712435229331,0.10538346504909872,3.0,545,incomplete,109.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:55:53,22/03/2017 03:55:53,J1907+0534,5.006428962791304,0.09741361294533905,0.0,450,incomplete,0.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:55:53,22/03/2017 03:55:53,J1904+0451,4.995960245227275,0.08491488838390511,0.0,211,incomplete,0.0,0,600,1,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 03:55:53,22/03/2017 03:55:53,J1901+0435,4.980893341393584,0.08010576452972863,0.0,382,incomplete,0.0,0,1800,1,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 03:55:53,22/03/2017 03:55:53,J1901+0355,4.980792257741073,0.0686442842946181,0.0,231,incomplete,0.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:55:53,22/03/2017 03:59:10,J1902+0248,4.986570024785696,0.04914071471726257,0.0,273,197.0,197.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.382749475933568
22/03/2017 03:59:10,22/03/2017 04:04:00,J1905+0154A,4.997124903437131,0.033321244302658405,0.0,785,incomplete,290.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
