Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:08:38,1490195318000
Duration,  1 day, 3 hours, 8 minutes, 38 seconds,97718000
Slew time, 0 day, 0 hour, 26 minutes, 0 second,1560000.0
Integration time, 0 day, 3 hours, 5 minutes, 38 seconds,1.1138E7
Waiting time, 0 day, 23 hours, 37 minutes, 0 second,8.502E7
Relative slew time, 0.01596430545037762
Relative integration time, 0.11398104750404224
Relative waiting time, 0.8700546470455801
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:55,J0517+22,1.3839006527271704,0.38862664677740405,85.0,477,incomplete,30.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU IGSO 6
21/03/2017 13:01:55,21/03/2017 13:04:52,J0533+0402,1.4548642856722165,0.07039737056551017,13.0,170,164.0,164.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:52,21/03/2017 13:10:03,J0635+0533,1.724821633283396,0.09691910299060733,11.0,1039,incomplete,300.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 13:10:03,21/03/2017 14:02:04,B0940+16,2.5460063185519446,0.2884495958497406,304.0,3073,2817.0,2817.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:02:04,21/03/2017 14:29:11,J1142+0119,3.0630528372500483,0.022980168484592004,333.0,1106,1294.0,1294.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:29:11,21/03/2017 14:36:19,J1627+1419,4.3079641222725975,0.24997332767584454,50.0,311,378.0,378.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:58:19,21/03/2017 15:24:39,J0815+0939,2.160483158072796,0.16867007335377535,130.0,298,430.0,130.0,5040,1800,2,0,1,0,Completed: Shortened interval; scintillation of 2.294125983126062Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 16:12:39,21/03/2017 16:40:38,J1544+4937,4.11930335455354,0.8662420785732818,89.0,1709,incomplete,1110.0,29100,600,1,0,3,2,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0212 (PRN E03)Waited for more observables to rise above the horizon. 
22/03/2017 03:39:38,22/03/2017 06:51:07,J1957+2831,5.224308376238903,0.49792226734484807,89.0,3073,incomplete,0.0,11400,600,3,0,3,1,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:41:07,22/03/2017 04:33:19,J2006+3102,5.262967637336735,0.5416483889460069,89.0,3754,3043.0,3043.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 05:05:19,22/03/2017 05:46:57,B0458+46,1.3180552705356499,0.8185889443385201,278.0,562,incomplete,300.0,1920,600,1,0,4,0,Waited for more observables to rise above the horizon. Aborted: Scintillation too low within first five minutes.
22/03/2017 05:46:57,22/03/2017 06:46:38,J0408+551,1.0821041362364845,0.9599310885968813,89.0,1150,1572.0,1572.0,37560,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
