Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:18:49,1490282329000
Duration,  2 days, 3 hours, 18 minutes, 49 seconds,184729000
Slew time, 0 day, 2 hours, 3 minutes, 18 seconds,7398000.0
Integration time, 0 day, 15 hours, 55 minutes, 31 seconds,5.7331E7
Waiting time, 1 day, 9 hours, 20 minutes, 0 second,1.2E8
Relative slew time, 0.04004785388325601
Relative integration time, 0.31035192092199926
Relative waiting time, 0.6496002251947447
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:37,J0625+10,1.6831518973920316,0.17918713653808452,65.0,402,632.0,632.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:37,21/03/2017 13:12:20,J0623+0340,1.6745531692218207,0.0640283732367742,7.0,82,36.0,36.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.2682052454657646
21/03/2017 13:12:20,21/03/2017 13:22:59,J1010+15,2.6616271092913526,0.27663468644110123,291.0,261,348.0,348.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:59,21/03/2017 13:32:20,J0943+41,2.543817384781735,0.7182029871956666,25.0,450,536.0,536.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:20,21/03/2017 13:45:29,B1541+09,4.117437145251993,0.16559460443815205,277.0,512,512.0,512.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:45:29,21/03/2017 13:54:25,J0848+16,2.3076888813973357,0.29176087329171874,108.0,547,428.0,428.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2766492199032826
21/03/2017 13:54:25,21/03/2017 13:58:08,J0815+0939,2.160483158072796,0.16867007335377535,15.0,298,208.0,208.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4326615140498495
21/03/2017 13:58:08,21/03/2017 14:08:08,J0751+1807,2.055791112963893,0.3163826354449581,10.0,1039,590.0,590.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7616355127193808
21/03/2017 14:08:08,21/03/2017 14:25:11,J1046+0304,2.821850516285997,0.05355688253848934,318.0,768,705.0,705.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.08980000041153
21/03/2017 14:25:11,21/03/2017 15:22:26,B0940+16,2.5460063185519446,0.2884495958497406,382.0,3073,3053.0,3053.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:22:26,21/03/2017 15:49:20,J1649+2533,4.4058095345230175,0.4459655608422289,274.0,2597,incomplete,1340.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:20,21/03/2017 15:59:44,J1738+0333,4.620320378054876,0.06201187154863972,21.0,613,603.0,603.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0169737407046415
21/03/2017 15:59:44,21/03/2017 16:11:02,J1802+03,4.724315396939985,0.06341362948912731,2.0,644,676.0,676.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:11:02,21/03/2017 16:15:08,J1549+2113,4.143770963894292,0.37043110451168204,37.0,346,219.0,209.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.5237825744756022
21/03/2017 16:15:08,21/03/2017 16:29:24,B1810+02,4.768616725733095,0.04274660403984512,38.0,613,818.0,818.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:29:24,21/03/2017 16:45:38,J1342+2822A,3.5874515554221773,0.49524687152701324,75.0,844,899.0,899.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:45:38,21/03/2017 16:48:47,J1828+0625,4.836600427146518,0.11199438440470835,69.0,135,120.0,120.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1228909617388643
21/03/2017 16:48:47,21/03/2017 16:51:35,J1822+1120,4.809443831206008,0.19807644718147424,5.0,346,163.0,163.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1196531243218946
21/03/2017 16:51:35,21/03/2017 16:58:35,J1810+1744,4.758733289789313,0.3096862773743265,7.0,664,413.0,413.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6090139620873094
21/03/2017 16:58:35,21/03/2017 17:04:35,J1858+0241,4.969374895550943,0.0470172307940028,18.0,415,342.0,342.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:04:35,21/03/2017 17:24:40,J1902+0723,4.983899671030144,0.12911073141628054,4.0,1961,1201.0,1201.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6323417778505729
21/03/2017 17:24:40,21/03/2017 17:42:46,B1913+105,5.044853840715002,0.1835184619651171,3.0,1238,1083.0,1083.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:42:46,21/03/2017 17:58:54,J1914+0659,5.035274892003641,0.12188215943093735,6.0,769,962.0,962.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:58:54,21/03/2017 18:37:38,J1928+1746,5.09945595730928,0.3102304322500038,8.0,2072,2316.0,2316.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:37:38,21/03/2017 18:40:43,J1903+0601,4.98879633769072,0.10517547997990273,19.0,472,166.0,166.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.835083792685831
21/03/2017 18:40:43,21/03/2017 18:42:21,J1848+0351,4.9249002701075195,0.0673682546859378,4.0,189,94.0,94.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.0101263083425542
21/03/2017 18:42:21,21/03/2017 18:44:43,B1920+21,5.074074361218049,0.3696315013074281,17.0,240,125.0,125.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9275225837365646
21/03/2017 18:44:43,21/03/2017 18:46:25,J1821+1715,4.805000731984796,0.301297449287352,13.0,194,89.0,89.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.19107745534139
21/03/2017 18:46:25,21/03/2017 19:09:49,B1919+20,5.0695703936391725,0.35003935627053384,11.0,1643,1393.0,1393.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1792938960855635
21/03/2017 19:09:49,21/03/2017 19:38:49,J1909+1148,5.013458276353711,0.2059488517353309,12.0,1728,1728.0,1728.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:38:49,21/03/2017 19:57:49,B1943+18,5.17316317511641,0.32414691200351686,6.0,768,1134.0,1134.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 19:57:49,21/03/2017 21:51:02,J2006+3102,5.262967637336735,0.5416483889460069,9.0,3754,6784.0,6784.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:51:02,21/03/2017 22:01:32,J1906+0722,5.002637234991347,0.12884311426430806,38.0,548,592.0,592.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:01:32,21/03/2017 22:16:16,J1849+2423,4.928713545451534,0.4257923472159776,16.0,1096,868.0,868.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
