Duration mean, 118.41901543209876, std dev, 1.4101755144032884
Rel slew mean, 0.07471485598927681, std dev, 0.004389183209822388
Rel wait mean, 0.3127171490462575, std dev, 0.014543630652638317
Rel obs mean, 0.6125679949644658, std dev, 0.014693894782743269
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 118.19277777777778, 7.87388888888889, 40.06666666666667, 70.25222222222222, 0.06661903575608587, 0.33899420438361055, 0.5943867598603035, 4, 2, 104, 49, 173, 11, 11, 16, 
1, 117.95, 8.114444444444445, 38.85, 70.98555555555555, 0.06879562903301775, 0.3293768545994065, 0.6018275163675757, 3, 3, 116, 48, 162, 12, 14, 13, 
2, 140.03250000000003, 9.190277777777778, 49.016666666666666, 81.82555555555555, 0.06562960582563175, 0.3500377888466368, 0.5843326053277315, 4, 3, 106, 58, 175, 11, 14, 26, 
3, 117.95527777777778, 8.800555555555556, 37.81666666666667, 71.33805555555556, 0.07460925633302641, 0.3206017346499026, 0.604789009017071, 3, 4, 107, 56, 168, 11, 18, 14, 
4, 118.4575, 9.926666666666666, 34.31666666666667, 74.21416666666667, 0.08379939359404569, 0.28969602318693766, 0.6265045832190167, 5, 2, 105, 65, 171, 21, 26, 16, 
5, 119.38555555555556, 8.543888888888889, 34.68333333333333, 76.15833333333335, 0.07156551602185264, 0.29051532383407636, 0.637919160144071, 4, 1, 98, 65, 174, 15, 19, 18, 
6, 116.89666666666668, 8.298333333333334, 36.516666666666666, 72.08166666666666, 0.07098862243006644, 0.31238415694773164, 0.616627220622202, 4, 2, 96, 67, 166, 12, 16, 14, 
7, 116.03333333333333, 9.315000000000001, 37.266666666666666, 69.45166666666667, 0.08027865555874748, 0.3211720769893709, 0.5985492674518816, 3, 4, 105, 55, 171, 15, 22, 10, 
8, 118.23305555555555, 8.850555555555555, 40.516666666666666, 68.86583333333333, 0.0748568622706096, 0.3426847633792956, 0.5824583743500948, 4, 1, 104, 51, 164, 15, 8, 11, 
9, 118.31972222222223, 8.034722222222221, 35.88333333333333, 74.40166666666667, 0.06790687191719236, 0.30327432028566664, 0.6288188077971409, 4, 2, 98, 59, 169, 6, 16, 10, 
