Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:03:16,1490281396000
Duration,  2 days, 3 hours, 3 minutes, 16 seconds,183796000
Slew time, 0 day, 0 hour, 54 minutes, 32 seconds,3272000.0
Integration time, 0 day, 15 hours, 56 minutes, 44 seconds,5.7404E7
Waiting time, 1 day, 10 hours, 12 minutes, 0 second,1.2312E8
Relative slew time, 0.017802346079348844
Relative integration time, 0.31232453372217023
Relative waiting time, 0.6698731201984809
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:09,J0740+41,2.011491962923465,0.7167485461523381,79.0,473,350.0,350.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3500052553040711
21/03/2017 13:07:09,21/03/2017 13:24:01,J0751+1807,2.055791112963893,0.3163826354449581,371.0,1039,641.0,641.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6197556011150958
21/03/2017 13:24:01,21/03/2017 13:45:00,J1342+2822A,3.5874515554221773,0.49524687152701324,279.0,844,980.0,980.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:45:00,21/03/2017 13:49:20,J0533+0402,1.4548642856722165,0.07039737056551017,123.0,170,137.0,137.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:49:20,21/03/2017 14:03:40,J0848+16,2.3076888813973357,0.29176087329171874,313.0,547,547.0,547.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:03:40,21/03/2017 14:12:07,B1133+16,3.0371090778789545,0.27665640609401493,314.0,192,193.0,193.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:07,21/03/2017 14:17:18,J1046+0304,2.821850516285997,0.05355688253848934,19.0,768,292.0,292.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.6260614825026587
21/03/2017 14:17:18,21/03/2017 14:27:21,J1627+1419,4.3079641222725975,0.24997332767584454,280.0,311,323.0,323.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:27:21,21/03/2017 14:33:28,B1257+12,3.4036521463529263,0.22134882305275824,40.0,352,327.0,327.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0775228176764986
21/03/2017 14:33:28,21/03/2017 14:43:03,J1645+1012,4.38764247506106,0.17810134781787157,43.0,532,532.0,532.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:43:03,21/03/2017 14:50:24,J1342+2822D,3.5873933777804443,0.4952662640742576,45.0,374,396.0,396.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:50:24,21/03/2017 14:56:50,J0815+0939,2.160483158072796,0.16867007335377535,88.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:56:50,21/03/2017 15:17:40,J0711+0931,1.8832233528712716,0.16621837056840444,13.0,659,1237.0,1237.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:17:40,21/03/2017 15:23:58,J1739+0612,4.622065719044209,0.10834810070908354,208.0,366,incomplete,170.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 50 [+]
21/03/2017 15:23:58,21/03/2017 15:42:38,J1649+2533,4.4058095345230175,0.4459655608422289,23.0,2597,3607.0,1097.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:46:38,21/03/2017 15:51:40,B1639+36A,4.370659330608373,0.6362473675842965,12.0,842,incomplete,50.0,240,600,1,0,3,2,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:47:40,21/03/2017 16:07:24,B1639+36B,4.370668057254633,0.6363518934139437,89.0,548,1095.0,1095.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:07:24,21/03/2017 16:17:55,B1639+36A,4.370659330608373,0.6362473675842965,2.0,842,679.0,629.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:17:55,21/03/2017 16:23:32,J1641+3627D,4.370668057254633,0.6363518934139437,1.0,336,336.0,336.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:23:32,21/03/2017 17:15:56,J1629+43,4.3153265755559795,0.7676539826688393,7.0,405,3137.0,3137.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:15:56,21/03/2017 17:37:59,J1741+2758,4.633377197926385,0.48815404737238066,13.0,1116,1310.0,1310.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:37:59,21/03/2017 17:38:59,J1758+3030,4.705544380834785,0.5324417771417368,2.0,85,58.0,58.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4651283022861703
21/03/2017 17:38:59,21/03/2017 17:51:19,J1746+2540,4.651802057063271,0.4481496464756274,5.0,640,735.0,735.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:51:19,21/03/2017 19:02:26,J1746+2245,4.651363543088708,0.39720251598255063,4.0,3754,4263.0,4263.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
