Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:04:53,1490195093000
Duration,  1 day, 3 hours, 4 minutes, 53 seconds,97493000
Slew time, 0 day, 0 hour, 39 minutes, 25 seconds,2365000.0
Integration time, 0 day, 15 hours, 1 minute, 28 seconds,5.4088E7
Waiting time, 0 day, 11 hours, 24 minutes, 0 second,4.104E7
Relative slew time, 0.02425815186731355
Relative integration time, 0.554788548921461
Relative waiting time, 0.42095329921122543
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:25:42,B0823+26,2.2115782027959106,0.4646638064138933,62.0,1410,1480.0,1480.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:42,21/03/2017 13:27:06,J0623+0340,1.6745531692218207,0.0640283732367742,47.0,82,37.0,37.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.243751339144728
21/03/2017 13:27:06,21/03/2017 14:34:17,B0940+16,2.5460063185519446,0.2884495958497406,302.0,3073,3729.0,3729.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:34:17,21/03/2017 14:50:16,J0751+1807,2.055791112963893,0.3163826354449581,42.0,1039,917.0,917.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.133602532533379
21/03/2017 14:50:16,21/03/2017 14:56:27,J1645+1012,4.38764247506106,0.17810134781787157,232.0,532,139.0,139.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.821255573143618
21/03/2017 14:56:27,21/03/2017 15:01:25,J1640+2224,4.364540848022992,0.3909966186058234,11.0,395,287.0,287.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:01:25,21/03/2017 15:05:57,J1738+0333,4.620320378054876,0.06201187154863972,22.0,613,incomplete,250.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 83 [+]
21/03/2017 15:05:57,21/03/2017 15:10:57,J1736+05,4.611596216082018,0.10122909661567112,2.0,186,298.0,298.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:10:57,21/03/2017 15:14:26,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,209.0,209.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:14:26,21/03/2017 15:19:28,J1738+0333,4.620320378054876,0.06201187154863972,2.0,613,incomplete,300.0,0,5400,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:19:28,21/03/2017 15:27:46,J1649+2533,4.4058095345230175,0.4459655608422289,25.0,2597,3213.0,473.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:27:46,21/03/2017 15:41:59,J1802+03,4.724315396939985,0.06341362948912731,26.0,644,827.0,827.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:41:59,21/03/2017 15:43:50,J1807+04,4.744750293598751,0.07126761112310179,1.0,165,110.0,110.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:43:50,21/03/2017 15:52:51,B1810+02,4.768616725733095,0.04274660403984512,1.0,613,540.0,540.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:52:51,21/03/2017 15:55:28,J1822+0705,4.809723083886327,0.12371960328234248,3.0,352,154.0,154.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2796315967461585
21/03/2017 15:55:28,21/03/2017 15:57:19,J1828+0625,4.836600427146518,0.11199438440470835,1.0,135,110.0,110.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.22273171217851
21/03/2017 15:57:19,21/03/2017 16:08:47,J1806+1023,4.742358756191207,0.1813120749023876,6.0,647,682.0,682.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:08:47,21/03/2017 16:13:20,J1822+1120,4.809443831206008,0.19807644718147424,1.0,346,272.0,272.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.269945762848083
21/03/2017 16:13:20,21/03/2017 16:17:51,J1845+0623,4.909363203662161,0.11168943659929047,6.0,402,265.0,265.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5177273028747624
21/03/2017 16:17:51,21/03/2017 16:21:58,J1848+0647,4.925901652765852,0.11854518686386041,0.0,450,247.0,247.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8201264515735052
21/03/2017 16:21:58,21/03/2017 16:24:24,J1853+0545,4.947892874063031,0.10062434002985507,0.0,422,146.0,146.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.8844479560553085
21/03/2017 16:24:24,21/03/2017 16:33:17,J1855+0527,4.953467892026215,0.09531776340190254,0.0,542,533.0,533.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:33:17,21/03/2017 16:42:27,J1901+0510,4.982758662031652,0.09034018133795094,0.0,844,incomplete,550.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 44 [-]
21/03/2017 16:42:27,21/03/2017 16:49:57,J1907+0534,5.006428962791304,0.09741361294533905,0.0,450,450.0,450.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:49:57,21/03/2017 16:54:57,J1913+0617,5.0309115688736545,0.10966485466697704,0.0,399,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:54:57,21/03/2017 17:05:31,J1914+0631,5.03652862018299,0.11401023969076181,0.0,635,634.0,634.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0011140421885687
21/03/2017 17:05:31,21/03/2017 17:07:01,J1926+0737,5.090088411603566,0.13297081794527466,0.0,2800,incomplete,90.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 38 [-]
21/03/2017 17:07:01,21/03/2017 17:08:34,J1933+0758,5.119589348339765,0.1390785491812607,1.0,104,92.0,92.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1347029323153748
21/03/2017 17:08:34,21/03/2017 17:44:48,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,2263.0,2173.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:44:48,21/03/2017 19:21:00,J1956+0838,5.222334917909262,0.1507615407872702,1.0,6023,5771.0,5771.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 19:21:00,21/03/2017 19:26:56,J2143+0654,5.68565583890785,0.12051270622590723,2.0,354,354.0,354.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:26:56,21/03/2017 19:36:01,B2127+11E,5.628554992601135,0.21239023174665653,6.0,543,539.0,539.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.00806819519503
21/03/2017 19:36:01,21/03/2017 19:38:36,B2127+11G,5.6285377574747715,0.21233530235658682,1.0,154,154.0,154.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:38:36,21/03/2017 19:45:00,B2127+11H,5.628554774434979,0.21234562888799444,0.0,384,384.0,384.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:45:00,21/03/2017 19:51:03,B2110+27,5.554829557919938,0.4869579635397153,15.0,166,348.0,348.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:51:03,21/03/2017 20:00:43,J2105+28,5.523967082562054,0.4971279486097182,2.0,829,578.0,578.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4340141285347603
