Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:07:40,1490195260000
Duration,  1 day, 3 hours, 7 minutes, 40 seconds,97660000
Slew time, 0 day, 0 hour, 38 minutes, 0 second,2280000.0
Integration time, 0 day, 5 hours, 58 minutes, 40 seconds,2.152E7
Waiting time, 0 day, 20 hours, 31 minutes, 0 second,7.386E7
Relative slew time, 0.023346303501945526
Relative integration time, 0.22035633831660864
Relative waiting time, 0.7562973581814458
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:42,J0943+41,2.543817384781735,0.7182029871956666,74.0,450,568.0,568.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:42,21/03/2017 13:21:07,J0815+0939,2.160483158072796,0.16867007335377535,393.0,298,232.0,232.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2870922363217652
21/03/2017 13:21:07,21/03/2017 13:30:11,J1342+2822B,3.587457889512921,0.4952863402087923,279.0,647,265.0,265.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.441063297365784
21/03/2017 13:30:11,21/03/2017 14:00:30,J0627+0649,1.6925060331513266,0.11923570698986471,110.0,1709,1709.0,1709.0,7920,1800,1,0,2,0,Completed: Nominal time; scintillation good.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 16:56:30,21/03/2017 17:44:23,J1544+4937,4.11930335455354,0.8662420785732818,86.0,1709,1387.0,147.0,2640,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:29:23,21/03/2017 18:01:11,B1915+22,5.051580630540398,0.39060856510577985,89.0,364,329.0,79.0,1740,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:36:11,21/03/2017 17:52:06,J1710+49,4.496331763398225,0.8610290976505359,89.0,231,626.0,626.0,240,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:48:06,21/03/2017 17:53:28,J1900+30,4.975497365122835,0.5390158506575821,88.0,234,234.0,234.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:53:28,21/03/2017 18:02:20,B1918+26,5.06424546681339,0.4685161844053578,5.0,644,527.0,527.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.223156884836017
21/03/2017 18:02:20,21/03/2017 18:07:22,J1923+2515,5.076180559836729,0.4408925499925424,2.0,2414,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
