Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 17:08:52,1490285332000
Duration,  2 days, 4 hours, 8 minutes, 52 seconds,187732000
Slew time, 0 day, 0 hour, 43 minutes, 40 seconds,2620000.0
Integration time, 0 day, 15 hours, 25 minutes, 12 seconds,5.5512E7
Waiting time, 1 day, 12 hours, 0 minute, 0 second,1.296E8
Relative slew time, 0.013956065028870944
Relative integration time, 0.2956981228559862
Relative waiting time, 0.6903458121151429
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:31:48,J1238+21,3.30908390247795,0.3816991440880299,67.0,751,1841.0,1841.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:31:48,21/03/2017 13:37:19,J1046+0304,2.821850516285997,0.05355688253848934,31.0,768,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:37:19,21/03/2017 13:40:37,J0633+0632,1.7180010320107069,0.11419737777167009,76.0,263,122.0,122.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1526530718918835
21/03/2017 13:40:37,21/03/2017 13:42:58,J0635+0533,1.724821633283396,0.09691910299060733,1.0,1039,incomplete,140.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 55 [+]
21/03/2017 13:42:58,21/03/2017 13:51:48,J0815+0939,2.160483158072796,0.16867007335377535,336.0,298,194.0,194.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5359251918812475
21/03/2017 13:51:48,21/03/2017 14:46:48,J1022+1001,2.718204916782272,0.17507964958762018,323.0,3754,2977.0,2977.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:46:48,21/03/2017 14:56:19,J1549+2113,4.143770963894292,0.37043110451168204,295.0,346,276.0,276.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2526483916736453
21/03/2017 14:56:19,21/03/2017 15:07:55,B0940+16,2.5460063185519446,0.2884495958497406,92.0,3073,4464.0,604.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:07:55,21/03/2017 15:31:22,J1142+0119,3.0630528372500483,0.022980168484592004,331.0,1106,1076.0,1076.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:31:22,21/03/2017 15:46:48,B1810+02,4.768616725733095,0.04274660403984512,266.0,613,660.0,660.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:46:48,21/03/2017 15:52:19,J1640+2224,4.364540848022992,0.3909966186058234,31.0,395,300.0,300.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:52:19,21/03/2017 16:16:31,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,1450.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:31,21/03/2017 16:27:05,J1738+0333,4.620320378054876,0.06201187154863972,21.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:27:05,21/03/2017 16:40:22,J1802+03,4.724315396939985,0.06341362948912731,2.0,644,795.0,795.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:40:22,21/03/2017 17:10:12,J1649+2533,4.4058095345230175,0.4459655608422289,31.0,2597,3209.0,1759.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:10:12,21/03/2017 17:22:05,J1746+2540,4.651802057063271,0.4481496464756274,4.0,640,709.0,709.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:22:05,21/03/2017 17:22:55,J1758+3030,4.705544380834785,0.5324417771417368,3.0,85,47.0,47.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.82108227506193
21/03/2017 17:22:55,21/03/2017 17:40:43,J1741+2758,4.633377197926385,0.48815404737238066,4.0,1116,1064.0,1064.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:40:43,21/03/2017 17:51:56,J1810+1744,4.758733289789313,0.3096862773743265,9.0,664,664.0,664.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:51:56,21/03/2017 17:53:45,J1821+1715,4.805000731984796,0.301297449287352,0.0,194,109.0,109.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.784511044516111
21/03/2017 17:53:45,21/03/2017 18:06:07,J1828+1359,4.838440876842745,0.24422663718818075,3.0,486,739.0,739.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:06:07,21/03/2017 18:13:37,J1842+1332,4.897827304527,0.23620849764178256,0.0,450,450.0,450.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:13:37,21/03/2017 18:22:15,J1848+12,4.924010152189003,0.22398392067260564,0.0,598,518.0,518.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:22:15,21/03/2017 18:22:26,B1852+10,4.950141367193965,0.18811740454412218,1.0,581,incomplete,10.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 82 [+]
21/03/2017 18:22:26,21/03/2017 18:23:14,J1853+0853,4.945250081965251,0.15512583354461823,1.0,47,47.0,47.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:23:14,21/03/2017 18:28:15,B1852+10,4.950141367193965,0.18811740454412218,1.0,581,incomplete,300.0,0,600,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:28:15,21/03/2017 18:31:21,B1855+09,4.963744815940518,0.16967128429110123,1.0,243,185.0,185.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
