Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 18:29:32,1490290172000
Duration,  2 days, 5 hours, 29 minutes, 32 seconds,192572000
Slew time, 0 day, 0 hour, 45 minutes, 11 seconds,2711000.0
Integration time, 0 day, 16 hours, 24 minutes, 21 seconds,5.9061E7
Waiting time, 1 day, 12 hours, 20 minutes, 0 second,1.308E8
Relative slew time, 0.014077851401034418
Relative integration time, 0.30669567746089776
Relative waiting time, 0.6792264711380679
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:59:05,J0557+1550,1.5599934063134906,0.2763731100675954,73.0,4182,3472.0,3472.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:59:05,21/03/2017 14:01:20,B0523+11,1.4221850534626992,0.19644204329971776,17.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:01:20,21/03/2017 14:13:20,J0751+1807,2.055791112963893,0.3163826354449581,28.0,1039,692.0,692.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5007664251227046
21/03/2017 14:13:20,21/03/2017 15:23:17,B0940+16,2.5460063185519446,0.2884495958497406,337.0,3073,incomplete,3860.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 15:23:17,21/03/2017 15:32:39,B1133+16,3.0371090778789545,0.27665640609401493,347.0,192,215.0,215.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:32:39,21/03/2017 15:46:08,J0943+41,2.543817384781735,0.7182029871956666,377.0,450,432.0,432.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:46:08,21/03/2017 15:55:29,B1257+12,3.4036521463529263,0.22134882305275824,322.0,352,239.0,239.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4701529538916287
21/03/2017 15:55:29,21/03/2017 16:05:16,J1645+1012,4.38764247506106,0.17810134781787157,55.0,532,532.0,532.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:05:16,21/03/2017 16:08:33,J1736+05,4.611596216082018,0.10122909661567112,10.0,186,187.0,187.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:08:33,21/03/2017 16:14:39,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,366.0,366.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:14:39,21/03/2017 16:17:12,J1807+04,4.744750293598751,0.07126761112310179,4.0,165,149.0,149.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:17:12,21/03/2017 16:21:44,J1822+0705,4.809723083886327,0.12371960328234248,4.0,352,268.0,268.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3112905717153736
21/03/2017 16:21:44,21/03/2017 16:22:41,J1828+0625,4.836600427146518,0.11199438440470835,0.0,135,57.0,57.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3639428702633176
21/03/2017 16:22:41,21/03/2017 16:28:27,J1845+0623,4.909363203662161,0.11168943659929047,3.0,402,343.0,343.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1723616018903162
21/03/2017 16:28:27,21/03/2017 16:32:07,J1848+0647,4.925901652765852,0.11854518686386041,0.0,450,220.0,220.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0474030976447533
21/03/2017 16:32:07,21/03/2017 16:38:59,B1848+04,4.935158297342012,0.07510733547748931,1.0,647,411.0,411.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5726196608279828
