Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 03:05:10,1490234710000
Duration,  1 day, 14 hours, 5 minutes, 10 seconds,137110000
Slew time, 0 day, 1 hour, 20 minutes, 21 seconds,4821000.0
Integration time, 1 day, 0 hour, 57 minutes, 49 seconds,8.9869E7
Waiting time, 0 day, 11 hours, 47 minutes, 0 second,4.242E7
Relative slew time, 0.03516154912114361
Relative integration time, 0.6554518270002188
Relative waiting time, 0.3093866238786376
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:32,J0538+2817,1.476625428940753,0.493681703887056,85.0,127,127.0,127.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:03:32,21/03/2017 14:12:48,J1022+1001,2.718204916782272,0.17507964958762018,297.0,3754,3859.0,3859.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:12:48,21/03/2017 14:36:39,B0823+26,2.2115782027959106,0.4646638064138933,47.0,1410,1384.0,1384.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:36:39,21/03/2017 14:45:26,B1257+12,3.4036521463529263,0.22134882305275824,293.0,352,234.0,234.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5069940912288335
21/03/2017 14:45:26,21/03/2017 14:56:41,J1046+0304,2.821850516285997,0.05355688253848934,50.0,768,625.0,625.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2284043279564154
21/03/2017 14:56:41,21/03/2017 15:19:04,J0635+0533,1.724821633283396,0.09691910299060733,58.0,1039,1285.0,1285.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:19:04,21/03/2017 15:26:25,B1541+09,4.117437145251993,0.16559460443815205,221.0,512,220.0,220.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.327107016579855
21/03/2017 15:26:25,21/03/2017 15:42:05,J0711+0931,1.8832233528712716,0.16621837056840444,134.0,659,806.0,806.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:42:05,21/03/2017 15:47:00,J1342+2822A,3.5874515554221773,0.49524687152701324,268.0,844,977.0,27.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:47:00,21/03/2017 15:47:47,B1639+36A,4.370659330608373,0.6362473675842965,27.0,842,incomplete,20.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:47:47,21/03/2017 16:00:39,B1639+36B,4.370668057254633,0.6363518934139437,0.0,548,772.0,772.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
