Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 00:35:11,1490225711000
Duration,  1 day, 11 hours, 35 minutes, 11 seconds,128111000
Slew time, 0 day, 0 hour, 43 minutes, 9 seconds,2589000.0
Integration time, 0 day, 9 hours, 33 minutes, 2 seconds,3.4382E7
Waiting time, 1 day, 1 hour, 19 minutes, 0 second,9.114E7
Relative slew time, 0.020209037475314377
Relative integration time, 0.2683766421306523
Relative waiting time, 0.7114143203940333
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:26:00,B0823+26,2.2115782027959106,0.4646638064138933,62.0,1410,1498.0,1498.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:00,21/03/2017 13:54:55,J1142+0119,3.0630528372500483,0.022980168484592004,304.0,1106,1431.0,1431.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:54:55,21/03/2017 13:57:39,J1012+5307,2.672785151988384,0.9270733295670593,46.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:57:39,21/03/2017 14:04:46,J1518+0204E,4.008003183100644,0.03635132980959301,279.0,402,148.0,148.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.718850855430112
21/03/2017 14:04:46,21/03/2017 14:08:58,B0626+24,1.6977492494792945,0.42345226793254537,132.0,609,incomplete,120.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 28 [-]
21/03/2017 14:08:58,21/03/2017 14:20:44,J0557+1550,1.5599934063134906,0.2763731100675954,11.0,4182,2898.0,695.0,47880,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:42:44,22/03/2017 03:48:13,J1952+2630,5.203760258617119,0.46264835352319517,89.0,311,incomplete,0.0,540,5400,3,0,1,1,Waited for more observables to rise above the horizon. Aborted: High scintillation; observed until object set.Waited for more observables to rise above the horizon. 
22/03/2017 03:50:13,22/03/2017 03:58:20,J1910+1027,5.017821599483698,0.18238690683340741,89.0,427,338.0,338.0,240,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.Waited for more observables to rise above the horizon. 
22/03/2017 04:03:20,22/03/2017 04:11:12,J1913+0617,5.0309115688736545,0.10966485466697704,89.0,399,203.0,203.0,900,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.9688383112125902Waited for more observables to rise above the horizon. 
22/03/2017 07:37:12,22/03/2017 11:05:53,J0645+5158,1.7714424245127065,0.907061772699451,89.0,427,612.0,612.0,11820,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 16:04:53,23/03/2017 00:30:57,J1856+0102,4.958807872316796,0.01808645918747235,89.0,481,515.0,515.0,29760,20,4,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:14:57,22/03/2017 18:13:32,J1855+0205,4.9554294239393,0.036537498263139075,88.0,5293,7027.0,7027.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:13:32,22/03/2017 18:24:25,J1914+0631,5.03652862018299,0.11401023969076181,18.0,635,635.0,635.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 18:24:25,22/03/2017 18:35:38,J1914+0659,5.035274892003641,0.12188215943093735,2.0,769,671.0,671.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:35:38,22/03/2017 18:50:13,J1907+0602,5.008712435229331,0.10538346504909872,3.0,545,872.0,872.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:50:13,22/03/2017 19:14:07,B1900+06,4.9865712610605835,0.10953594270917001,3.0,1358,1534.0,1431.0,0,600,4,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 19:14:07,22/03/2017 19:18:06,J1907+0534,5.006428962791304,0.09741361294533905,3.0,450,336.0,236.0,0,1800,4,0,1,0,Completed: Shortened interval; scintillation of 1.2864424231557638
22/03/2017 19:18:06,22/03/2017 19:22:43,J1901+0435,4.980893341393584,0.08010576452972863,2.0,382,275.0,275.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.3904516670625988
22/03/2017 19:22:43,22/03/2017 19:30:24,J1903+0415,4.987278337573797,0.07417649320975901,0.0,570,461.0,461.0,0,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 19:30:24,22/03/2017 19:34:16,J1907+0249,5.007788137946295,0.049358880873761855,1.0,402,231.0,231.0,0,5400,3,0,1,0,Completed: Shortened interval; scintillation of 1.7372809889195215
22/03/2017 19:34:16,22/03/2017 19:38:06,J1910+0225,5.01857492722209,0.04229320628527147,0.0,575,745.0,230.0,0,600,4,0,1,0,Completed: Shortened interval; scintillation of 1.5651843451635852
22/03/2017 19:38:06,22/03/2017 19:48:05,J1905+0154A,4.997124903437131,0.033321244302658405,1.0,785,735.0,598.0,0,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 19:48:05,22/03/2017 19:56:09,J1902+02,4.982915014443811,0.03490658503988659,3.0,481,781.0,481.0,0,1800,3,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 19:56:09,22/03/2017 20:02:22,J1900+0227,4.976995439397463,0.04291570705181613,2.0,322,371.0,371.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 20:02:22,22/03/2017 20:05:37,J1857+0143,4.963498808291791,0.030189347922690807,1.0,512,194.0,194.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 2.643828838413313
22/03/2017 20:05:37,22/03/2017 20:10:12,J1858+0241,4.969374895550943,0.0470172307940028,1.0,415,274.0,274.0,0,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 20:10:12,22/03/2017 20:14:45,J1902+0248,4.986570024785696,0.04914071471726257,0.0,273,273.0,273.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 20:14:45,22/03/2017 20:17:47,J1903+0601,4.98879633769072,0.10517547997990273,3.0,472,249.0,179.0,0,5400,3,0,1,0,Completed: Shortened interval; scintillation of 2.245767860127666
22/03/2017 20:17:47,22/03/2017 20:18:21,J1901+0621,4.978985114744737,0.11092052210105073,1.0,50,33.0,33.0,0,60,3,0,1,0,Completed: Shortened interval; scintillation of 1.4949248890641196
22/03/2017 20:18:21,22/03/2017 20:23:21,J1902+0723,4.983899671030144,0.12911073141628054,0.0,1961,incomplete,300.0,0,5400,3,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 20:23:21,22/03/2017 20:26:10,J1904+0738,4.992189475922752,0.133477399760666,1.0,182,168.0,168.0,0,60,3,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 20:26:10,22/03/2017 20:44:12,J1911+10,5.022184922613683,0.17453292519943295,2.0,1293,incomplete,1080.0,0,600,3,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-6  (PRN 06)
22/03/2017 20:44:12,22/03/2017 20:49:14,J1920+1040,5.065482178032532,0.18631874578720578,2.0,692,incomplete,300.0,0,5400,3,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 20:49:14,22/03/2017 20:58:35,B1914+09,5.046353696679909,0.1720408859157937,2.0,326,559.0,559.0,0,60,3,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 20:58:35,22/03/2017 21:05:47,J1911+10,5.022184922613683,0.17453292519943295,4.0,1293,1644.0,428.0,0,600,4,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 21:05:47,22/03/2017 21:07:02,B1907+10,5.016999389417493,0.19258423539502487,3.0,193,72.0,72.0,0,180,3,0,1,0,Completed: Shortened interval; scintillation of 2.6742519670428178
22/03/2017 21:07:02,22/03/2017 21:19:19,J1946+2535,5.178471884924559,0.446763079347654,16.0,910,721.0,721.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.262997572514984
22/03/2017 21:19:19,22/03/2017 21:20:35,J1952+2630,5.203760258617119,0.46264835352319517,1.0,311,241.0,75.0,0,5400,4,0,1,0,Completed: Shortened interval; scintillation of 1.9320802723931354
22/03/2017 21:20:35,22/03/2017 21:25:35,J1953+2732,5.206011726079986,0.4807810009100669,0.0,456,incomplete,300.0,0,5400,3,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 21:25:35,22/03/2017 21:35:46,J2010+2845,5.279989542643227,0.5019235800991494,2.0,581,878.0,609.0,0,60,3,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 21:35:46,22/03/2017 21:47:34,B2002+31,5.257243393722505,0.551863461688353,4.0,890,1252.0,704.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 21:47:34,22/03/2017 23:36:39,J2006+3102,5.262967637336735,0.5416483889460069,2.0,3754,6755.0,6543.0,0,600,4,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 23:36:39,22/03/2017 23:43:46,J2005+3552,5.2612586691108225,0.6261092347731424,25.0,402,402.0,402.0,0,600,3,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 23:43:46,22/03/2017 23:57:27,J1953+2732,5.206011726079986,0.4807810009100669,365.0,456,1056.0,456.0,0,5400,4,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 23:57:27,23/03/2017 00:07:51,J1920+1040,5.065482178032532,0.18631874578720578,379.0,692,1081.0,245.0,0,5400,4,0,2,0,Completed: Nominal time; scintillation good.
23/03/2017 00:07:51,23/03/2017 00:35:11,J1902+0723,4.983899671030144,0.12911073141628054,370.0,1961,1570.0,1270.0,0,5400,4,0,1,0,Completed: Shortened interval; scintillation of 1.5445956460846946
