Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 02:25:01,1490318701000
Duration,  2 days, 13 hours, 25 minutes, 1 second,221101000
Slew time, 0 day, 1 hour, 43 minutes, 38 seconds,6218000.0
Integration time, 1 day, 16 hours, 33 minutes, 23 seconds,1.46003E8
Waiting time, 0 day, 19 hours, 8 minutes, 0 second,6.888E7
Relative slew time, 0.02812289406198977
Relative integration time, 0.6603452720702303
Relative waiting time, 0.3115318338677799
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:26:00,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,1518.0,1518.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:00,21/03/2017 13:31:05,B0626+24,1.6977492494792945,0.42345226793254537,49.0,609,256.0,256.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.37857284411821
21/03/2017 13:31:05,21/03/2017 14:21:11,J0557+1550,1.5599934063134906,0.2763731100675954,12.0,4182,incomplete,2994.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:11,21/03/2017 14:28:29,J0625+10,1.6831518973920316,0.17918713653808452,7.0,402,431.0,431.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:28:29,21/03/2017 14:31:55,J0633+0632,1.7180010320107069,0.11419737777167009,2.0,263,204.0,204.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.287250125072053
21/03/2017 14:31:55,21/03/2017 14:55:39,J0635+0533,1.724821633283396,0.09691910299060733,1.0,1039,1423.0,1423.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:55:39,21/03/2017 15:03:58,J0711+0931,1.8832233528712716,0.16621837056840444,5.0,659,494.0,494.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:58,21/03/2017 15:15:53,J0627+0649,1.6925060331513266,0.11923570698986471,9.0,1709,incomplete,706.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:15:53,21/03/2017 15:17:19,J0623+0340,1.6745531692218207,0.0640283732367742,4.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:17:19,21/03/2017 15:17:19,J0621+0336,1.6632421266719581,0.06305254025943692,0.0,427,incomplete,0.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:17:19,21/03/2017 15:17:22,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,incomplete,0.0,0,1800,2,0,2,1,Aborted: Normal scintillation; observed until object set.
