Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:00:30,1490281230000
Duration,  2 days, 3 hours, 0 minute, 30 seconds,183630000
Slew time, 0 day, 1 hour, 34 minutes, 34 seconds,5674000.0
Integration time, 1 day, 0 hour, 27 minutes, 56 seconds,8.8076E7
Waiting time, 1 day, 0 hour, 58 minutes, 0 second,8.988E7
Relative slew time, 0.030899090562544248
Relative integration time, 0.4796384033110058
Relative waiting time, 0.4894625061264499
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:27,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,284.0,284.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:27,21/03/2017 13:23:20,J0711+0931,1.8832233528712716,0.16621837056840444,25.0,659,1048.0,1048.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:23:20,21/03/2017 13:30:39,J0625+10,1.6831518973920316,0.17918713653808452,11.0,402,428.0,428.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:39,21/03/2017 13:33:56,J0633+0632,1.7180010320107069,0.11419737777167009,2.0,263,195.0,195.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3462628504910987
21/03/2017 13:33:56,21/03/2017 13:42:57,J0635+0533,1.724821633283396,0.09691910299060733,1.0,1039,incomplete,540.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 55 [+]
21/03/2017 13:42:57,21/03/2017 13:44:01,J0623+0340,1.6745531692218207,0.0640283732367742,5.0,82,59.0,59.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.3924996169800692
21/03/2017 13:44:01,21/03/2017 13:48:12,J1518+0204E,4.008003183100644,0.03635132980959301,211.0,402,incomplete,40.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 19 [+]
21/03/2017 13:48:12,21/03/2017 13:51:21,B1541+09,4.117437145251993,0.16559460443815205,8.0,512,181.0,181.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.825029067753307
21/03/2017 13:51:21,21/03/2017 13:54:46,J1518+0204E,4.008003183100644,0.03635132980959301,10.0,402,235.0,195.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.5866987685115383
21/03/2017 13:54:46,21/03/2017 13:57:25,J1012+5307,2.672785151988384,0.9270733295670593,81.0,118,78.0,78.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5088276395791549
21/03/2017 13:57:25,21/03/2017 14:12:27,J0943+41,2.543817384781735,0.7182029871956666,367.0,450,535.0,535.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:27,21/03/2017 14:21:05,J0557+1550,1.5599934063134906,0.2763731100675954,56.0,4182,incomplete,462.0,0,600,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:05,21/03/2017 14:27:58,J0533+0402,1.4548642856722165,0.07039737056551017,14.0,170,399.0,399.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:27:58,21/03/2017 14:33:12,J0740+41,2.011491962923465,0.7167485461523381,314.0,473,incomplete,0.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 14:52:12,21/03/2017 15:26:30,J1640+2224,4.364540848022992,0.3909966186058234,259.0,395,659.0,659.0,1140,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:07:30,21/03/2017 15:11:34,J1736+05,4.611596216082018,0.10122909661567112,88.0,186,156.0,156.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:11:34,21/03/2017 15:14:46,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,192.0,192.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
