Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 02:58:42,1490234322000
Duration,  1 day, 13 hours, 58 minutes, 42 seconds,136722000
Slew time, 0 day, 1 hour, 1 minute, 3 seconds,3663000.0
Integration time, 1 day, 0 hour, 52 minutes, 39 seconds,8.9559E7
Waiting time, 0 day, 12 hours, 5 minutes, 0 second,4.35E7
Relative slew time, 0.02679159169702023
Relative integration time, 0.6550445429411507
Relative waiting time, 0.3181638653618291
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:58:15,J1022+1001,2.718204916782272,0.17507964958762018,43.0,3754,3452.0,3452.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:58:15,21/03/2017 14:15:53,J1142+0119,3.0630528372500483,0.022980168484592004,11.0,1106,1047.0,1047.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:15:53,21/03/2017 14:21:36,B1257+12,3.4036521463529263,0.22134882305275824,16.0,352,327.0,327.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0771110885717823
21/03/2017 14:21:36,21/03/2017 14:23:49,J1313+0931,3.4617878492785863,0.1663686628095484,4.0,334,129.0,129.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.598485794201094
21/03/2017 14:23:49,21/03/2017 14:29:08,J1342+2822B,3.587457889512921,0.4952863402087923,19.0,647,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:29:08,21/03/2017 14:31:50,J1012+5307,2.672785151988384,0.9270733295670593,44.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:31:50,21/03/2017 14:35:19,J0843+0719,2.2844774567868544,0.12764077633515641,40.0,284,469.0,169.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.6837615173463703
21/03/2017 14:35:19,21/03/2017 15:23:18,B0940+16,2.5460063185519446,0.2884495958497406,339.0,3073,incomplete,2540.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 15:23:18,21/03/2017 15:39:28,J1802+03,4.724315396939985,0.06341362948912731,244.0,644,726.0,726.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:39:28,21/03/2017 15:42:17,J1736+05,4.611596216082018,0.10122909661567112,7.0,186,162.0,162.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:42:17,21/03/2017 15:54:04,J1342+2822B,3.587457889512921,0.4952863402087923,60.0,647,947.0,647.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:54:04,21/03/2017 16:02:40,B1639+36A,4.370659330608373,0.6362473675842965,26.0,842,490.0,490.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:02:40,21/03/2017 16:18:03,B1639+36B,4.370668057254633,0.6363518934139437,1.0,548,922.0,922.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:18:03,21/03/2017 16:26:24,J1629+43,4.3153265755559795,0.7676539826688393,9.0,405,492.0,492.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:26:24,21/03/2017 16:32:05,J1641+3627D,4.370668057254633,0.6363518934139437,5.0,336,336.0,336.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:32:05,21/03/2017 16:53:16,J1741+2758,4.633377197926385,0.48815404737238066,14.0,1116,1257.0,1257.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:53:16,21/03/2017 16:54:43,J1758+3030,4.705544380834785,0.5324417771417368,2.0,85,85.0,85.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:54:43,21/03/2017 17:07:04,J1746+2540,4.651802057063271,0.4481496464756274,5.0,640,736.0,736.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:07:04,21/03/2017 17:15:05,J1843+2024,4.901915738299797,0.356311875676729,10.0,364,471.0,471.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:15:05,21/03/2017 17:28:53,J1849+2423,4.928713545451534,0.4257923472159776,3.0,1096,825.0,825.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:28:53,21/03/2017 17:48:27,J1859+1526,4.9730531042274695,0.26941581072938026,6.0,598,1168.0,1168.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:48:27,21/03/2017 17:59:59,J1918+1541,5.053288144325266,0.27379949603397263,0.0,692,692.0,692.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:59:59,21/03/2017 18:07:14,J1924+17,5.078908123303498,0.29670597283903605,1.0,659,434.0,434.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5187135224163426
21/03/2017 18:07:14,21/03/2017 18:10:28,J1925+1721,5.083271446433485,0.3028146252210162,1.0,243,193.0,193.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:10:28,21/03/2017 18:16:48,J1929+1955,5.1020025599486605,0.3476497581177131,1.0,327,379.0,379.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:16:48,21/03/2017 18:19:05,J1931+1952,5.113513929935625,0.34679449830286774,0.0,257,137.0,137.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8732897581220864
21/03/2017 18:19:05,21/03/2017 18:22:29,J1938+2012,5.1399946471233005,0.35255650890285456,0.0,477,204.0,204.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.338041504811573
21/03/2017 18:22:29,21/03/2017 18:25:36,J1944+2236,5.16625244940447,0.3945540758053855,1.0,186,186.0,186.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:25:36,21/03/2017 18:45:34,J1946+2611,5.17823262937293,0.4572239041449545,2.0,1728,1196.0,1196.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4445087606697724
21/03/2017 18:45:34,21/03/2017 18:52:12,J1953+2732,5.206011726079986,0.4807810009100669,2.0,456,396.0,396.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1512392015085136
21/03/2017 18:52:12,21/03/2017 19:10:15,B1953+29,5.216198317715415,0.5086832708353853,1.0,942,1082.0,1082.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:10:15,21/03/2017 19:19:43,J2002+30,5.248932281268614,0.5337798629015991,2.0,427,566.0,566.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:19:43,21/03/2017 19:21:34,B2002+31,5.257243393722505,0.551863461688353,1.0,890,incomplete,110.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 21 [+]
21/03/2017 19:21:34,21/03/2017 19:39:23,J2007+3120,5.267186389027013,0.5471197052628004,0.0,938,1069.0,1069.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:39:23,21/03/2017 21:31:50,J2006+3102,5.262967637336735,0.5416483889460069,3.0,3754,6744.0,6744.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:31:50,21/03/2017 21:35:23,J2111+4606,5.547538481330759,0.8047485318515732,16.0,387,197.0,197.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9613674886014414
21/03/2017 21:35:23,21/03/2017 21:59:39,J1926+2016,5.0889484207138045,0.353725540132114,32.0,1244,1424.0,1424.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:59:39,21/03/2017 22:04:53,J1935+1726,5.127191784395295,0.3044070442379886,3.0,322,311.0,311.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0365292361064884
21/03/2017 22:04:53,21/03/2017 22:31:01,J1924+1628,5.078908123303498,0.2873975501617329,4.0,1410,1564.0,1564.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:31:01,21/03/2017 22:48:35,B1914+09,5.046353696679909,0.1720408859157937,10.0,326,1044.0,1044.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:48:35,21/03/2017 23:10:54,J2038+35,5.40179403492245,0.6108652381980153,345.0,1643,994.0,994.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.652172102035605
21/03/2017 23:10:54,21/03/2017 23:29:19,B1943+18,5.17316317511641,0.32414691200351686,17.0,768,1088.0,1088.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 23:29:19,21/03/2017 23:53:46,J1914+0659,5.035274892003641,0.12188215943093735,379.0,769,1088.0,1088.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:53:46,22/03/2017 00:13:12,J1953+1846A,5.208789708472744,0.3277437447036685,350.0,700,816.0,816.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 00:13:12,22/03/2017 00:21:26,J1900+0227,4.976995439397463,0.04291570705181613,30.0,322,464.0,464.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:21:26,22/03/2017 00:25:32,J1907+0249,5.007788137946295,0.049358880873761855,0.0,402,246.0,246.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6354470170166346
22/03/2017 00:25:32,22/03/2017 00:30:32,J1910+0225,5.01857492722209,0.04229320628527147,0.0,575,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 00:30:32,22/03/2017 00:32:47,J1919+0134,5.06026364356907,0.027617411344404718,1.0,240,134.0,134.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7907684580103564
22/03/2017 00:32:47,22/03/2017 00:36:26,J1906+0414,5.004571132524609,0.07402833414881194,4.0,477,215.0,215.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2151494589294316
22/03/2017 00:36:26,22/03/2017 00:41:01,J1901+0435,4.980893341393584,0.08010576452972863,1.0,382,274.0,274.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3922874643342844
22/03/2017 00:41:01,22/03/2017 00:43:18,J1904+0451,4.995960245227275,0.08491488838390511,0.0,211,137.0,137.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5362882493403283
22/03/2017 00:43:18,22/03/2017 00:46:10,J1905+0616,4.996503057169056,0.1094549303430566,1.0,196,171.0,171.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.148573783399465
22/03/2017 00:46:10,22/03/2017 00:54:02,J1907+0602,5.008712435229331,0.10538346504909872,0.0,545,472.0,472.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:54:02,22/03/2017 01:04:37,J1914+0631,5.03652862018299,0.11401023969076181,0.0,635,635.0,635.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:04:37,22/03/2017 01:06:06,J1902+02,4.982915014443811,0.03490658503988659,9.0,481,incomplete,80.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 32 [+]
22/03/2017 01:06:06,22/03/2017 01:13:19,J1910+0225,5.01857492722209,0.04229320628527147,1.0,575,732.0,432.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.3311637187642946
22/03/2017 01:13:19,22/03/2017 01:35:24,B0301+19,0.805259646674883,0.341170174788316,237.0,628,1088.0,1088.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:35:24,22/03/2017 01:54:09,J0229+20,0.6503533125243871,0.36593736650147773,9.0,1116,1116.0,1116.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:54:09,22/03/2017 01:55:03,J0137+1654,0.4249789462143593,0.2951647501467888,14.0,104,40.0,40.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.5766481414587736
22/03/2017 01:55:03,22/03/2017 02:11:00,J0106+4855,0.28980174120635516,0.8540080259207076,24.0,1238,933.0,933.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3265118069331516
22/03/2017 02:11:00,22/03/2017 02:16:48,B2310+42,6.078736049609773,0.7485185951453288,20.0,545,328.0,328.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6597750010065448
22/03/2017 02:16:48,22/03/2017 02:57:37,J2227+30,5.879577917655897,0.5340707511102649,11.0,5293,2438.0,2438.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1710608187372453
22/03/2017 02:57:37,22/03/2017 03:04:31,J0533+0402,1.4548642856722165,0.07039737056551017,265.0,170,149.0,149.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:04:31,22/03/2017 03:11:35,J0453+1559,1.2817562530918758,0.27906508796776525,16.0,455,408.0,408.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1146080609990336
22/03/2017 03:11:35,22/03/2017 03:15:19,J2215+5135,5.827413546061112,0.9004751871121236,84.0,825,incomplete,140.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 8 [+]
22/03/2017 03:15:19,22/03/2017 03:19:51,B2034+19,5.398488090430964,0.34409311647172536,35.0,167,237.0,237.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:19:51,22/03/2017 03:38:33,J1957+2831,5.224308376238903,0.49792226734484807,13.0,3073,incomplete,1109.0,0,600,3,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:38:33,22/03/2017 03:42:11,J1937+1505,5.136817420664149,0.2633459434418889,16.0,202,502.0,202.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:42:11,22/03/2017 03:58:22,J1935+12,5.127995508515839,0.21031217486531673,3.0,1709,968.0,968.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7656299304315495
22/03/2017 03:58:22,22/03/2017 03:58:39,J1913+0617,5.0309115688736545,0.10966485466697704,10.0,399,284.0,7.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.5987441422016722
22/03/2017 03:58:39,22/03/2017 03:58:42,J1903+0415,4.987278337573797,0.07417649320975901,3.0,570,incomplete,0.0,0,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:58:42,22/03/2017 03:58:44,J1857+0143,4.963498808291791,0.030189347922690807,2.0,512,incomplete,0.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:58:44,22/03/2017 03:58:44,J1856+0102,4.958807872316796,0.01808645918747235,0.0,481,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:58:44,22/03/2017 04:00:30,J1902+02,4.982915014443811,0.03490658503988659,1.0,481,incomplete,105.0,0,1800,2,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 04:00:30,22/03/2017 04:00:31,J1856+0102,4.958807872316796,0.01808645918747235,1.0,481,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 04:00:31,22/03/2017 04:00:31,J1857+0143,4.963498808291791,0.030189347922690807,0.0,512,incomplete,0.0,0,1800,2,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 04:00:31,22/03/2017 04:00:31,J1902+02,4.982915014443811,0.03490658503988659,0.0,481,incomplete,0.0,16860,1800,3,0,1,1,Aborted: High scintillation; observed until object set.Waited for more observables to rise above the horizon. 
22/03/2017 16:05:31,22/03/2017 23:40:17,J1856+0102,4.958807872316796,0.01808645918747235,89.0,481,557.0,557.0,26640,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:16:17,22/03/2017 16:27:13,B1848+04,4.935158297342012,0.07510733547748931,88.0,647,868.0,568.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.1391787105163298
22/03/2017 16:27:13,22/03/2017 16:41:18,J1901+0510,4.982758662031652,0.09034018133795094,0.0,844,845.0,845.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 16:41:18,22/03/2017 16:56:37,B1900+06,4.9865712610605835,0.10953594270917001,2.0,1358,917.0,917.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 16:56:37,22/03/2017 17:19:36,J1906+0649,5.001238789928187,0.11920647272489382,2.0,2072,1377.0,1377.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.5042097222880875
22/03/2017 17:19:36,22/03/2017 17:34:48,J1907+0731,5.008716071331938,0.13129675630440343,3.0,1045,909.0,909.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 17:34:48,22/03/2017 17:37:32,J1909+0749,5.014054597181476,0.13658171024217847,2.0,402,162.0,162.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.4768079965508525
22/03/2017 17:37:32,22/03/2017 17:40:48,J1904+0738,4.992189475922752,0.133477399760666,1.0,182,195.0,195.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 17:40:48,22/03/2017 18:00:38,J1904+0800,4.991896187886365,0.13988135215581,0.0,1116,1190.0,1190.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:00:38,22/03/2017 18:09:14,J1906+0722,5.002637234991347,0.12884311426430806,3.0,548,513.0,513.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:09:14,22/03/2017 18:10:50,J1906+0725,5.000368306963755,0.1294452528562461,1.0,123,95.0,95.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 18:10:50,22/03/2017 18:11:34,J1901+0621,4.978985114744737,0.11092052210105073,1.0,50,43.0,43.0,0,60,2,0,1,0,Completed: Shortened interval; scintillation of 1.1665513596163426
22/03/2017 18:11:34,22/03/2017 18:41:22,J1902+0723,4.983899671030144,0.12911073141628054,0.0,1961,1788.0,1788.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.096488524348654
22/03/2017 18:41:22,22/03/2017 18:45:42,B1906+09,5.013368101009025,0.16180171793349657,5.0,322,255.0,255.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 18:45:42,22/03/2017 19:11:21,J1911+10,5.022184922613683,0.17453292519943295,1.0,1293,1538.0,1538.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 19:11:21,22/03/2017 19:38:55,J1956+0838,5.222334917909262,0.1507615407872702,4.0,6023,incomplete,1650.0,0,600,4,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 74 [S]
22/03/2017 19:38:55,22/03/2017 20:44:20,B1910+10,5.029917458420539,0.18520658320274047,15.0,5293,incomplete,3910.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-6  (PRN 06)
22/03/2017 20:44:20,22/03/2017 21:46:22,J1956+0838,5.222334917909262,0.1507615407872702,4.0,6023,7238.0,3718.0,0,600,5,0,3,0,Completed incrementally checking scint every 600 seconds.
