Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 17:31:44,1490200304000
Duration,  1 day, 4 hours, 31 minutes, 44 seconds,102704000
Slew time, 0 day, 0 hour, 18 minutes, 0 second,1080000.0
Integration time, 0 day, 15 hours, 30 minutes, 44 seconds,5.5844E7
Waiting time, 0 day, 12 hours, 43 minutes, 0 second,4.578E7
Relative slew time, 0.010515656644337124
Relative integration time, 0.5437373422651504
Relative waiting time, 0.4457470010905125
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:04,J1046+0304,2.821850516285997,0.05355688253848934,38.0,768,566.0,566.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3571500860973584
21/03/2017 13:10:04,21/03/2017 13:13:38,B1133+16,3.0371090778789545,0.27665640609401493,15.0,192,199.0,199.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:13:38,21/03/2017 13:21:54,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,484.0,484.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:21:54,21/03/2017 13:32:53,J1342+2822B,3.587457889512921,0.4952863402087923,12.0,647,647.0,647.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:32:53,21/03/2017 13:39:13,B1541+09,4.117437145251993,0.16559460443815205,31.0,512,349.0,349.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4660663767369857
21/03/2017 13:39:13,21/03/2017 13:46:12,J0815+0939,2.160483158072796,0.16867007335377535,119.0,298,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:46:12,21/03/2017 13:54:26,J0625+10,1.6831518973920316,0.17918713653808452,22.0,402,472.0,472.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:54:26,21/03/2017 14:08:45,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,856.0,856.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.995349634836862
21/03/2017 14:08:45,21/03/2017 14:13:01,J0633+0632,1.7180010320107069,0.11419737777167009,1.0,263,255.0,255.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0316860001126402
21/03/2017 14:13:01,21/03/2017 14:22:33,J1549+2113,4.143770963894292,0.37043110451168204,226.0,346,346.0,346.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:22:33,21/03/2017 15:17:25,J1612+2008,4.242854105472584,0.351481822415939,2.0,2597,3290.0,3290.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:17:25,21/03/2017 15:23:38,J1640+2224,4.364540848022992,0.3909966186058234,5.0,395,368.0,368.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:23:38,21/03/2017 15:49:20,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,1540.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:20,21/03/2017 15:57:50,J1720+2150,4.537950593853073,0.38112560950327723,3.0,507,507.0,507.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:57:50,21/03/2017 16:16:28,J1649+2533,4.4058095345230175,0.4459655608422289,8.0,2597,incomplete,1110.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:28,21/03/2017 16:26:27,J1746+2540,4.651802057063271,0.4481496464756274,6.0,640,593.0,593.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
