Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:00:34,1490281234000
Duration,  2 days, 3 hours, 0 minute, 34 seconds,183634000
Slew time, 0 day, 1 hour, 14 minutes, 25 seconds,4465000.0
Integration time, 1 day, 10 hours, 7 minutes, 9 seconds,1.22829E8
Waiting time, 0 day, 15 hours, 39 minutes, 0 second,5.634E7
Relative slew time, 0.02431466939673481
Relative integration time, 0.668879401418038
Relative waiting time, 0.30680592918522714
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:38,J1046+0304,2.821850516285997,0.05355688253848934,38.0,768,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:05:38,21/03/2017 13:48:14,J1022+1001,2.718204916782272,0.17507964958762018,13.0,3754,2543.0,2543.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:48:14,21/03/2017 13:52:24,B1133+16,3.0371090778789545,0.27665640609401493,8.0,192,242.0,242.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:52:24,21/03/2017 13:56:29,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,233.0,233.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:56:29,21/03/2017 14:01:38,B1257+12,3.4036521463529263,0.22134882305275824,9.0,352,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:01:38,21/03/2017 14:04:09,J1313+0931,3.4617878492785863,0.1663686628095484,4.0,334,147.0,147.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.279277318984989
21/03/2017 14:04:09,21/03/2017 14:09:35,J1342+2822D,3.5873933777804443,0.4952662640742576,18.0,374,308.0,308.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:09:35,21/03/2017 14:21:26,J1342+2822A,3.5874515554221773,0.49524687152701324,1.0,844,incomplete,710.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 36 [-]
21/03/2017 14:21:26,21/03/2017 14:32:15,J1342+2822B,3.587457889512921,0.4952863402087923,2.0,647,647.0,647.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:32:15,21/03/2017 14:34:26,J1342+2822A,3.5874515554221773,0.49524687152701324,2.0,844,839.0,129.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:34:26,21/03/2017 14:39:12,J1549+2113,4.143770963894292,0.37043110451168204,26.0,346,260.0,260.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3328569460539523
21/03/2017 14:39:12,21/03/2017 15:14:54,J1612+2008,4.242854105472584,0.351481822415939,3.0,2597,2139.0,2139.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:14:54,21/03/2017 15:24:33,J1640+2224,4.364540848022992,0.3909966186058234,2.0,395,577.0,577.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:24:33,21/03/2017 15:49:15,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,1480.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:15,21/03/2017 15:54:08,J1720+2150,4.537950593853073,0.38112560950327723,3.0,507,290.0,290.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7465443476824294
21/03/2017 15:54:08,21/03/2017 16:14:27,J1649+2533,4.4058095345230175,0.4459655608422289,8.0,2597,2691.0,1211.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:14:27,21/03/2017 16:30:14,J1741+2758,4.633377197926385,0.48815404737238066,6.0,1116,941.0,941.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:30:14,21/03/2017 16:44:39,J1746+2540,4.651802057063271,0.4481496464756274,3.0,640,862.0,862.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:44:39,21/03/2017 16:45:28,J1758+3030,4.705544380834785,0.5324417771417368,4.0,85,45.0,45.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.877883119218625
21/03/2017 16:45:28,21/03/2017 18:02:20,J1746+2245,4.651363543088708,0.39720251598255063,7.0,3754,4605.0,4605.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:02:20,21/03/2017 18:18:45,J1849+2423,4.928713545451534,0.4257923472159776,3.0,1096,982.0,982.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:18:45,21/03/2017 18:21:31,J1843+2024,4.901915738299797,0.356311875676729,6.0,364,incomplete,160.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 82 [+]
21/03/2017 18:21:31,21/03/2017 18:28:11,J1842+1332,4.897827304527,0.23620849764178256,5.0,450,395.0,395.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1404346492648598
21/03/2017 18:28:11,21/03/2017 18:33:21,J1901+1306,4.982098345797981,0.22887229701923306,2.0,407,308.0,308.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3203380301324206
21/03/2017 18:33:21,21/03/2017 18:38:24,B1852+10,4.950141367193965,0.18811740454412218,3.0,581,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:38:24,21/03/2017 18:38:46,J1853+0853,4.945250081965251,0.15512583354461823,2.0,47,20.0,20.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.3560905490137363
21/03/2017 18:38:46,21/03/2017 18:45:31,J1845+0623,4.909363203662161,0.11168943659929047,3.0,402,402.0,402.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:45:31,21/03/2017 18:49:23,J1848+0647,4.925901652765852,0.11854518686386041,0.0,450,232.0,232.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9427590687515663
21/03/2017 18:49:23,21/03/2017 18:53:10,B1855+09,4.963744815940518,0.16967128429110123,2.0,243,225.0,225.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:53:10,21/03/2017 18:59:40,J1911+1347,5.026199521686915,0.24073137780235834,4.0,261,386.0,386.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:59:40,21/03/2017 19:13:30,J1922+1733,5.0740515992157205,0.3064190694959612,3.0,512,827.0,827.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:13:30,21/03/2017 19:16:38,J1917+1737,5.050108445316341,0.3076220376828983,3.0,231,485.0,185.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.2500021881079937
