Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:01:00,1490281260000
Duration,  2 days, 3 hours, 1 minute, 0 second,183660000
Slew time, 0 day, 0 hour, 50 minutes, 32 seconds,3032000.0
Integration time, 1 day, 7 hours, 8 minutes, 28 seconds,1.12108E8
Waiting time, 0 day, 19 hours, 2 minutes, 0 second,6.852E7
Relative slew time, 0.016508766198410105
Relative integration time, 0.6104105412174671
Relative waiting time, 0.37308069258412285
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:26,J1046+0304,2.821850516285997,0.05355688253848934,38.0,768,768.0,768.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:13:26,21/03/2017 13:17:22,B1133+16,3.0371090778789545,0.27665640609401493,15.0,192,221.0,221.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:17:22,21/03/2017 13:27:39,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,605.0,605.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:27:39,21/03/2017 13:33:39,B1257+12,3.4036521463529263,0.22134882305275824,8.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:33:39,21/03/2017 13:37:33,J1313+0931,3.4617878492785863,0.1663686628095484,3.0,334,231.0,231.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.445712089945821
21/03/2017 13:37:33,21/03/2017 13:43:36,J1342+2822D,3.5873933777804443,0.4952662640742576,18.0,374,345.0,345.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:43:36,21/03/2017 13:57:30,J1342+2822A,3.5874515554221773,0.49524687152701324,1.0,844,833.0,833.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:57:30,21/03/2017 14:02:04,J1342+2822B,3.587457889512921,0.4952863402087923,2.0,647,272.0,272.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3786312607998434
21/03/2017 14:02:04,21/03/2017 14:05:56,J1549+2113,4.143770963894292,0.37043110451168204,24.0,346,208.0,208.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.666614242230161
21/03/2017 14:05:56,21/03/2017 14:43:37,J1142+0119,3.0630528372500483,0.022980168484592004,53.0,1106,2208.0,2208.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:43:37,21/03/2017 14:56:20,J0943+41,2.543817384781735,0.7182029871956666,42.0,450,721.0,721.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:56:20,21/03/2017 15:05:51,J1627+1419,4.3079641222725975,0.24997332767584454,272.0,311,299.0,299.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:05:51,21/03/2017 15:35:50,J1612+2008,4.242854105472584,0.351481822415939,8.0,2597,1791.0,1791.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:35:50,21/03/2017 15:49:24,J1649+2533,4.4058095345230175,0.4459655608422289,4.0,2597,incomplete,810.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:24,21/03/2017 15:50:59,J1736+05,4.611596216082018,0.10122909661567112,20.0,186,545.0,75.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:50:59,21/03/2017 16:16:31,J1649+2533,4.4058095345230175,0.4459655608422289,22.0,2597,incomplete,1510.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:31,21/03/2017 16:20:00,J1720+2150,4.537950593853073,0.38112560950327723,3.0,507,206.0,206.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4632481648378644
21/03/2017 16:20:00,21/03/2017 16:20:36,J1739+0612,4.622065719044209,0.10834810070908354,14.0,366,572.0,22.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:20:36,21/03/2017 16:33:03,J1806+1023,4.742358756191207,0.1813120749023876,7.0,647,740.0,740.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:33:03,21/03/2017 16:37:43,J1822+1120,4.809443831206008,0.19807644718147424,1.0,346,279.0,279.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.238165292362422
21/03/2017 16:37:43,21/03/2017 16:43:31,J1828+1359,4.838440876842745,0.24422663718818075,1.0,486,347.0,347.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:43:31,21/03/2017 16:48:39,J1839+15,4.882558582454136,0.2617993877991494,1.0,327,307.0,307.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:48:39,21/03/2017 16:52:50,B1842+14,4.908367246068921,0.2601225142389278,0.0,231,251.0,251.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:52:50,21/03/2017 17:02:02,J1848+12,4.924010152189003,0.22398392067260564,1.0,598,551.0,551.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:02:02,21/03/2017 17:05:28,J1901+1306,4.982098345797981,0.22887229701923306,0.0,407,206.0,206.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.975638713486399
21/03/2017 17:05:28,21/03/2017 17:22:48,J1907+1149,5.007479069224588,0.20641960581968824,1.0,1039,1039.0,1039.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:22:48,21/03/2017 17:37:26,J1919+1314,5.059490317266332,0.23114607318363678,1.0,612,877.0,877.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:37:26,21/03/2017 17:41:57,J1935+12,5.127995508515839,0.21031217486531673,1.0,1709,incomplete,270.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIF-2  (PRN 01)
21/03/2017 17:41:57,21/03/2017 17:55:24,J1939+10,5.145157912827116,0.18762289458939044,0.0,658,807.0,807.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:55:24,21/03/2017 17:57:37,J1947+10,5.181882549171165,0.1873320063807247,1.0,204,132.0,132.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5431107270960394
21/03/2017 17:57:37,21/03/2017 17:59:50,J1941+1026,5.155436011348008,0.18222013092710576,1.0,193,132.0,132.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4642681090028393
21/03/2017 17:59:50,21/03/2017 18:04:51,J1944+0907,5.166853006291774,0.15922764478131782,1.0,570,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:04:51,21/03/2017 20:42:05,J1956+0838,5.222334917909262,0.1507615407872702,1.0,6023,9433.0,9433.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 20:42:05,21/03/2017 21:19:10,J2243+1518,5.947919775176239,0.2671571122704591,5.0,1703,2220.0,2220.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:19:10,21/03/2017 21:50:15,J2317+1439,6.096234120297008,0.2558422663572685,1.0,2597,1864.0,1864.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3932247674184268
21/03/2017 21:50:15,21/03/2017 23:18:03,J2307+2225,6.054931729380185,0.3914876292723677,12.0,4689,5256.0,5256.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:18:03,21/03/2017 23:26:16,J0006+1834,0.02652900463031381,0.3243355045254685,7.0,524,486.0,486.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0787131531051575
21/03/2017 23:26:16,21/03/2017 23:30:27,J2234+2114,5.912058495035511,0.3706827228121779,20.0,542,231.0,231.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3437263013401366
21/03/2017 23:30:27,21/03/2017 23:40:49,J2215+1538,5.82792002606563,0.27302224274041786,7.0,389,615.0,615.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:40:49,21/03/2017 23:50:02,J2205+1444,5.7826573844649305,0.25729692314268515,5.0,548,548.0,548.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:50:02,22/03/2017 00:09:25,J2151+2315,5.722418290719025,0.4058511072398636,9.0,1245,1154.0,1154.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:09:25,22/03/2017 01:00:16,J2204+27,5.779948706187889,0.47182067445580045,3.0,2414,3048.0,3048.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:00:16,22/03/2017 01:46:15,J2227+30,5.879577917655897,0.5340707511102649,7.0,5293,2752.0,2752.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9234162072099066
22/03/2017 01:46:15,22/03/2017 01:49:12,J2225+35,5.867796945204935,0.619591884457987,11.0,234,166.0,166.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 01:49:12,22/03/2017 01:52:08,J1900+30,4.975497365122835,0.5390158506575821,42.0,234,134.0,134.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.742943551674724
22/03/2017 01:52:08,22/03/2017 02:00:28,B1918+26,5.06424546681339,0.4685161844053578,5.0,644,495.0,495.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3022592288107
22/03/2017 02:00:28,22/03/2017 02:35:19,J1923+2515,5.076180559836729,0.4408925499925424,2.0,2414,2089.0,2089.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1558168078271376
22/03/2017 02:35:19,22/03/2017 02:40:31,J1952+2630,5.203760258617119,0.46264835352319517,1.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:40:31,22/03/2017 02:48:08,J1953+2732,5.206011726079986,0.4807810009100669,1.0,456,456.0,456.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:48:08,22/03/2017 03:14:12,J1954+2836,5.211200444502061,0.49919325489124483,1.0,1358,1563.0,1563.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 03:14:12,22/03/2017 03:24:36,J2010+2845,5.279989542643227,0.5019235800991494,1.0,581,623.0,623.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 03:24:36,22/03/2017 03:38:32,J1957+2831,5.224308376238903,0.49792226734484807,3.0,3073,incomplete,833.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:38:32,22/03/2017 03:38:34,J2002+30,5.248932281268614,0.5337798629015991,2.0,427,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
