Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:14:23,1490282063000
Duration,  2 days, 3 hours, 14 minutes, 23 seconds,184463000
Slew time, 0 day, 0 hour, 37 minutes, 23 seconds,2243000.0
Integration time, 0 day, 19 hours, 5 minutes, 0 second,6.87E7
Waiting time, 1 day, 7 hours, 32 minutes, 0 second,1.1352E8
Relative slew time, 0.012159620086412993
Relative integration time, 0.37243241192000565
Relative waiting time, 0.6154079679935813
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:24:42,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,1440.0,1440.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:24:42,21/03/2017 13:30:34,B0626+24,1.6977492494792945,0.42345226793254537,49.0,609,303.0,303.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.010166222048779
21/03/2017 13:30:34,21/03/2017 13:36:02,B0540+23,1.4973223286090653,0.40988572669405726,8.0,844,incomplete,320.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 13:36:02,21/03/2017 14:21:11,J0557+1550,1.5599934063134906,0.2763731100675954,6.0,4182,incomplete,2703.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:11,21/03/2017 14:43:11,J0627+0649,1.6925060331513266,0.11923570698986471,9.0,1709,1311.0,1311.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3037823165427171
21/03/2017 14:43:11,21/03/2017 14:49:39,J0621+0336,1.6632421266719581,0.06305254025943692,6.0,427,382.0,382.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:49:39,21/03/2017 14:54:10,J0815+0939,2.160483158072796,0.16867007335377535,22.0,298,249.0,249.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.195386997109494
21/03/2017 14:54:10,21/03/2017 15:11:39,J0751+1807,2.055791112963893,0.3163826354449581,10.0,1039,1039.0,1039.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:11:39,21/03/2017 15:14:44,J0848+16,2.3076888813973357,0.29176087329171874,7.0,547,178.0,178.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.07007607553217
21/03/2017 15:14:44,21/03/2017 15:47:12,B0823+26,2.2115782027959106,0.4646638064138933,11.0,1410,1937.0,1937.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:47:12,21/03/2017 16:53:23,B0940+16,2.5460063185519446,0.2884495958497406,14.0,3073,3957.0,3957.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:53:23,21/03/2017 16:58:22,J1010+15,2.6616271092913526,0.27663468644110123,8.0,261,291.0,291.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:58:22,21/03/2017 17:07:49,J1941+0121,5.154251005507956,0.023753446305961715,217.0,842,incomplete,350.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 38 [-]
21/03/2017 17:07:49,21/03/2017 17:10:49,B1923+04,5.089414278179983,0.07898390567164117,5.0,202,175.0,175.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:10:49,21/03/2017 17:54:51,J1926+0737,5.090088411603566,0.13297081794527466,2.0,2800,incomplete,2640.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 77 [+]
21/03/2017 17:54:51,21/03/2017 17:58:44,J2007+0809,5.267512765597136,0.142404322552304,0.0,284,233.0,233.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:58:44,21/03/2017 19:36:20,J1956+0838,5.222334917909262,0.1507615407872702,2.0,6023,5854.0,5854.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 19:36:20,21/03/2017 19:40:00,J2143+0654,5.68565583890785,0.12051270622590723,2.0,354,218.0,218.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6223099376084218
21/03/2017 19:40:00,21/03/2017 19:49:01,B2127+11A,5.628559320435904,0.21235437444198796,6.0,456,535.0,535.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:49:01,21/03/2017 20:12:42,B2127+11C,5.628774409576931,0.2125336347853919,1.0,1436,1420.0,1420.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:12:42,21/03/2017 20:16:43,J2205+1444,5.7826573844649305,0.25729692314268515,3.0,548,238.0,238.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2990688298073247
