Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:00:10,1490281210000
Duration,  2 days, 3 hours, 0 minute, 10 seconds,183610000
Slew time, 0 day, 0 hour, 51 minutes, 49 seconds,3109000.0
Integration time, 0 day, 21 hours, 34 minutes, 21 seconds,7.7661E7
Waiting time, 1 day, 4 hours, 34 minutes, 0 second,1.0284E8
Relative slew time, 0.01693262894177877
Relative integration time, 0.4229671586514896
Relative waiting time, 0.5601002124067317
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:53,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,190.0,190.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4919079364517747
21/03/2017 13:03:53,21/03/2017 13:34:23,J0711+0931,1.8832233528712716,0.16621837056840444,25.0,659,1805.0,1805.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:34:23,21/03/2017 13:43:10,J0625+10,1.6831518973920316,0.17918713653808452,14.0,402,513.0,513.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:43:10,21/03/2017 13:48:13,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:48:13,21/03/2017 13:54:15,J0621+0336,1.6632421266719581,0.06305254025943692,4.0,427,358.0,358.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:15,21/03/2017 13:59:38,J0815+0939,2.160483158072796,0.16867007335377535,25.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:59:38,21/03/2017 14:10:18,J1518+0204E,4.008003183100644,0.03635132980959301,238.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:10:18,21/03/2017 14:18:57,B1541+09,4.117437145251993,0.16559460443815205,7.0,512,512.0,512.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:18:57,21/03/2017 14:24:52,J1549+2113,4.143770963894292,0.37043110451168204,9.0,346,346.0,346.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:24:52,21/03/2017 15:30:46,J1612+2008,4.242854105472584,0.351481822415939,3.0,2597,3951.0,3951.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:30:46,21/03/2017 15:38:59,J1640+2224,4.364540848022992,0.3909966186058234,7.0,395,486.0,486.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:38:59,21/03/2017 15:42:15,J1627+1419,4.3079641222725975,0.24997332767584454,9.0,311,187.0,187.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:42:15,21/03/2017 15:48:01,J1645+1012,4.38764247506106,0.17810134781787157,5.0,532,341.0,341.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.561601659682106
21/03/2017 15:48:01,21/03/2017 15:50:10,J1736+05,4.611596216082018,0.10122909661567112,10.0,186,119.0,119.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:50:10,21/03/2017 15:58:09,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,479.0,479.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:58:09,21/03/2017 16:00:11,J1822+0705,4.809723083886327,0.12371960328234248,7.0,352,115.0,115.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.0557527995457154
