Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 18:02:29,1490288549000
Duration,  2 days, 5 hours, 2 minutes, 29 seconds,190949000
Slew time, 0 day, 0 hour, 41 minutes, 12 seconds,2472000.0
Integration time, 0 day, 18 hours, 22 minutes, 17 seconds,6.6137E7
Waiting time, 1 day, 9 hours, 59 minutes, 0 second,1.2234E8
Relative slew time, 0.012945865126290266
Relative integration time, 0.3463594991332764
Relative waiting time, 0.6406946357404333
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:10,J1046+0304,2.821850516285997,0.05355688253848934,38.0,768,452.0,452.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.699819760264999
21/03/2017 13:08:10,21/03/2017 13:12:01,B1133+16,3.0371090778789545,0.27665640609401493,15.0,192,216.0,216.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:01,21/03/2017 13:24:53,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,760.0,760.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:24:53,21/03/2017 13:41:33,J1342+2822A,3.5874515554221773,0.49524687152701324,12.0,844,988.0,988.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:33,21/03/2017 13:48:03,J1342+2822B,3.587457889512921,0.4952863402087923,2.0,647,388.0,388.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6666034907908058
21/03/2017 13:48:03,21/03/2017 13:56:16,B1541+09,4.117437145251993,0.16559460443815205,32.0,512,461.0,461.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.110218078226708
21/03/2017 13:56:16,21/03/2017 13:57:29,J1518+0204E,4.008003183100644,0.03635132980959301,11.0,402,352.0,62.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.8019867775311562
21/03/2017 13:57:29,21/03/2017 14:06:36,J0848+16,2.3076888813973357,0.29176087329171874,0.0,547,547.0,547.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:06:36,21/03/2017 14:12:37,J1549+2113,4.143770963894292,0.37043110451168204,15.0,346,346.0,346.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:12:37,21/03/2017 14:22:08,J0740+41,2.011491962923465,0.7167485461523381,98.0,473,473.0,473.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:22:08,21/03/2017 15:13:06,J1612+2008,4.242854105472584,0.351481822415939,0.0,2597,3058.0,3058.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:13:06,21/03/2017 15:27:19,J1738+0333,4.620320378054876,0.06201187154863972,240.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:27:19,21/03/2017 15:32:19,J1645+1012,4.38764247506106,0.17810134781787157,0.0,532,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:32:19,21/03/2017 15:33:23,J1736+05,4.611596216082018,0.10122909661567112,4.0,186,incomplete,60.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 56 [+]
21/03/2017 15:33:23,21/03/2017 15:38:42,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,319.0,319.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:38:42,21/03/2017 15:41:01,J1736+05,4.611596216082018,0.10122909661567112,1.0,186,198.0,138.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:41:01,21/03/2017 15:49:43,J1720+2150,4.537950593853073,0.38112560950327723,15.0,507,507.0,507.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:49:43,21/03/2017 15:58:10,J1640+2224,4.364540848022992,0.3909966186058234,8.0,395,499.0,499.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:58:10,21/03/2017 16:16:32,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,1100.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:32,21/03/2017 16:26:49,J1746+2540,4.651802057063271,0.4481496464756274,6.0,640,611.0,611.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:26:49,21/03/2017 16:46:15,J1741+2758,4.633377197926385,0.48815404737238066,3.0,1116,1163.0,1163.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:46:15,21/03/2017 16:47:01,J1758+3030,4.705544380834785,0.5324417771417368,2.0,85,44.0,44.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.945136094488541
21/03/2017 16:47:01,21/03/2017 18:00:09,J1746+2245,4.651363543088708,0.39720251598255063,7.0,3754,4381.0,4381.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:00:09,21/03/2017 21:15:50,J1849+2423,4.928713545451534,0.4257923472159776,2.0,1096,11739.0,11739.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:15:50,21/03/2017 21:18:17,J2156+2618,5.743857042585898,0.45916931600314276,2.0,193,145.0,145.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3325558524462675
21/03/2017 21:18:17,21/03/2017 21:33:28,J2204+27,5.779948706187889,0.47182067445580045,1.0,2414,incomplete,910.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 25 [+]
21/03/2017 21:33:28,21/03/2017 22:21:34,J2227+30,5.879577917655897,0.5340707511102649,3.0,5293,2883.0,2883.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8362305130141277
21/03/2017 22:21:34,21/03/2017 23:56:07,J2307+2225,6.054931729380185,0.3914876292723677,6.0,4689,5667.0,5667.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:56:07,22/03/2017 00:04:57,J0006+1834,0.02652900463031381,0.3243355045254685,8.0,524,522.0,522.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0038091993992628
22/03/2017 00:04:57,22/03/2017 00:35:02,J2317+1439,6.096234120297008,0.2558422663572685,11.0,2597,1794.0,1794.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.447967787961932
22/03/2017 00:35:02,22/03/2017 01:18:30,J2243+1518,5.947919775176239,0.2671571122704591,17.0,1703,2591.0,2591.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 01:18:30,22/03/2017 01:22:57,J2234+2114,5.912058495035511,0.3706827228121779,16.0,542,391.0,251.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:22:57,22/03/2017 01:50:45,J2204+27,5.779948706187889,0.47182067445580045,9.0,2414,2569.0,1659.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:50:45,22/03/2017 01:53:41,J1900+30,4.975497365122835,0.5390158506575821,42.0,234,134.0,134.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7456749210925302
22/03/2017 01:53:41,22/03/2017 02:00:33,B1918+26,5.06424546681339,0.4685161844053578,5.0,644,407.0,407.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5831460732495202
