Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 18:33:00,1490203980000
Duration,  1 day, 5 hours, 33 minutes, 0 second,106380000
Slew time, 0 day, 0 hour, 19 minutes, 56 seconds,1196000.0
Integration time, 0 day, 16 hours, 52 minutes, 4 seconds,6.0724E7
Waiting time, 0 day, 12 hours, 21 minutes, 0 second,4.446E7
Relative slew time, 0.011242714796014288
Relative integration time, 0.5708215830043242
Relative waiting time, 0.4179357021996616
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:31:20,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,1838.0,1838.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:31:20,21/03/2017 13:40:20,B0626+24,1.6977492494792945,0.42345226793254537,50.0,609,490.0,490.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2420669836612925
21/03/2017 13:40:20,21/03/2017 14:21:10,J0557+1550,1.5599934063134906,0.2763731100675954,12.0,4182,incomplete,2438.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:10,21/03/2017 14:36:58,J0627+0649,1.6925060331513266,0.11923570698986471,8.0,1709,940.0,940.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.819035872175693
21/03/2017 14:36:58,21/03/2017 15:08:20,J0635+0533,1.724821633283396,0.09691910299060733,2.0,1039,1880.0,1880.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:08:20,21/03/2017 15:13:09,J0621+0336,1.6632421266719581,0.06305254025943692,8.0,427,281.0,281.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:13:09,21/03/2017 15:18:28,J0815+0939,2.160483158072796,0.16867007335377535,21.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:18:28,21/03/2017 15:27:45,J0848+16,2.3076888813973357,0.29176087329171874,10.0,547,547.0,547.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:27:45,21/03/2017 15:48:40,J1627+1419,4.3079641222725975,0.24997332767584454,245.0,311,1010.0,1010.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:48:40,21/03/2017 15:55:20,J1645+1012,4.38764247506106,0.17810134781787157,3.0,532,697.0,397.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.3408991439570956
21/03/2017 15:55:20,21/03/2017 15:59:33,J1736+05,4.611596216082018,0.10122909661567112,10.0,186,243.0,243.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:59:33,21/03/2017 16:03:49,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,256.0,256.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:03:49,21/03/2017 16:14:04,J1738+0333,4.620320378054876,0.06201187154863972,2.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:14:04,21/03/2017 16:44:41,J1802+03,4.724315396939985,0.06341362948912731,2.0,644,1835.0,1835.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:44:41,21/03/2017 16:58:45,J1842+0257,4.897897844917602,0.05177228337832513,1.0,1039,843.0,843.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:58:45,21/03/2017 17:17:30,J1854+0317,4.95012173223988,0.05745526934829111,0.0,1323,1125.0,1125.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:17:30,21/03/2017 17:22:31,J1906+0414,5.004571132524609,0.07402833414881194,1.0,477,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:22:31,21/03/2017 17:25:11,J1901+0435,4.980893341393584,0.08010576452972863,1.0,382,159.0,159.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.396365581195076
21/03/2017 17:25:11,21/03/2017 17:30:30,J1901+0355,4.980792257741073,0.0686442842946181,0.0,231,319.0,319.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:30:30,21/03/2017 17:37:22,J1903+0415,4.987278337573797,0.07417649320975901,0.0,570,412.0,412.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:37:22,21/03/2017 17:49:23,J1901+0510,4.982758662031652,0.09034018133795094,1.0,844,720.0,720.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:49:23,21/03/2017 17:50:57,J1904+0451,4.995960245227275,0.08491488838390511,1.0,211,93.0,93.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.280643463586627
21/03/2017 17:50:57,21/03/2017 17:57:07,J1907+0534,5.006428962791304,0.09741361294533905,0.0,450,370.0,370.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2169698591309541
21/03/2017 17:57:07,21/03/2017 18:00:48,J1913+0617,5.0309115688736545,0.10966485466697704,0.0,399,221.0,221.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8087855231349914
21/03/2017 18:00:48,21/03/2017 18:06:40,J1914+0631,5.03652862018299,0.11401023969076181,0.0,635,352.0,352.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8056517204317002
21/03/2017 18:06:40,21/03/2017 18:13:31,J1914+0659,5.035274892003641,0.12188215943093735,1.0,769,incomplete,410.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 81 [+]
21/03/2017 18:13:31,21/03/2017 18:18:32,J1917+0834,5.051917551808085,0.14978139296817103,1.0,549,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:18:32,21/03/2017 18:42:03,J1913+0904,5.032443168014332,0.15846329092537628,1.0,1410,1410.0,1410.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:42:03,21/03/2017 18:43:48,J1933+0758,5.119589348339765,0.1390785491812607,1.0,104,104.0,104.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:43:48,21/03/2017 20:07:06,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,4997.0,4997.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:07:06,21/03/2017 20:35:01,J2047+1053,5.441063943092322,0.1899500002587162,3.0,1096,1672.0,1672.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:35:01,21/03/2017 20:39:31,B2127+11E,5.628554992601135,0.21239023174665653,3.0,543,267.0,267.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.031395359409325
21/03/2017 20:39:31,21/03/2017 20:40:56,B2127+11G,5.6285377574747715,0.21233530235658682,0.0,154,85.0,85.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.816817079313703
21/03/2017 20:40:56,21/03/2017 20:45:56,B2127+11H,5.628554774434979,0.21234562888799444,0.0,384,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:45:56,21/03/2017 20:51:55,J2143+0654,5.68565583890785,0.12051270622590723,5.0,354,354.0,354.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:51:55,21/03/2017 21:14:29,J2151+2315,5.722418290719025,0.4058511072398636,12.0,1245,1342.0,1342.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:14:29,21/03/2017 21:33:33,J2204+27,5.779948706187889,0.47182067445580045,4.0,2414,incomplete,1140.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 25 [+]
21/03/2017 21:33:33,21/03/2017 23:01:49,J2227+30,5.879577917655897,0.5340707511102649,3.0,5293,5293.0,5293.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:01:49,21/03/2017 23:03:53,J2156+2618,5.743857042585898,0.45916931600314276,19.0,193,105.0,105.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.832603437020043
