Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:05:00,1490195100000
Duration,  1 day, 3 hours, 5 minutes, 0 second,97500000
Slew time, 0 day, 0 hour, 20 minutes, 36 seconds,1236000.0
Integration time, 0 day, 2 hours, 23 minutes, 24 seconds,8604000.0
Waiting time, 1 day, 0 hour, 21 minutes, 0 second,8.766E7
Relative slew time, 0.012676923076923077
Relative integration time, 0.08824615384615385
Relative waiting time, 0.8990769230769231
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:45:48,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,2706.0,2706.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:45:48,21/03/2017 13:53:41,J1518+0204E,4.008003183100644,0.03635132980959301,281.0,402,192.0,192.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.092402264627172
21/03/2017 13:53:41,21/03/2017 14:02:11,J1342+2822B,3.587457889512921,0.4952863402087923,37.0,647,473.0,473.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.368800809349767
21/03/2017 14:02:11,21/03/2017 14:06:41,J0848+16,2.3076888813973357,0.29176087329171874,75.0,547,195.0,195.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.8045430694195552
21/03/2017 14:06:41,21/03/2017 14:24:12,J0751+1807,2.055791112963893,0.3163826354449581,12.0,1039,1039.0,1039.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:24:12,21/03/2017 14:24:34,J0557+1550,1.5599934063134906,0.2763731100675954,22.0,4182,incomplete,0.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:24:34,21/03/2017 14:30:53,J0621+0336,1.6632421266719581,0.06305254025943692,11.0,427,368.0,368.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:30:53,21/03/2017 14:31:37,J0623+0340,1.6745531692218207,0.0640283732367742,0.0,82,44.0,44.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.8504173428144162
21/03/2017 14:31:37,21/03/2017 14:41:33,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,1483.0,593.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 1.33968325032819
21/03/2017 14:41:33,21/03/2017 14:55:35,J0635+0533,1.724821633283396,0.09691910299060733,1.0,1039,1311.0,841.0,3000,60,3,0,3,0,Completed incrementally checking scint every 60 seconds.Waited for more observables to rise above the horizon. 
21/03/2017 16:08:35,21/03/2017 16:40:32,J1810+1744,4.758733289789313,0.3096862773743265,89.0,664,448.0,448.0,1380,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4821678921797192
21/03/2017 17:36:32,21/03/2017 18:57:10,J1710+49,4.496331763398225,0.8610290976505359,89.0,231,379.0,9.0,4740,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:38:10,21/03/2017 19:48:06,J1800+50,4.716752303514675,0.8808094958398051,89.0,477,507.0,507.0,3600,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:49:06,21/03/2017 18:59:10,B1753+52,4.687875831040429,0.9079217313284935,89.0,455,455.0,455.0,60,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:39:10,22/03/2017 12:21:39,J1946+2535,5.178471884924559,0.446763079347654,89.0,910,incomplete,0.0,31260,5400,2,0,2,1,Waited for more observables to rise above the horizon. Aborted: Normal scintillation; observed until object set.
22/03/2017 03:40:39,22/03/2017 03:42:08,J1929+1955,5.1020025599486605,0.3476497581177131,89.0,327,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:42:08,22/03/2017 03:42:10,J1935+2154,5.126590518467983,0.3821698981723873,2.0,192,incomplete,0.0,0,5400,3,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:42:10,22/03/2017 03:42:18,J1957+2831,5.224308376238903,0.49792226734484807,8.0,3073,incomplete,0.0,0,600,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:49:18,22/03/2017 03:56:38,J1913+1145,5.034102612522718,0.205236660437781,20.0,1410,incomplete,0.0,420,1800,3,0,2,1,Waited for more observables to rise above the horizon. Aborted: Normal scintillation; observed until object set.
22/03/2017 03:49:38,22/03/2017 04:00:29,J1910+1027,5.017821599483698,0.18238690683340741,89.0,427,562.0,562.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 04:00:29,22/03/2017 04:00:38,J1900+0227,4.976995439397463,0.04291570705181613,9.0,322,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 04:00:38,22/03/2017 04:00:39,B1853+01,4.957509565519468,0.021338104546674008,1.0,1106,incomplete,0.0,0,20,3,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 04:00:39,22/03/2017 04:00:39,J1857+0143,4.963498808291791,0.030189347922690807,0.0,512,incomplete,0.0,0,1800,2,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 04:01:39,22/03/2017 04:02:39,J1900+0227,4.976995439397463,0.04291570705181613,0.0,322,incomplete,0.0,11100,20,3,0,3,1,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; observed until object set. Waited for more observables to rise above the horizon. 
22/03/2017 07:21:39,22/03/2017 07:42:00,J0636+5129,1.728228403264108,0.8985534947632836,89.0,231,172.0,172.0,32100,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3463422287541158Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
