Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:37:05,1490197025000
Duration,  1 day, 3 hours, 37 minutes, 5 seconds,99425000
Slew time, 0 day, 0 hour, 31 minutes, 35 seconds,1895000.0
Integration time, 0 day, 3 hours, 47 minutes, 30 seconds,1.365E7
Waiting time, 0 day, 23 hours, 18 minutes, 0 second,8.388E7
Relative slew time, 0.01905959265778225
Relative integration time, 0.13728941413125473
Relative waiting time, 0.843650993210963
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:58,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,195.0,195.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4530150396842543
21/03/2017 13:03:58,21/03/2017 13:07:42,J0633+0632,1.7180010320107069,0.11419737777167009,35.0,263,189.0,189.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3939601466268041
21/03/2017 13:07:42,21/03/2017 13:09:08,J0623+0340,1.6745531692218207,0.0640283732367742,4.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:08,21/03/2017 13:19:22,J1518+0204E,4.008003183100644,0.03635132980959301,212.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:19:22,21/03/2017 14:02:26,B0940+16,2.5460063185519446,0.2884495958497406,90.0,3073,2494.0,2494.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:02:26,21/03/2017 14:21:06,J0557+1550,1.5599934063134906,0.2763731100675954,59.0,4182,incomplete,1061.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:06,21/03/2017 14:25:44,B0626+24,1.6977492494792945,0.42345226793254537,8.0,609,incomplete,270.0,0,1800,2,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 32 [+]
21/03/2017 14:25:44,21/03/2017 14:28:52,J0533+0402,1.4548642856722165,0.07039737056551017,24.0,170,incomplete,164.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:28:52,21/03/2017 14:29:15,B0626+24,1.6977492494792945,0.42345226793254537,23.0,609,incomplete,0.0,0,1800,3,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 14:29:15,21/03/2017 14:39:24,J1012+5307,2.672785151988384,0.9270733295670593,309.0,118,incomplete,300.0,2520,1800,2,0,4,0,Aborted: Scintillation too low within first five minutes.Waited for more observables to rise above the horizon. 
21/03/2017 15:46:24,21/03/2017 16:20:37,B1639+36A,4.370659330608373,0.6362473675842965,89.0,842,464.0,464.0,1500,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:55:37,21/03/2017 16:07:29,B1639+36B,4.370668057254633,0.6363518934139437,88.0,548,624.0,624.0,300,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.Waited for more observables to rise above the horizon. 
21/03/2017 16:13:29,21/03/2017 16:29:37,J1544+4937,4.11930335455354,0.8662420785732818,89.0,1709,2339.0,819.0,60,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:28:37,21/03/2017 16:34:41,J1641+3627D,4.370668057254633,0.6363518934139437,84.0,336,280.0,280.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1986634626300312
21/03/2017 16:34:41,21/03/2017 16:36:12,J1839+15,4.882558582454136,0.2617993877991494,32.0,327,261.0,59.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:08:12,21/03/2017 18:02:09,J1849+2423,4.928713545451534,0.4257923472159776,10.0,1096,1307.0,1307.0,1920,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:36:09,21/03/2017 17:45:43,J1710+49,4.496331763398225,0.8610290976505359,89.0,231,125.0,125.0,360,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:22:43,21/03/2017 19:22:16,J1913+3732,5.03293956874242,0.6551398779979815,89.0,1410,904.0,904.0,2580,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5595155474111129
