Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 23:06:00,1490220360000
Duration,  1 day, 10 hours, 6 minutes, 0 second,122760000
Slew time, 0 day, 0 hour, 33 minutes, 13 seconds,1993000.0
Integration time, 0 day, 9 hours, 42 minutes, 47 seconds,3.4967E7
Waiting time, 0 day, 23 hours, 50 minutes, 0 second,8.58E7
Relative slew time, 0.016234929944607363
Relative integration time, 0.2848403388725969
Relative waiting time, 0.6989247311827957
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:32:20,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,1898.0,1898.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:20,21/03/2017 13:38:54,B0626+24,1.6977492494792945,0.42345226793254537,50.0,609,344.0,344.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7698798562476226
21/03/2017 13:38:54,21/03/2017 13:46:56,J0625+10,1.6831518973920316,0.17918713653808452,12.0,402,470.0,470.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:46:56,21/03/2017 13:54:47,J0621+0336,1.6632421266719581,0.06305254025943692,7.0,427,464.0,464.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:47,21/03/2017 13:55:51,J1342+2822A,3.5874515554221773,0.49524687152701324,0.0,844,1014.0,64.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:55:51,21/03/2017 13:59:57,J0557+1550,1.5599934063134906,0.2763731100675954,13.0,4182,4792.0,233.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:59:57,21/03/2017 14:05:31,J1549+2113,4.143770963894292,0.37043110451168204,228.0,346,106.0,106.0,48780,600,1,0,1,0,Completed: Shortened interval; scintillation of 3.256515865399432Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:45:31,22/03/2017 03:58:46,J1924+17,5.078908123303498,0.29670597283903605,89.0,659,534.0,286.0,420,5400,3,0,1,0,Completed: Shortened interval; scintillation of 1.437636371598307
22/03/2017 03:51:46,22/03/2017 05:45:39,B1910+10,5.029917458420539,0.18520658320274047,89.0,5293,6744.0,6744.0,5700,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 07:37:39,22/03/2017 08:04:05,J0645+5158,1.7714424245127065,0.907061772699451,89.0,427,477.0,477.0,1020,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 16:05:05,23/03/2017 00:44:24,B1853+01,4.957509565519468,0.021338104546674008,89.0,1106,1190.0,1190.0,29880,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:26:24,22/03/2017 18:12:05,J1855+0205,4.9554294239393,0.036537498263139075,85.0,5293,6256.0,6256.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:12:05,22/03/2017 18:16:19,J1907+0534,5.006428962791304,0.09741361294533905,17.0,450,237.0,237.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 1.9025120621461131
22/03/2017 18:16:19,22/03/2017 18:24:01,J1903+0601,4.98879633769072,0.10517547997990273,1.0,472,471.0,461.0,0,5400,4,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 18:24:01,22/03/2017 18:36:04,J1907+0602,5.008712435229331,0.10538346504909872,0.0,545,723.0,723.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 18:36:04,22/03/2017 19:10:39,J1906+0649,5.001238789928187,0.11920647272489382,3.0,2072,2372.0,2072.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 19:10:39,22/03/2017 19:23:39,J1907+0731,5.008716071331938,0.13129675630440343,6.0,1045,1272.0,774.0,0,60,6,0,3,0,Completed incrementally checking scint every 60 seconds.
