Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 18:27:29,1490290049000
Duration,  2 days, 5 hours, 27 minutes, 29 seconds,192449000
Slew time, 0 day, 1 hour, 40 minutes, 42 seconds,6042000.0
Integration time, 1 day, 6 hours, 21 minutes, 47 seconds,1.09307E8
Waiting time, 0 day, 21 hours, 25 minutes, 0 second,7.71E7
Relative slew time, 0.03139533071099356
Relative integration time, 0.5679790489947987
Relative waiting time, 0.40062562029420784
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:48,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,185.0,185.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.531623682194521
21/03/2017 13:03:48,21/03/2017 13:15:31,J0711+0931,1.8832233528712716,0.16621837056840444,25.0,659,678.0,678.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:15:31,21/03/2017 13:23:31,J0625+10,1.6831518973920316,0.17918713653808452,10.0,402,470.0,470.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:23:31,21/03/2017 13:45:25,J0627+0649,1.6925060331513266,0.11923570698986471,3.0,1709,1311.0,1311.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3034948845501988
21/03/2017 13:45:25,21/03/2017 13:54:05,J0621+0336,1.6632421266719581,0.06305254025943692,7.0,427,513.0,513.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:05,21/03/2017 14:09:46,J0635+0533,1.724821633283396,0.09691910299060733,2.0,1039,939.0,939.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:09:46,21/03/2017 14:24:19,J1342+2822D,3.5873933777804443,0.4952662640742576,253.0,374,620.0,620.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:24:19,21/03/2017 14:55:33,B0823+26,2.2115782027959106,0.4646638064138933,75.0,1410,1799.0,1799.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:55:33,21/03/2017 15:32:57,B0943+10,2.5574600417681577,0.1721815788460517,359.0,1368,1885.0,1885.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:32:57,21/03/2017 15:42:20,B1541+09,4.117437145251993,0.16559460443815205,263.0,512,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:42:20,21/03/2017 15:46:03,J1549+2113,4.143770963894292,0.37043110451168204,9.0,346,214.0,214.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6155091572079692
21/03/2017 15:46:03,21/03/2017 15:52:32,J1046+0304,2.821850516285997,0.05355688253848934,89.0,768,incomplete,300.0,0,1800,3,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:52:32,21/03/2017 16:13:47,B1810+02,4.768616725733095,0.04274660403984512,235.0,613,1040.0,1040.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:13:47,21/03/2017 16:16:03,J1807+04,4.744750293598751,0.07126761112310179,5.0,165,131.0,131.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:16:03,21/03/2017 16:24:47,J1802+03,4.724315396939985,0.06341362948912731,1.0,644,523.0,523.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:24:47,21/03/2017 16:26:13,J1828+0625,4.836600427146518,0.11199438440470835,5.0,135,81.0,81.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.669935857731822
21/03/2017 16:26:13,21/03/2017 17:06:02,J1842+0257,4.897897844917602,0.05177228337832513,4.0,1039,2385.0,2385.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:06:02,21/03/2017 17:32:30,J1851+0118,4.938713096696012,0.02297532034778091,7.0,1703,1581.0,1581.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:32:30,21/03/2017 17:37:40,J1907+1149,5.007479069224588,0.20641960581968824,10.0,1039,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:37:40,21/03/2017 19:03:13,J1746+2245,4.651363543088708,0.39720251598255063,22.0,3754,5111.0,5111.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:03:13,21/03/2017 19:24:38,J1741+2758,4.633377197926385,0.48815404737238066,21.0,1116,1264.0,1264.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:24:38,21/03/2017 19:26:05,J1758+3030,4.705544380834785,0.5324417771417368,2.0,85,85.0,85.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:26:05,21/03/2017 19:29:26,J1710+49,4.496331763398225,0.8610290976505359,15.0,231,186.0,186.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:29:26,21/03/2017 19:31:51,J1935+2154,5.126590518467983,0.3821698981723873,38.0,192,107.0,107.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.792873893892939
21/03/2017 19:31:51,21/03/2017 19:34:43,B1930+22,5.115468407809651,0.39003987865783835,1.0,178,171.0,171.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0409895859942582
21/03/2017 19:34:43,21/03/2017 19:39:57,J1821+1715,4.805000731984796,0.301297449287352,14.0,194,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:39:57,21/03/2017 20:02:19,J1931+30,5.111487602674059,0.5337798629015991,19.0,829,1323.0,1323.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:02:19,21/03/2017 20:06:04,J1941+2525,5.154597235198319,0.44363021334032426,5.0,612,220.0,220.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.781975022551654
21/03/2017 20:06:04,21/03/2017 20:20:56,J1913+3732,5.03293956874242,0.6551398779979815,12.0,1410,880.0,880.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.601638805998909
21/03/2017 20:20:56,21/03/2017 20:23:16,B1920+21,5.074074361218049,0.3696315013074281,14.0,240,126.0,126.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9118400489116054
21/03/2017 20:23:16,21/03/2017 20:28:25,B1915+22,5.051580630540398,0.39060856510577985,2.0,364,307.0,307.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:28:25,21/03/2017 20:51:35,J1954+2836,5.211200444502061,0.49919325489124483,8.0,1358,1382.0,1382.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:51:35,21/03/2017 20:55:15,J1848+0351,4.9249002701075195,0.0673682546859378,31.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:55:15,21/03/2017 21:01:22,J1929+2121,5.101033007732561,0.372737751043665,19.0,517,348.0,348.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4865442181703044
21/03/2017 21:01:22,21/03/2017 21:04:53,J1946+3417,5.176728869688264,0.5984282013293657,12.0,127,199.0,199.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:04:53,21/03/2017 21:06:29,B2000+32,5.245036124601745,0.5635392295705138,3.0,192,93.0,93.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0677901037305855
21/03/2017 21:06:29,21/03/2017 21:12:35,B1925+22,5.092585686874961,0.39414043277266275,12.0,354,354.0,354.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:12:35,21/03/2017 21:15:12,J1952+2630,5.203760258617119,0.46264835352319517,5.0,311,152.0,152.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.039397615624299
21/03/2017 21:15:12,21/03/2017 21:29:43,J2018+3431,5.318396094609779,0.602431952696483,9.0,1368,862.0,862.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:29:43,21/03/2017 21:34:46,J2011+3331,5.284342539241804,0.5850956457177915,3.0,305,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 21:34:46,21/03/2017 21:38:04,J2005+3552,5.2612586691108225,0.6261092347731424,3.0,402,195.0,195.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.065196138906676
21/03/2017 21:38:04,21/03/2017 21:50:53,J2021+3651,5.32801460411752,0.6431771004166037,1.0,575,768.0,768.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:50:53,21/03/2017 21:51:41,B2027+37,5.364260147581895,0.6586105136969403,1.0,47,47.0,47.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:51:41,21/03/2017 21:58:25,J2021+4026,5.329798476057163,0.7059134451932209,2.0,402,402.0,402.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:58:25,21/03/2017 22:08:18,J1910+1027,5.017821599483698,0.18238690683340741,33.0,427,560.0,560.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:08:18,21/03/2017 22:14:13,J1934+19,5.122541354603357,0.33161255787892263,8.0,532,347.0,347.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.532423477410953
21/03/2017 22:14:13,22/03/2017 00:03:38,B1910+10,5.029917458420539,0.18520658320274047,8.0,5293,6557.0,6557.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:03:38,22/03/2017 00:08:07,J2028+3332,5.359605063578616,0.5852882137119282,23.0,165,246.0,246.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:08:07,22/03/2017 00:15:34,B2035+36,5.39942620490391,0.6345440231970861,358.0,179,89.0,89.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.005594531329032
22/03/2017 00:15:34,22/03/2017 01:23:32,J1949+2306,5.188523526975002,0.40344012880370594,376.0,2597,3702.0,3702.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:23:32,22/03/2017 01:47:32,J1913+1145,5.034102612522718,0.205236660437781,30.0,1410,1410.0,1410.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:47:32,22/03/2017 01:49:34,J1935+1726,5.127191784395295,0.3044070442379886,4.0,322,118.0,118.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.726847602887292
22/03/2017 01:49:34,22/03/2017 01:57:18,J1907+0534,5.006428962791304,0.09741361294533905,14.0,450,450.0,450.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:57:18,22/03/2017 02:00:05,J1902+0248,4.986570024785696,0.04914071471726257,4.0,273,163.0,163.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6712599849688445
22/03/2017 02:00:05,22/03/2017 02:05:10,J1917+0834,5.051917551808085,0.14978139296817103,7.0,549,298.0,298.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8403237518436244
22/03/2017 02:05:10,22/03/2017 02:06:18,J1911+0101B,5.0230992206145455,0.017988720749360667,8.0,5293,incomplete,60.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite BEIDOU I2-S
22/03/2017 02:06:18,22/03/2017 02:09:56,J1947+10,5.181882549171165,0.1873320063807247,14.0,204,204.0,204.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:09:56,22/03/2017 02:56:26,J2204+27,5.779948706187889,0.47182067445580045,319.0,2414,2471.0,2471.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:56:26,22/03/2017 04:33:04,J2307+2225,6.054931729380185,0.3914876292723677,356.0,4689,5442.0,5442.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 04:33:04,22/03/2017 04:37:35,B2127+11H,5.628554774434979,0.21234562888799444,50.0,384,221.0,221.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7353635734739468
22/03/2017 04:37:35,22/03/2017 06:00:51,J2227+30,5.879577917655897,0.5340707511102649,337.0,5293,incomplete,4659.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 06:00:51,22/03/2017 06:10:27,J2205+1444,5.7826573844649305,0.25729692314268515,28.0,548,548.0,548.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 06:10:27,22/03/2017 06:52:32,B0540+23,1.4973223286090653,0.40988572669405726,252.0,844,2273.0,2273.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 06:52:32,22/03/2017 06:54:09,J0538+2817,1.476625428940753,0.493681703887056,12.0,127,85.0,85.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4972513121725979
22/03/2017 06:54:09,22/03/2017 07:00:49,J0102+4839,0.2748893571891069,0.8377580409572782,53.0,255,347.0,347.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 07:00:49,22/03/2017 07:24:09,J2317+1439,6.096234120297008,0.2558422663572685,40.0,2597,incomplete,1360.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 920 [-]
22/03/2017 07:24:09,22/03/2017 07:33:14,J0605+37,1.5926129424448257,0.6457718232379019,271.0,284,274.0,274.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 07:33:14,22/03/2017 07:40:06,B0458+46,1.3180552705356499,0.8185889443385201,15.0,562,397.0,397.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4170749515272127
22/03/2017 07:40:06,22/03/2017 07:50:14,B0301+19,0.805259646674883,0.341170174788316,31.0,628,577.0,577.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 07:50:14,22/03/2017 08:33:16,B0940+16,2.5460063185519446,0.2884495958497406,266.0,3073,2316.0,2316.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 08:33:16,22/03/2017 08:36:46,J1010+15,2.6616271092913526,0.27663468644110123,3.0,261,207.0,207.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 08:36:46,22/03/2017 08:39:03,J0636+5129,1.728228403264108,0.8985534947632836,55.0,231,82.0,82.0,26280,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.8335534494344006Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 16:05:03,22/03/2017 16:22:47,J1856+0102,4.958807872316796,0.01808645918747235,89.0,481,495.0,495.0,480,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:14:47,22/03/2017 16:35:45,B1853+01,4.957509565519468,0.021338104546674008,87.0,1106,1334.0,1171.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:35:45,22/03/2017 16:43:18,J1902+02,4.982915014443811,0.03490658503988659,2.0,481,451.0,451.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.06746301885126
22/03/2017 16:43:18,22/03/2017 16:49:57,J1900+0227,4.976995439397463,0.04291570705181613,1.0,322,398.0,398.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
