Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 18:21:40,1490289700000
Duration,  2 days, 5 hours, 21 minutes, 40 seconds,192100000
Slew time, 0 day, 0 hour, 54 minutes, 43 seconds,3283000.0
Integration time, 0 day, 19 hours, 19 minutes, 57 seconds,6.9597E7
Waiting time, 1 day, 9 hours, 7 minutes, 0 second,1.1922E8
Relative slew time, 0.01709005726184279
Relative integration time, 0.3622956793336804
Relative waiting time, 0.6206142634044768
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:14,J0848+16,2.3076888813973357,0.29176087329171874,51.0,547,383.0,383.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4286640481792616
21/03/2017 13:07:14,21/03/2017 13:12:42,B0626+24,1.6977492494792945,0.42345226793254537,29.0,609,299.0,299.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.037596957801765
21/03/2017 13:12:42,21/03/2017 13:19:57,B0540+23,1.4973223286090653,0.40988572669405726,8.0,844,427.0,427.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:19:57,21/03/2017 13:22:49,J0533+0402,1.4548642856722165,0.07039737056551017,18.0,170,154.0,154.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:49,21/03/2017 13:29:55,B1541+09,4.117437145251993,0.16559460443815205,207.0,512,219.0,219.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.339567736247354
21/03/2017 13:29:55,21/03/2017 13:46:27,J1238+21,3.30908390247795,0.3816991440880299,42.0,751,950.0,950.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:46:27,21/03/2017 15:36:02,B0940+16,2.5460063185519446,0.2884495958497406,52.0,3073,6523.0,6523.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:36:02,21/03/2017 16:28:08,J1022+1001,2.718204916782272,0.17507964958762018,383.0,3754,2743.0,2743.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:28:08,21/03/2017 16:38:02,J1645+1012,4.38764247506106,0.17810134781787157,262.0,532,332.0,332.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6044595285921903
21/03/2017 16:38:02,21/03/2017 16:40:37,J1736+05,4.611596216082018,0.10122909661567112,10.0,186,145.0,145.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:40:37,21/03/2017 16:46:41,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,364.0,364.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:46:41,21/03/2017 16:56:56,J1738+0333,4.620320378054876,0.06201187154863972,2.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:56:56,21/03/2017 17:00:10,J1807+04,4.744750293598751,0.07126761112310179,3.0,165,191.0,191.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:00:10,21/03/2017 17:09:54,B1810+02,4.768616725733095,0.04274660403984512,1.0,613,583.0,583.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:09:54,21/03/2017 17:15:49,J1822+0705,4.809723083886327,0.12371960328234248,3.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:15:49,21/03/2017 17:21:24,J1845+0623,4.909363203662161,0.11168943659929047,3.0,402,332.0,332.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.210394824582898
21/03/2017 17:21:24,21/03/2017 17:25:14,J1848+0647,4.925901652765852,0.11854518686386041,0.0,450,230.0,230.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9567466778479092
21/03/2017 17:25:14,21/03/2017 17:32:40,B1848+04,4.935158297342012,0.07510733547748931,1.0,647,445.0,445.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4525027034882372
21/03/2017 17:32:40,21/03/2017 17:37:56,J1901+0355,4.980792257741073,0.0686442842946181,0.0,231,316.0,316.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:37:56,21/03/2017 17:54:47,J1903+0415,4.987278337573797,0.07417649320975901,0.0,570,1011.0,1011.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:54:47,21/03/2017 17:59:55,B1923+04,5.089414278179983,0.07898390567164117,1.0,202,307.0,307.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:59:55,21/03/2017 18:01:41,J1933+0758,5.119589348339765,0.1390785491812607,2.0,104,104.0,104.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:01:41,21/03/2017 18:50:54,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,2952.0,2952.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
