Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 03:10:00,1490235000000
Duration,  1 day, 14 hours, 10 minutes, 0 second,137400000
Slew time, 0 day, 1 hour, 8 minutes, 58 seconds,4138000.0
Integration time, 1 day, 1 hour, 34 minutes, 2 seconds,9.2042E7
Waiting time, 0 day, 11 hours, 27 minutes, 0 second,4.122E7
Relative slew time, 0.030116448326055312
Relative integration time, 0.6698835516739446
Relative waiting time, 0.3
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:09:12,J0740+41,2.011491962923465,0.7167485461523381,79.0,473,473.0,473.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:12,21/03/2017 13:16:53,J0625+10,1.6831518973920316,0.17918713653808452,35.0,402,426.0,426.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:16:53,21/03/2017 13:41:27,J1142+0119,3.0630528372500483,0.022980168484592004,262.0,1106,1212.0,1212.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:27,21/03/2017 13:44:48,J1046+0304,2.821850516285997,0.05355688253848934,31.0,768,incomplete,170.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GPS BIIF-8  (PRN 03)
21/03/2017 13:44:48,21/03/2017 14:06:34,B0823+26,2.2115782027959106,0.4646638064138933,37.0,1410,1269.0,1269.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:06:34,21/03/2017 15:10:11,B0940+16,2.5460063185519446,0.2884495958497406,351.0,3073,3466.0,3466.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:10:11,21/03/2017 15:15:48,J0815+0939,2.160483158072796,0.16867007335377535,39.0,298,598.0,298.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:15:48,21/03/2017 15:16:08,J0627+0649,1.6925060331513266,0.11923570698986471,20.0,1709,incomplete,0.0,0,1800,2,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:16:08,21/03/2017 15:24:13,J1738+0333,4.620320378054876,0.06201187154863972,195.0,613,incomplete,290.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 50 [+]
21/03/2017 15:24:13,21/03/2017 15:30:49,J1736+05,4.611596216082018,0.10122909661567112,3.0,186,393.0,393.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:30:49,21/03/2017 15:42:39,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,710.0,710.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:42:39,21/03/2017 15:45:34,J1738+0333,4.620320378054876,0.06201187154863972,4.0,613,461.0,171.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.3309243685870022
21/03/2017 15:45:34,21/03/2017 15:56:18,J1806+1023,4.742358756191207,0.1813120749023876,8.0,647,636.0,636.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:56:18,21/03/2017 16:00:36,J1720+2150,4.537950593853073,0.38112560950327723,17.0,507,241.0,241.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.107642789161105
