Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:04:11,1490195051000
Duration,  1 day, 3 hours, 4 minutes, 11 seconds,97451000
Slew time, 0 day, 0 hour, 41 minutes, 46 seconds,2506000.0
Integration time, 0 day, 10 hours, 23 minutes, 25 seconds,3.7405E7
Waiting time, 0 day, 15 hours, 59 minutes, 0 second,5.754E7
Relative slew time, 0.02571548778360407
Relative integration time, 0.3838339267939785
Relative waiting time, 0.5904505854224175
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:27,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,284.0,284.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:27,21/03/2017 13:06:39,J0623+0340,1.6745531692218207,0.0640283732367742,40.0,82,32.0,32.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.5505638558479014
21/03/2017 13:06:39,21/03/2017 13:13:27,B1257+12,3.4036521463529263,0.22134882305275824,243.0,352,165.0,165.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.131887288733909
21/03/2017 13:13:27,21/03/2017 13:23:58,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,619.0,619.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:23:58,21/03/2017 13:27:08,B1133+16,3.0371090778789545,0.27665640609401493,14.0,192,176.0,176.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:27:08,21/03/2017 13:31:38,J1010+15,2.6616271092913526,0.27663468644110123,27.0,261,243.0,243.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:31:38,21/03/2017 13:38:27,B0626+24,1.6977492494792945,0.42345226793254537,49.0,609,360.0,360.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6926159620087373
21/03/2017 13:38:27,21/03/2017 13:43:44,B0540+23,1.4973223286090653,0.40988572669405726,8.0,844,incomplete,309.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 13:43:44,21/03/2017 14:21:09,J0557+1550,1.5599934063134906,0.2763731100675954,6.0,4182,incomplete,2239.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:09,21/03/2017 14:24:42,J0533+0402,1.4548642856722165,0.07039737056551017,18.0,170,195.0,195.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:24:42,21/03/2017 14:24:54,J0557+1550,1.5599934063134906,0.2763731100675954,12.0,4182,incomplete,0.0,0,600,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:59:54,21/03/2017 17:47:23,J1842+0257,4.897897844917602,0.05177228337832513,202.0,1039,547.0,547.0,5700,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:12:23,21/03/2017 16:18:48,J1822+1120,4.809443831206008,0.19807644718147424,87.0,346,298.0,298.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.160827331410619
21/03/2017 16:18:48,21/03/2017 16:20:17,J1848+0351,4.9249002701075195,0.0673682546859378,8.0,189,81.0,81.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.343347159637323
21/03/2017 16:20:17,21/03/2017 16:26:48,B1848+04,4.935158297342012,0.07510733547748931,0.0,647,391.0,391.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6558906933443946
21/03/2017 16:26:48,21/03/2017 16:33:03,J1853+0545,4.947892874063031,0.10062434002985507,1.0,422,374.0,374.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1294540947406488
21/03/2017 16:33:03,21/03/2017 16:33:29,J1901+0621,4.978985114744737,0.11092052210105073,0.0,50,26.0,26.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.9236037124215322
21/03/2017 16:33:29,21/03/2017 16:42:01,J1857+0809,4.961775441099551,0.14226518102582555,2.0,792,incomplete,510.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 44 [-]
21/03/2017 16:42:01,21/03/2017 16:42:11,J1904+0738,4.992189475922752,0.133477399760666,0.0,182,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 44 [-]
21/03/2017 16:42:11,21/03/2017 16:48:57,J1857+0809,4.961775441099551,0.14226518102582555,1.0,792,915.0,405.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:48:57,21/03/2017 16:51:39,J1904+0738,4.992189475922752,0.133477399760666,0.0,182,172.0,162.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:51:39,21/03/2017 16:52:08,J1853+0853,4.945250081965251,0.15512583354461823,2.0,47,27.0,27.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7387111964670314
21/03/2017 16:52:08,21/03/2017 16:59:26,B1852+10,4.950141367193965,0.18811740454412218,1.0,581,437.0,437.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3303654022914693
21/03/2017 16:59:26,21/03/2017 17:03:40,B1855+09,4.963744815940518,0.16967128429110123,1.0,243,253.0,253.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:03:40,21/03/2017 17:13:08,J1859+1526,4.9730531042274695,0.26941581072938026,4.0,598,564.0,564.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:13:08,21/03/2017 17:25:11,J1843+2024,4.901915738299797,0.356311875676729,7.0,364,716.0,716.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:25:11,21/03/2017 17:49:02,J1849+2423,4.928713545451534,0.4257923472159776,3.0,1096,1428.0,1428.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:49:02,21/03/2017 18:16:29,B1919+20,5.0695703936391725,0.35003935627053384,4.0,1643,1643.0,1643.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:16:29,21/03/2017 18:22:17,J1926+2016,5.0889484207138045,0.353725540132114,4.0,1244,1339.0,344.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:22:17,21/03/2017 18:26:12,J1917+1737,5.050108445316341,0.3076220376828983,4.0,231,231.0,231.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:26:12,21/03/2017 18:31:57,J1941+2525,5.154597235198319,0.44363021334032426,8.0,612,337.0,337.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8169533824003132
21/03/2017 18:31:57,21/03/2017 18:39:13,B1952+29,5.211447990367635,0.5129197361631309,3.0,768,433.0,433.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:39:13,21/03/2017 18:56:21,J1931+30,5.111487602674059,0.5337798629015991,5.0,829,1023.0,1023.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:56:21,21/03/2017 18:59:06,J1946+3417,5.176728869688264,0.5984282013293657,3.0,127,162.0,162.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:59:06,21/03/2017 19:00:24,B2000+32,5.245036124601745,0.5635392295705138,3.0,192,75.0,75.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.5504146742232434
21/03/2017 19:00:24,21/03/2017 19:04:28,J1900+30,4.975497365122835,0.5390158506575821,10.0,234,234.0,234.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:04:28,21/03/2017 19:12:34,J1913+3732,5.03293956874242,0.6551398779979815,6.0,1410,480.0,480.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.937303195848306
21/03/2017 19:12:34,21/03/2017 19:13:31,J2005+3552,5.2612586691108225,0.6261092347731424,7.0,402,incomplete,50.0,0,600,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 68 [+]
21/03/2017 19:13:31,21/03/2017 19:16:58,J2011+3331,5.284342539241804,0.5850956457177915,2.0,305,205.0,205.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.48972244004964
21/03/2017 19:16:58,21/03/2017 19:22:52,J2005+3552,5.2612586691108225,0.6261092347731424,2.0,402,402.0,352.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:22:52,21/03/2017 19:28:46,J1941+43,5.1574479396432436,0.7571820071568733,9.0,477,345.0,345.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:28:46,21/03/2017 19:34:15,B2000+40,5.247916354199848,0.7129374742865041,3.0,326,326.0,326.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:34:15,21/03/2017 19:47:44,B2011+38,5.293464866187613,0.6765250579530913,2.0,881,807.0,807.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
