Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 01:57:32,1490230652000
Duration,  1 day, 12 hours, 57 minutes, 32 seconds,133052000
Slew time, 0 day, 0 hour, 54 minutes, 40 seconds,3280000.0
Integration time, 1 day, 0 hour, 57 minutes, 52 seconds,8.9872E7
Waiting time, 0 day, 11 hours, 5 minutes, 0 second,3.99E7
Relative slew time, 0.024652015753239335
Relative integration time, 0.6754652316387578
Relative waiting time, 0.2998827526080029
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:36:02,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,2120.0,2120.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:36:02,21/03/2017 13:48:07,J0625+10,1.6831518973920316,0.17918713653808452,62.0,402,663.0,663.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:48:07,21/03/2017 13:49:36,J0623+0340,1.6745531692218207,0.0640283732367742,7.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:49:36,21/03/2017 14:17:55,J0635+0533,1.724821633283396,0.09691910299060733,3.0,1039,1696.0,1696.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:17:55,21/03/2017 14:30:08,B1541+09,4.117437145251993,0.16559460443815205,221.0,512,512.0,512.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:30:08,21/03/2017 15:45:53,J1612+2008,4.242854105472584,0.351481822415939,9.0,2597,4536.0,4536.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:45:53,21/03/2017 15:50:11,J1720+2150,4.537950593853073,0.38112560950327723,2.0,507,256.0,256.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9771525933272824
21/03/2017 15:50:11,21/03/2017 16:16:28,J1649+2533,4.4058095345230175,0.4459655608422289,7.0,2597,incomplete,1570.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:28,21/03/2017 16:33:04,J1741+2758,4.633377197926385,0.48815404737238066,5.0,1116,991.0,991.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:33:04,21/03/2017 16:46:04,J1746+2540,4.651802057063271,0.4481496464756274,3.0,640,777.0,777.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:46:04,21/03/2017 16:46:57,J1758+3030,4.705544380834785,0.5324417771417368,3.0,85,50.0,50.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7042863502347387
21/03/2017 16:46:57,21/03/2017 18:02:55,J1746+2245,4.651363543088708,0.39720251598255063,7.0,3754,4551.0,4551.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:02:55,21/03/2017 18:09:04,B1915+22,5.051580630540398,0.39060856510577985,2.0,364,367.0,367.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:09:04,21/03/2017 18:12:33,B1920+21,5.074074361218049,0.3696315013074281,0.0,240,209.0,209.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1462639182433452
21/03/2017 18:12:33,21/03/2017 18:56:01,J1926+2016,5.0889484207138045,0.353725540132114,0.0,1244,2608.0,2608.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:56:01,21/03/2017 19:01:17,J2007+20,5.2665310178928895,0.3551745027808461,0.0,311,316.0,316.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:01:17,21/03/2017 19:08:54,J2017+2043,5.31226867993834,0.36172869893576587,1.0,456,456.0,456.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:08:54,21/03/2017 19:16:19,B2025+21,5.355011211543263,0.37992147776350554,1.0,352,444.0,444.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:16:19,21/03/2017 19:18:23,B2034+19,5.398488090430964,0.34409311647172536,1.0,167,123.0,123.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:18:23,21/03/2017 19:32:49,J2033+1734,5.381978526526395,0.30688045697999955,2.0,864,864.0,864.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:32:49,21/03/2017 19:45:13,J2043+1711,5.42512924919179,0.3000459848970053,1.0,871,743.0,743.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:45:13,21/03/2017 20:06:49,J2047+1053,5.441063943092322,0.1899500002587162,5.0,1096,1291.0,1291.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:06:49,21/03/2017 20:17:13,B2127+11A,5.628559320435904,0.21235437444198796,4.0,456,620.0,620.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:17:13,21/03/2017 20:22:40,B2127+11E,5.628554992601135,0.21239023174665653,2.0,543,325.0,325.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6683276925404311
21/03/2017 20:22:40,21/03/2017 20:26:55,B2127+11H,5.628554774434979,0.21234562888799444,1.0,384,254.0,254.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.510765946493966
21/03/2017 20:26:55,21/03/2017 20:33:12,J2139+2242,5.669912969054862,0.3963933619487788,7.0,545,incomplete,370.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2464 (736)
21/03/2017 20:33:12,21/03/2017 20:38:53,J2151+2315,5.722418290719025,0.4058511072398636,1.0,1245,incomplete,340.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 69 [-]
21/03/2017 20:38:53,21/03/2017 20:41:22,J2156+2618,5.743857042585898,0.45916931600314276,2.0,193,147.0,147.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.311031632233034
21/03/2017 20:41:22,21/03/2017 21:21:58,J2204+27,5.779948706187889,0.47182067445580045,1.0,2414,2435.0,2435.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:21:58,21/03/2017 22:50:16,J2227+30,5.879577917655897,0.5340707511102649,5.0,5293,5293.0,5293.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:50:16,21/03/2017 22:59:10,J0006+1834,0.02652900463031381,0.3243355045254685,10.0,524,524.0,524.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:59:10,21/03/2017 23:22:58,J2317+1439,6.096234120297008,0.2558422663572685,12.0,2597,1416.0,1416.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8339181978494394
21/03/2017 23:22:58,22/03/2017 01:14:26,J2307+2225,6.054931729380185,0.3914876292723677,11.0,4689,6677.0,6677.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:14:26,22/03/2017 01:16:36,B0045+33,0.21191060557193486,0.5969413892765495,9.0,133,121.0,121.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1021545383510722
22/03/2017 01:16:36,22/03/2017 01:47:01,B0011+47,0.06237734024575567,0.8338475338054486,12.0,1709,1813.0,1813.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:47:01,22/03/2017 01:52:02,J0102+4839,0.2748893571891069,0.8377580409572782,2.0,255,299.0,299.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 01:52:02,22/03/2017 02:05:10,J0106+4855,0.28980174120635516,0.8540080259207076,0.0,1238,788.0,788.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.570118773379035
22/03/2017 02:05:10,22/03/2017 02:09:55,B0052+51,0.24328275343242856,0.8951840760405984,4.0,354,281.0,281.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2589745071581933
22/03/2017 02:09:55,22/03/2017 02:16:25,B2310+42,6.078736049609773,0.7485185951453288,15.0,545,375.0,375.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4550323413591102
22/03/2017 02:16:25,22/03/2017 02:22:39,J2213+53,5.816309732271103,0.9250245035569946,10.0,364,364.0,364.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
