Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 18:52:58,1490205178000
Duration,  1 day, 5 hours, 52 minutes, 58 seconds,107578000
Slew time, 0 day, 0 hour, 28 minutes, 17 seconds,1697000.0
Integration time, 0 day, 4 hours, 27 minutes, 41 seconds,1.6061E7
Waiting time, 1 day, 0 hour, 57 minutes, 0 second,8.982E7
Relative slew time, 0.01577460075480117
Relative integration time, 0.14929632452731972
Relative waiting time, 0.8349290747178791
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:28:14,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,1652.0,1652.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:28:14,21/03/2017 13:31:33,J0533+0402,1.4548642856722165,0.07039737056551017,74.0,170,125.0,125.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:31:33,21/03/2017 13:48:02,J1238+21,3.30908390247795,0.3816991440880299,248.0,751,741.0,741.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:48:02,21/03/2017 13:54:50,J0943+41,2.543817384781735,0.7182029871956666,46.0,450,362.0,362.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:54:50,21/03/2017 13:57:14,J0623+0340,1.6745531692218207,0.0640283732367742,62.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:57:14,21/03/2017 13:58:38,B0523+11,1.4221850534626992,0.19644204329971776,16.0,118,68.0,68.0,6420,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7332309324998758Waited for more observables to rise above the horizon. 
21/03/2017 16:12:38,21/03/2017 16:59:37,J1544+4937,4.11930335455354,0.8662420785732818,89.0,1709,incomplete,1110.0,4800,600,2,0,3,2,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0212 (PRN E03)Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 17:29:37,21/03/2017 17:38:56,B1919+20,5.0695703936391725,0.35003935627053384,89.0,1643,incomplete,230.0,6660,5400,2,0,2,2,Waited for more observables to rise above the horizon. Aborted: Normal scintillation; interrupted by satellite IRIDIUM 15 [+]Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 20:16:56,21/03/2017 21:18:47,J2030+4415,5.370621727261309,0.7724929080199936,89.0,322,322.0,322.0,3300,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:01:47,21/03/2017 21:49:13,B2022+50,5.339394347190064,0.8835964860707576,89.0,477,477.0,477.0,2280,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:33:13,22/03/2017 06:01:37,J2215+5135,5.827413546061112,0.9004751871121236,84.0,825,incomplete,300.0,16080,5400,2,0,4,0,Waited for more observables to rise above the horizon. Aborted: Scintillation too low within first five minutes.Waited for more observables to rise above the horizon. 
22/03/2017 03:49:37,22/03/2017 05:55:06,J1949+2306,5.188523526975002,0.40344012880370594,89.0,2597,incomplete,0.0,7440,20,3,0,3,1,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:53:06,22/03/2017 04:05:10,J1932+17,5.113814708343386,0.29670597283903605,89.0,635,592.0,515.0,120,5400,4,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 04:03:10,22/03/2017 04:07:55,J1902+0248,4.986570024785696,0.04914071471726257,89.0,273,196.0,196.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 1.3894657150437575
22/03/2017 06:59:55,22/03/2017 09:56:54,J0106+4855,0.28980174120635516,0.8540080259207076,299.0,1238,incomplete,0.0,10320,5400,3,0,1,1,Waited for more observables to rise above the horizon. Aborted: High scintillation; observed until object set.
22/03/2017 16:04:54,23/03/2017 01:15:16,J1856+0102,4.958807872316796,0.01808645918747235,89.0,481,533.0,533.0,32400,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:15:16,22/03/2017 16:45:40,B1853+01,4.957509565519468,0.021338104546674008,87.0,1106,1737.0,1737.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:45:40,22/03/2017 16:50:59,J1900+0227,4.976995439397463,0.04291570705181613,4.0,322,315.0,315.0,0,20,4,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:50:59,22/03/2017 16:58:05,J1858+0241,4.969374895550943,0.0470172307940028,1.0,415,425.0,425.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
