Duration mean, 118.01560493827165, std dev, 0.7898792866940816
Rel slew mean, 0.05550790112931245, std dev, 0.004497890095176633
Rel wait mean, 0.3269567490998601, std dev, 0.014810597449868188
Rel obs mean, 0.6175353497708276, std dev, 0.015229178757048654
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 118.15861111111111, 6.483888888888889, 42.083333333333336, 69.59138888888889, 0.05487445077356002, 0.35615968178366647, 0.5889658674427735, 5, 1, 95, 67, 184, 9, 28, 19, 
1, 118.05027777777778, 6.630277777777779, 39.75, 71.67, 0.05616486384097171, 0.33672093575948103, 0.6071142003995472, 5, 1, 106, 58, 183, 15, 29, 19, 
2, 116.485, 6.268611111111111, 35.43333333333333, 74.78305555555555, 0.05381474963395382, 0.3041879498075575, 0.6419973005584887, 6, 1, 102, 55, 184, 21, 23, 19, 
3, 117.78222222222222, 5.314166666666667, 39.266666666666666, 73.20138888888889, 0.04511858043092713, 0.33338364590015473, 0.6214977736689181, 4, 2, 108, 54, 177, 11, 24, 16, 
4, 118.19277777777778, 6.152777777777779, 38.81666666666667, 73.22333333333333, 0.05205713829102173, 0.3284182620671502, 0.619524599641828, 4, 2, 101, 64, 170, 9, 20, 16, 
5, 118.015, 6.870555555555556, 43.55, 67.59444444444443, 0.05821764653269123, 0.3690208871753591, 0.5727614662919497, 5, 1, 106, 59, 173, 15, 23, 16, 
6, 119.80333333333333, 8.095, 35.86666666666667, 75.84166666666667, 0.06756907153390279, 0.299379538688406, 0.6330513897776913, 5, 1, 99, 66, 177, 20, 27, 16, 
7, 118.76388888888889, 5.648888888888888, 40.0, 73.115, 0.047564027599111214, 0.3368027131329669, 0.6156332592679219, 5, 1, 112, 55, 178, 18, 33, 13, 
8, 118.1363888888889, 7.1675, 37.36666666666667, 73.60222222222221, 0.060671399112607605, 0.31630107385296186, 0.6230275270344305, 4, 1, 109, 62, 170, 11, 29, 13, 
9, 118.18222222222222, 6.8825, 39.93333333333333, 71.36638888888888, 0.05823633936294235, 0.33789628069647626, 0.6038673799405814, 3, 2, 105, 55, 168, 10, 16, 13, 
10, 118.28999999999999, 6.480833333333334, 38.15, 73.65916666666668, 0.054787668723757996, 0.3225124693549751, 0.6226998619212669, 5, 1, 105, 56, 170, 15, 21, 11, 
11, 118.715, 6.690833333333334, 37.583333333333336, 74.44083333333333, 0.05636047115641101, 0.3165845371969282, 0.6270549916466608, 3, 9, 106, 58, 174, 8, 24, 15, 
