Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:00:56,1490281256000
Duration,  2 days, 3 hours, 0 minute, 56 seconds,183656000
Slew time, 0 day, 2 hours, 54 minutes, 45 seconds,1.0485E7
Integration time, 1 day, 6 hours, 28 minutes, 11 seconds,1.09691E8
Waiting time, 0 day, 17 hours, 38 minutes, 0 second,6.348E7
Relative slew time, 0.057090429934224855
Relative integration time, 0.5972633619375354
Relative waiting time, 0.34564620812823976
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:48,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:05:48,21/03/2017 13:12:35,J0625+10,1.6831518973920316,0.17918713653808452,26.0,402,381.0,381.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:35,21/03/2017 13:13:30,J0623+0340,1.6745531692218207,0.0640283732367742,7.0,82,48.0,48.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7136520397838113
21/03/2017 13:13:30,21/03/2017 13:20:14,J1012+5307,2.672785151988384,0.9270733295670593,292.0,118,112.0,112.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0564966851316802
21/03/2017 13:20:14,21/03/2017 13:26:22,J0740+41,2.011491962923465,0.7167485461523381,28.0,473,340.0,340.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3905061207433786
21/03/2017 13:26:22,21/03/2017 13:36:40,J0711+0931,1.8832233528712716,0.16621837056840444,26.0,659,592.0,592.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:40,21/03/2017 13:40:46,J0621+0336,1.6632421266719581,0.06305254025943692,15.0,427,231.0,231.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:40:46,21/03/2017 13:50:05,J1342+2822B,3.587457889512921,0.4952863402087923,247.0,647,312.0,312.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0713132698474794
21/03/2017 13:50:05,21/03/2017 14:23:00,B0943+10,2.5574600417681577,0.1721815788460517,61.0,1368,1914.0,1914.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:23:00,21/03/2017 14:28:31,J0815+0939,2.160483158072796,0.16867007335377535,33.0,298,598.0,298.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
