Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 00:41:40,1490312500000
Duration,  2 days, 11 hours, 41 minutes, 40 seconds,214900000
Slew time, 0 day, 3 hours, 56 minutes, 25 seconds,1.4185E7
Integration time, 1 day, 13 hours, 11 minutes, 15 seconds,1.33875E8
Waiting time, 0 day, 18 hours, 34 minutes, 0 second,6.684E7
Relative slew time, 0.06600744532340623
Relative integration time, 0.6229641693811075
Relative waiting time, 0.31102838529548626
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:48,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:05:48,21/03/2017 13:11:57,J0625+10,1.6831518973920316,0.17918713653808452,26.0,402,343.0,343.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:57,21/03/2017 13:13:25,J0623+0340,1.6745531692218207,0.0640283732367742,6.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:13:25,21/03/2017 13:28:25,J1238+21,3.30908390247795,0.3816991440880299,254.0,751,646.0,646.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:28:25,21/03/2017 13:36:24,J0848+16,2.3076888813973357,0.29176087329171874,66.0,547,413.0,413.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3250105686138702
21/03/2017 13:36:24,21/03/2017 13:55:54,J1142+0119,3.0630528372500483,0.022980168484592004,302.0,1106,868.0,868.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:55:54,21/03/2017 14:04:51,J0740+41,2.011491962923465,0.7167485461523381,64.0,473,473.0,473.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:51,21/03/2017 14:07:41,J0633+0632,1.7180010320107069,0.11419737777167009,37.0,263,133.0,133.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9841434768599404
21/03/2017 14:07:41,21/03/2017 14:22:38,J0943+41,2.543817384781735,0.7182029871956666,304.0,450,593.0,593.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:22:38,21/03/2017 14:29:26,J0751+1807,2.055791112963893,0.3163826354449581,36.0,1039,372.0,372.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.7939612205104374
